file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/JDI-199dba533f3659e840441c324c26cdbf5314ca85/Java/Tests/jdi-uitest-mobiletests/src/test/java/com/epam/jdi/androidtests/tests/SmokeTest.java,com.epam.jdi.androidtests.tests.SmokeTest,addContact2/0,false,56,4,1,7,8,0,2,0,7,0,0,0,0,0,0,5,2,2,0,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/JDI-199dba533f3659e840441c324c26cdbf5314ca85/Java/Tests/jdi-uitest-mobiletests/src/test/java/com/epam/jdi/androidtests/tests/SmokeTest.java,com.epam.jdi.androidtests.tests.SmokeTest,addContact/0,false,45,4,1,7,8,0,2,0,7,0,0,0,0,0,0,5,2,2,0,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/JDI-199dba533f3659e840441c324c26cdbf5314ca85/Java/Tests/jdi-uitest-mobiletests/src/test/java/com/epam/jdi/androidtests/tests/SmokeTest.java,com.epam.jdi.androidtests.tests.SmokeTest,before/0,false,24,3,1,3,12,0,4,0,3,0,0,0,0,0,0,13,0,5,0,0,0,0,0,19,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/JDI-199dba533f3659e840441c324c26cdbf5314ca85/Java/Tests/jdi-uitest-mobiletests/src/test/java/com/epam/jdi/androidtests/tests/SmokeTest.java,com.epam.jdi.androidtests.tests.SmokeTest,tearDown/0,false,39,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/JDI-199dba533f3659e840441c324c26cdbf5314ca85/Java/Tests/jdi-uitest-mobiletests/src/test/java/com/epam/jdi/androidtests/tests/ContactTest.java,com.epam.jdi.androidtests.tests.ContactTest,addContactTest/0,false,14,4,1,2,5,0,1,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/JDI-199dba533f3659e840441c324c26cdbf5314ca85/Java/Tests/jdi-uitest-mobiletests/src/test/java/com/epam/jdi/androidtests/tests/TestBase.java,com.epam.jdi.androidtests.tests.TestBase,teaDown/0,false,26,3,1,2,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/JDI-199dba533f3659e840441c324c26cdbf5314ca85/Java/Tests/jdi-uitest-mobiletests/src/test/java/com/epam/jdi/androidtests/tests/TestBase.java,com.epam.jdi.androidtests.tests.TestBase,setUp/0,false,20,3,1,2,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,9,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/JDI-199dba533f3659e840441c324c26cdbf5314ca85/Java/Tests/jdi-uitest-mobiletests/src/main/java/com/epam/jdi/androidtestind/page_objects/pages/ContactDetails.java,com.epam.jdi.androidtestind.page_objects.pages.ContactDetails,"ContactDetails/2[java.lang.String,java.lang.String]",true,10,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/JDI-199dba533f3659e840441c324c26cdbf5314ca85/Java/Tests/jdi-http-cucumbertests/src/test/java/com/epam/jdi/http/cucumber.tests/steps/InitService.java,com.epam.jdi.http.cucumber.tests.steps.InitService,initService/0,false,11,4,1,4,4,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/JDI-199dba533f3659e840441c324c26cdbf5314ca85/Java/Tests/jdi-http-cucumbertests/src/main/java/com/epam/jdi/http/cucumber/tests/ServiceExample.java,com.epam.jdi.http.cucumber.tests.ServiceExample,getGetMethod/0,false,32,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
