file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/RapidView-f813c627f8592bad0f9c24643ee53f73b738f1aa/RapidViewDemo/app/src/main/java/android/support/v7/widget/GridLayoutManager.java,android.support.v7.widget.GridLayoutManager$SpanSizeLookup,isSpanIndexCacheEnabled/0,false,611,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/RapidView-f813c627f8592bad0f9c24643ee53f73b738f1aa/RapidViewDemo/app/src/main/java/android/support/v7/widget/GridLayoutManager.java,android.support.v7.widget.GridLayoutManager$SpanSizeLookup,setSpanIndexCacheEnabled/1[boolean],false,594,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/RapidView-f813c627f8592bad0f9c24643ee53f73b738f1aa/RapidViewDemo/app/src/main/java/android/support/v7/widget/GridLayoutManager.java,android.support.v7.widget.GridLayoutManager$SpanSizeLookup,invalidateSpanIndexCache/0,false,602,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/RapidView-f813c627f8592bad0f9c24643ee53f73b738f1aa/RapidViewDemo/app/src/main/java/android/support/v7/widget/GridLayoutManager.java,android.support.v7.widget.GridLayoutManager$SpanSizeLookup,getSpanSize/1[int],false,579,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1025,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/RapidView-f813c627f8592bad0f9c24643ee53f73b738f1aa/RapidViewDemo/app/src/main/java/android/support/v7/widget/GridLayoutManager.java,android.support.v7.widget.GridLayoutManager$SpanSizeLookup,"getSpanGroupIndex/2[int,int]",false,712,1,5,1,21,1,5,2,1,1,1,1,1,0,0,0,4,8,1,2,0,0,0,35,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/RapidView-f813c627f8592bad0f9c24643ee53f73b738f1aa/RapidViewDemo/app/src/main/java/android/support/v7/widget/GridLayoutManager.java,android.support.v7.widget.GridLayoutManager$SpanSizeLookup,"getCachedSpanIndex/2[int,int]",false,615,1,3,3,12,3,2,2,3,1,2,0,1,0,0,0,2,2,0,1,0,0,0,11,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/RapidView-f813c627f8592bad0f9c24643ee53f73b738f1aa/RapidViewDemo/app/src/main/java/android/support/v7/widget/GridLayoutManager.java,android.support.v7.widget.GridLayoutManager$SpanSizeLookup,findReferenceIndexFromCache/1[int],false,682,0,5,2,19,2,5,1,2,0,0,1,0,0,1,0,8,7,6,2,0,0,0,11,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/RapidView-f813c627f8592bad0f9c24643ee53f73b738f1aa/RapidViewDemo/app/src/main/java/android/support/v7/widget/GridLayoutManager.java,android.support.v7.widget.GridLayoutManager$SpanSizeLookup,"getSpanIndex/2[int,int]",false,651,1,9,4,29,3,6,2,4,2,1,1,2,0,0,0,8,11,3,2,0,0,0,97,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/RapidView-f813c627f8592bad0f9c24643ee53f73b738f1aa/RapidViewDemo/app/src/main/java/android/support/v7/widget/GridLayoutManager.java,android.support.v7.widget.GridLayoutManager$DefaultSpanSizeLookup,getSpanSize/1[int],false,746,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/RapidView-f813c627f8592bad0f9c24643ee53f73b738f1aa/RapidViewDemo/app/src/main/java/android/support/v7/widget/GridLayoutManager.java,android.support.v7.widget.GridLayoutManager$DefaultSpanSizeLookup,"getSpanIndex/2[int,int]",false,751,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/RapidView-f813c627f8592bad0f9c24643ee53f73b738f1aa/RapidViewDemo/app/src/main/java/android/support/v7/widget/GridLayoutManager.java,android.support.v7.widget.GridLayoutManager$LayoutParams,"LayoutParams/2[int,int]",true,774,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/RapidView-f813c627f8592bad0f9c24643ee53f73b738f1aa/RapidViewDemo/app/src/main/java/android/support/v7/widget/GridLayoutManager.java,android.support.v7.widget.GridLayoutManager$LayoutParams,LayoutParams/1[ViewGroup.LayoutParams],true,782,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/RapidView-f813c627f8592bad0f9c24643ee53f73b738f1aa/RapidViewDemo/app/src/main/java/android/support/v7/widget/GridLayoutManager.java,android.support.v7.widget.GridLayoutManager$LayoutParams,"LayoutParams/2[android.support.v7.widget.Context,android.support.v7.widget.AttributeSet]",true,770,2,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/RapidView-f813c627f8592bad0f9c24643ee53f73b738f1aa/RapidViewDemo/app/src/main/java/android/support/v7/widget/GridLayoutManager.java,android.support.v7.widget.GridLayoutManager$LayoutParams,getSpanSize/0,false,813,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/RapidView-f813c627f8592bad0f9c24643ee53f73b738f1aa/RapidViewDemo/app/src/main/java/android/support/v7/widget/GridLayoutManager.java,android.support.v7.widget.GridLayoutManager$LayoutParams,getSpanIndex/0,false,803,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/RapidView-f813c627f8592bad0f9c24643ee53f73b738f1aa/RapidViewDemo/app/src/main/java/android/support/v7/widget/GridLayoutManager.java,android.support.v7.widget.GridLayoutManager$LayoutParams,LayoutParams/1[ViewGroup.MarginLayoutParams],true,778,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/RapidView-f813c627f8592bad0f9c24643ee53f73b738f1aa/RapidViewDemo/app/src/main/java/android/support/v7/widget/GridLayoutManager.java,android.support.v7.widget.GridLayoutManager$LayoutParams,LayoutParams/1[RecyclerView.LayoutParams],true,786,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/RapidView-f813c627f8592bad0f9c24643ee53f73b738f1aa/RapidViewDemo/app/src/main/java/android/support/v7/widget/GridLayoutManager.java,android.support.v7.widget.GridLayoutManager,getSpanSizeLookup/0,false,240,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/RapidView-f813c627f8592bad0f9c24643ee53f73b738f1aa/RapidViewDemo/app/src/main/java/android/support/v7/widget/GridLayoutManager.java,android.support.v7.widget.GridLayoutManager,"layoutChunk/4[RecyclerView.Recycler,RecyclerView.State,android.support.v7.widget.LayoutState,android.support.v7.widget.LayoutChunkResult]",false,335,7,27,22,124,1,28,4,22,5,3,4,11,0,4,11,15,49,23,3,0,0,0,86,0,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/RapidView-f813c627f8592bad0f9c24643ee53f73b738f1aa/RapidViewDemo/app/src/main/java/android/support/v7/widget/GridLayoutManager.java,android.support.v7.widget.GridLayoutManager,setStackFromEnd/1[boolean],false,92,0,2,1,6,0,0,1,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,19,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/RapidView-f813c627f8592bad0f9c24643ee53f73b738f1aa/RapidViewDemo/app/src/main/java/android/support/v7/widget/GridLayoutManager.java,android.support.v7.widget.GridLayoutManager,"getSpanGroupIndex/3[RecyclerView.Recycler,RecyclerView.State,int]",false,275,3,4,4,14,3,1,3,4,0,0,0,1,0,0,2,2,1,2,2,0,0,0,22,2,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/RapidView-f813c627f8592bad0f9c24643ee53f73b738f1aa/RapidViewDemo/app/src/main/java/android/support/v7/widget/GridLayoutManager.java,android.support.v7.widget.GridLayoutManager,setSpanCount/1[int],false,554,1,3,1,10,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,27,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/RapidView-f813c627f8592bad0f9c24643ee53f73b738f1aa/RapidViewDemo/app/src/main/java/android/support/v7/widget/GridLayoutManager.java,android.support.v7.widget.GridLayoutManager,supportsPredictiveItemAnimations/0,false,736,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,1,0,false
