file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/Spring-Integration-in-Action-f4c52d5ff803a3f50bd1df5a4dd438d811f9d2f0/siia-examples/fundamentals/src/test/java/siia/fundamentals/RunBookingServiceTest.java,siia.fundamentals.RunBookingServiceTest,updateMealPreferences/0,false,41,2,1,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/Spring-Integration-in-Action-f4c52d5ff803a3f50bd1df5a4dd438d811f9d2f0/siia-examples/fundamentals/src/main/java/siia/fundamentals/BookingServiceWithInjection.java,siia.fundamentals.BookingServiceWithInjection,updateMeal/1[siia.fundamentals.MealPreference],false,41,5,1,4,6,0,3,1,4,1,1,0,0,0,0,0,0,3,0,0,0,0,0,13,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/Spring-Integration-in-Action-f4c52d5ff803a3f50bd1df5a4dd438d811f9d2f0/siia-examples/fundamentals/src/main/java/siia/fundamentals/BookingServiceWithInjection.java,siia.fundamentals.BookingServiceWithInjection,"BookingServiceWithInjection/2[siia.fundamentals.BookingDao,siia.fundamentals.WebServiceOperations]",true,35,2,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/Spring-Integration-in-Action-f4c52d5ff803a3f50bd1df5a4dd438d811f9d2f0/siia-examples/fundamentals/src/main/java/siia/fundamentals/BookingServiceWithInjection.java,siia.fundamentals.BookingServiceWithInjection,"buildMealPreferenceUpdateRequest/2[siia.fundamentals.Booking,siia.fundamentals.MealPreference]",false,53,3,1,1,3,1,0,2,1,0,0,0,0,0,0,6,0,0,2,0,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/Spring-Integration-in-Action-f4c52d5ff803a3f50bd1df5a4dd438d811f9d2f0/siia-examples/fundamentals/src/main/java/siia/fundamentals/BookingDao.java,siia.fundamentals.BookingDao,getBookingById/1[java.lang.Long],false,24,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/Spring-Integration-in-Action-f4c52d5ff803a3f50bd1df5a4dd438d811f9d2f0/siia-examples/fundamentals/src/main/java/siia/fundamentals/BookingService.java,siia.fundamentals.BookingService,populatePreference/1[siia.fundamentals.MealPreference],false,31,3,1,4,5,1,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/Spring-Integration-in-Action-f4c52d5ff803a3f50bd1df5a4dd438d811f9d2f0/siia-examples/fundamentals/src/main/java/siia/fundamentals/BookingService.java,siia.fundamentals.BookingService,BookingService/1[siia.fundamentals.BookingDao],true,26,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/Spring-Integration-in-Action-f4c52d5ff803a3f50bd1df5a4dd438d811f9d2f0/siia-examples/fundamentals/src/main/java/siia/fundamentals/BookingServiceWithStrongCoupling.java,siia.fundamentals.BookingServiceWithStrongCoupling,"buildMealPreferenceUpdateRequest/2[siia.fundamentals.Booking,siia.fundamentals.MealPreference]",false,63,3,1,1,3,1,0,2,1,0,0,0,0,0,0,6,0,0,2,0,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/Spring-Integration-in-Action-f4c52d5ff803a3f50bd1df5a4dd438d811f9d2f0/siia-examples/fundamentals/src/main/java/siia/fundamentals/BookingServiceWithStrongCoupling.java,siia.fundamentals.BookingServiceWithStrongCoupling,updateMeal/1[siia.fundamentals.MealPreference],false,51,5,1,4,6,0,3,1,4,1,1,0,0,0,0,0,0,3,0,0,0,0,0,13,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/Spring-Integration-in-Action-f4c52d5ff803a3f50bd1df5a4dd438d811f9d2f0/siia-examples/fundamentals/src/main/java/siia/fundamentals/BookingServiceWithStrongCoupling.java,siia.fundamentals.BookingServiceWithStrongCoupling,BookingServiceWithStrongCoupling/0,true,43,2,1,2,6,0,1,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/Spring-Integration-in-Action-f4c52d5ff803a3f50bd1df5a4dd438d811f9d2f0/siia-examples/fundamentals/src/main/java/siia/fundamentals/Booking.java,siia.fundamentals.Booking,Booking/1[java.lang.Long],true,26,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/Spring-Integration-in-Action-f4c52d5ff803a3f50bd1df5a4dd438d811f9d2f0/siia-examples/fundamentals/src/main/java/siia/fundamentals/Booking.java,siia.fundamentals.Booking,getFlightRef/0,false,30,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/Spring-Integration-in-Action-f4c52d5ff803a3f50bd1df5a4dd438d811f9d2f0/siia-examples/fundamentals/src/main/java/siia/fundamentals/BookingReportingService.java,siia.fundamentals.BookingReportingService,BookingReportingService/0,true,26,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
