file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/activemq-apollo-8e4b134b2a5d3576aa62cd8df9905a9fe2eba2d0/apollo-openwire/src/test/scala/org/apache/activemq/apollo/openwire/codec/BooleanStreamTest.java,org.apache.activemq.apollo.openwire.codec.BooleanStreamTest$Anonymous2,"getBooleanValueFor/2[int,int]",false,50,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/activemq-apollo-8e4b134b2a5d3576aa62cd8df9905a9fe2eba2d0/apollo-openwire/src/test/scala/org/apache/activemq/apollo/openwire/codec/BooleanStreamTest.java,org.apache.activemq.apollo.openwire.codec.BooleanStreamTest$Anonymous1,"getBooleanValueFor/2[int,int]",false,42,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/activemq-apollo-8e4b134b2a5d3576aa62cd8df9905a9fe2eba2d0/apollo-openwire/src/test/scala/org/apache/activemq/apollo/openwire/codec/BooleanStreamTest.java,org.apache.activemq.apollo.openwire.codec.BooleanStreamTest$Anonymous4,"getBooleanValueFor/2[int,int]",false,66,0,2,0,3,1,0,2,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/activemq-apollo-8e4b134b2a5d3576aa62cd8df9905a9fe2eba2d0/apollo-openwire/src/test/scala/org/apache/activemq/apollo/openwire/codec/BooleanStreamTest.java,org.apache.activemq.apollo.openwire.codec.BooleanStreamTest$BooleanValueSet,"getBooleanValueFor/2[int,int]",false,37,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/activemq-apollo-8e4b134b2a5d3576aa62cd8df9905a9fe2eba2d0/apollo-openwire/src/test/scala/org/apache/activemq/apollo/openwire/codec/BooleanStreamTest.java,org.apache.activemq.apollo.openwire.codec.BooleanStreamTest$Anonymous3,"getBooleanValueFor/2[int,int]",false,58,0,2,0,3,1,0,2,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/activemq-apollo-8e4b134b2a5d3576aa62cd8df9905a9fe2eba2d0/apollo-openwire/src/test/scala/org/apache/activemq/apollo/openwire/codec/BooleanStreamTest.java,org.apache.activemq.apollo.openwire.codec.BooleanStreamTest,testBooleanMarshallingUsingOddAlternateTrueFalse/0,false,56,2,1,1,8,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/activemq-apollo-8e4b134b2a5d3576aa62cd8df9905a9fe2eba2d0/apollo-openwire/src/test/scala/org/apache/activemq/apollo/openwire/codec/BooleanStreamTest.java,org.apache.activemq.apollo.openwire.codec.BooleanStreamTest,createOpenWireFormat/0,false,135,1,1,3,7,1,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/activemq-apollo-8e4b134b2a5d3576aa62cd8df9905a9fe2eba2d0/apollo-openwire/src/test/scala/org/apache/activemq/apollo/openwire/codec/BooleanStreamTest.java,org.apache.activemq.apollo.openwire.codec.BooleanStreamTest,setUp/0,false,130,1,1,2,4,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,9,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/activemq-apollo-8e4b134b2a5d3576aa62cd8df9905a9fe2eba2d0/apollo-openwire/src/test/scala/org/apache/activemq/apollo/openwire/codec/BooleanStreamTest.java,org.apache.activemq.apollo.openwire.codec.BooleanStreamTest,testBooleanMarshallingUsingEvenAlternateTrueFalse/0,false,64,2,1,1,8,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/activemq-apollo-8e4b134b2a5d3576aa62cd8df9905a9fe2eba2d0/apollo-openwire/src/test/scala/org/apache/activemq/apollo/openwire/codec/BooleanStreamTest.java,org.apache.activemq.apollo.openwire.codec.BooleanStreamTest,"assertMarshalBooleans/2[int,org.apache.activemq.apollo.openwire.codec.BooleanStreamTest.BooleanValueSet]",false,82,2,6,14,40,0,11,2,14,0,0,2,0,3,0,10,2,12,4,2,0,0,0,40,4,0,false
