file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/amazon-s3-developer-guide-038ef11c43698df29de7bb128522dc19a1b645ae/code_examples/java_examples/S3Examples/CreateBucketWithACL.java,CreateBucketWithACL,main/1[java.lang.String[]],false,23,6,3,15,24,0,8,1,15,0,0,0,0,1,0,2,0,8,0,1,0,0,0,36,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/amazon-s3-developer-guide-038ef11c43698df29de7bb128522dc19a1b645ae/code_examples/java_examples/S3Examples/ListKeysVersioningEnabledBucket.java,ListKeysVersioningEnabledBucket,main/1[java.lang.String[]],false,17,4,6,15,30,0,7,1,15,0,0,2,0,1,0,5,3,8,1,3,0,0,0,37,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/amazon-s3-developer-guide-038ef11c43698df29de7bb128522dc19a1b645ae/code_examples/java_examples/S3Examples/ServerSideEncryptionCopyObjectUsingHLwithSSEC.java,ServerSideEncryptionCopyObjectUsingHLwithSSEC,main/1[java.lang.String[]],false,24,8,3,16,32,0,14,1,16,0,0,0,0,1,0,8,1,14,0,1,0,0,0,49,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/amazon-s3-developer-guide-038ef11c43698df29de7bb128522dc19a1b645ae/code_examples/java_examples/S3Examples/LifecycleConfiguration.java,LifecycleConfiguration,main/1[java.lang.String[]],false,23,9,4,22,27,0,7,1,22,0,0,0,1,1,1,14,5,11,1,1,0,0,0,42,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/amazon-s3-developer-guide-038ef11c43698df29de7bb128522dc19a1b645ae/code_examples/java_examples/S3Examples/S3ClientSideEncryptionSymMasterKey.java,S3ClientSideEncryptionSymMasterKey,main/1[java.lang.String[]],false,31,9,3,18,28,0,12,1,18,2,1,0,0,1,0,10,1,13,2,1,0,0,0,53,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/amazon-s3-developer-guide-038ef11c43698df29de7bb128522dc19a1b645ae/code_examples/java_examples/S3Examples/S3ClientSideEncryptionSymMasterKey.java,S3ClientSideEncryptionSymMasterKey,"loadSymmetricAESKey/3[java.lang.String,java.lang.String,java.lang.String]",false,91,1,1,3,8,1,3,3,3,0,0,0,0,0,0,1,0,3,1,0,0,0,0,20,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/amazon-s3-developer-guide-038ef11c43698df29de7bb128522dc19a1b645ae/code_examples/java_examples/S3Examples/S3ClientSideEncryptionSymMasterKey.java,S3ClientSideEncryptionSymMasterKey,"saveSymmetricKey/3[java.lang.String,java.lang.String,javax.crypto.SecretKey]",false,83,0,1,4,6,0,2,3,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,18,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/amazon-s3-developer-guide-038ef11c43698df29de7bb128522dc19a1b645ae/code_examples/java_examples/S3Examples/LowLevelMultipartCopy.java,LowLevelMultipartCopy,main/1[java.lang.String[]],false,16,10,4,23,34,0,18,1,23,1,1,1,0,1,0,6,7,19,4,2,0,0,0,52,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/amazon-s3-developer-guide-038ef11c43698df29de7bb128522dc19a1b645ae/code_examples/java_examples/S3Examples/LowLevelMultipartCopy.java,LowLevelMultipartCopy,getETags/1[java.util.List<CopyPartResult>],false,84,2,2,3,7,1,1,1,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,10,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/amazon-s3-developer-guide-038ef11c43698df29de7bb128522dc19a1b645ae/code_examples/java_examples/S3Examples/HighLevelMultipartUpload.java,HighLevelMultipartUpload,main/1[java.lang.String[]],false,17,4,3,9,20,0,7,1,9,0,0,0,0,1,0,6,0,7,0,1,0,0,0,31,9,0,false
