file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/apex-core-d17f464fcaf19778e2f8edbe2b03419151558068/bufferserver/src/test/java/com/datatorrent/bufferserver/util/CodecTest.java,com.datatorrent.bufferserver.util.CodecTest,testSomeMethod/0,false,35,4,1,3,13,0,3,0,3,0,0,0,0,0,0,0,9,5,2,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/apex-core-d17f464fcaf19778e2f8edbe2b03419151558068/bufferserver/src/test/java/com/datatorrent/bufferserver/server/ServerTest.java,com.datatorrent.bufferserver.server.ServerTest,testNoPublishNoSubscribe/0,false,92,4,1,7,14,0,0,0,7,0,0,0,0,0,0,4,6,2,0,1,0,0,0,13,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/apex-core-d17f464fcaf19778e2f8edbe2b03419151558068/bufferserver/src/test/java/com/datatorrent/bufferserver/server/ServerTest.java,com.datatorrent.bufferserver.server.ServerTest,teardownServerAndClients/0,false,85,2,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/apex-core-d17f464fcaf19778e2f8edbe2b03419151558068/bufferserver/src/test/java/com/datatorrent/bufferserver/server/ServerTest.java,com.datatorrent.bufferserver.server.ServerTest,testAuthFailure/0,false,499,7,3,13,25,0,3,0,13,0,0,1,0,0,2,5,14,6,2,2,0,0,0,24,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/apex-core-d17f464fcaf19778e2f8edbe2b03419151558068/bufferserver/src/test/java/com/datatorrent/bufferserver/server/ServerTest.java,com.datatorrent.bufferserver.server.ServerTest,testATonOfData/0,false,172,7,5,12,34,0,6,0,12,0,0,3,1,0,0,6,21,10,4,2,0,0,0,24,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/apex-core-d17f464fcaf19778e2f8edbe2b03419151558068/bufferserver/src/test/java/com/datatorrent/bufferserver/server/ServerTest.java,com.datatorrent.bufferserver.server.ServerTest,testRepublish/0,false,318,2,1,1,3,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,11,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/apex-core-d17f464fcaf19778e2f8edbe2b03419151558068/bufferserver/src/test/java/com/datatorrent/bufferserver/server/ServerTest.java,com.datatorrent.bufferserver.server.ServerTest,testReset/0,false,377,3,5,8,24,0,2,0,8,0,0,2,1,0,0,7,11,4,1,2,0,0,0,19,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/apex-core-d17f464fcaf19778e2f8edbe2b03419151558068/bufferserver/src/test/java/com/datatorrent/bufferserver/server/ServerTest.java,com.datatorrent.bufferserver.server.ServerTest,testRepublishLowerWindow/0,false,325,7,5,11,34,0,6,0,11,0,0,3,1,0,0,6,21,10,2,2,0,0,0,23,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/apex-core-d17f464fcaf19778e2f8edbe2b03419151558068/bufferserver/src/test/java/com/datatorrent/bufferserver/server/ServerTest.java,com.datatorrent.bufferserver.server.ServerTest,test1WindowAgain/0,false,410,2,1,1,3,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/apex-core-d17f464fcaf19778e2f8edbe2b03419151558068/bufferserver/src/test/java/com/datatorrent/bufferserver/server/ServerTest.java,com.datatorrent.bufferserver.server.ServerTest,testPurgeAll/0,false,286,3,5,9,25,0,2,0,9,0,0,2,1,0,0,7,10,4,0,2,0,0,0,20,1,0,false
