file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/arcgis-runtime-samples-android-22b9a4c99c82a75a128b64703c0c1ffb2f9f5293/java/show-magnifier/src/main/java/com/esri/arcgisruntime/sample/showmagnifier/MainActivity.java,com.esri.arcgisruntime.sample.showmagnifier.MainActivity,onDestroy/0,false,60,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/arcgis-runtime-samples-android-22b9a4c99c82a75a128b64703c0c1ffb2f9f5293/java/show-magnifier/src/main/java/com/esri/arcgisruntime/sample/showmagnifier/MainActivity.java,com.esri.arcgisruntime.sample.showmagnifier.MainActivity,onCreate/1[com.esri.arcgisruntime.sample.showmagnifier.Bundle],false,31,3,1,6,9,0,1,1,6,0,0,0,0,0,0,0,3,2,0,0,0,0,0,19,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/arcgis-runtime-samples-android-22b9a4c99c82a75a128b64703c0c1ffb2f9f5293/java/show-magnifier/src/main/java/com/esri/arcgisruntime/sample/showmagnifier/MainActivity.java,com.esri.arcgisruntime.sample.showmagnifier.MainActivity,onResume/0,false,54,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/arcgis-runtime-samples-android-22b9a4c99c82a75a128b64703c0c1ffb2f9f5293/java/show-magnifier/src/main/java/com/esri/arcgisruntime/sample/showmagnifier/MainActivity.java,com.esri.arcgisruntime.sample.showmagnifier.MainActivity,onPause/0,false,48,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/arcgis-runtime-samples-android-22b9a4c99c82a75a128b64703c0c1ffb2f9f5293/java/display-grid/src/main/java/com/esri/arcgisruntime/sample/displaygrid/MainActivity.java,com.esri.arcgisruntime.sample.displaygrid.MainActivity$Anonymous2,"onItemSelected/4[com.esri.arcgisruntime.sample.displaygrid.AdapterView<?>,com.esri.arcgisruntime.sample.displaygrid.View,int,long]",false,140,3,4,3,17,0,0,4,3,0,0,0,0,0,0,1,3,3,0,1,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/arcgis-runtime-samples-android-22b9a4c99c82a75a128b64703c0c1ffb2f9f5293/java/display-grid/src/main/java/com/esri/arcgisruntime/sample/displaygrid/MainActivity.java,com.esri.arcgisruntime.sample.displaygrid.MainActivity$Anonymous2,onNothingSelected/1[com.esri.arcgisruntime.sample.displaygrid.AdapterView<?>],false,159,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/arcgis-runtime-samples-android-22b9a4c99c82a75a128b64703c0c1ffb2f9f5293/java/display-grid/src/main/java/com/esri/arcgisruntime/sample/displaygrid/MainActivity.java,com.esri.arcgisruntime.sample.displaygrid.MainActivity$Anonymous1,"onItemSelected/4[com.esri.arcgisruntime.sample.displaygrid.AdapterView<?>,com.esri.arcgisruntime.sample.displaygrid.View,int,long]",false,105,7,5,7,26,0,0,4,7,0,0,0,0,0,0,1,8,0,0,1,0,0,0,18,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/arcgis-runtime-samples-android-22b9a4c99c82a75a128b64703c0c1ffb2f9f5293/java/display-grid/src/main/java/com/esri/arcgisruntime/sample/displaygrid/MainActivity.java,com.esri.arcgisruntime.sample.displaygrid.MainActivity$Anonymous1,onNothingSelected/1[com.esri.arcgisruntime.sample.displaygrid.AdapterView<?>],false,134,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/arcgis-runtime-samples-android-22b9a4c99c82a75a128b64703c0c1ffb2f9f5293/java/display-grid/src/main/java/com/esri/arcgisruntime/sample/displaygrid/MainActivity.java,com.esri.arcgisruntime.sample.displaygrid.MainActivity$Anonymous3,onNothingSelected/1[com.esri.arcgisruntime.sample.displaygrid.AdapterView<?>],false,184,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/arcgis-runtime-samples-android-22b9a4c99c82a75a128b64703c0c1ffb2f9f5293/java/display-grid/src/main/java/com/esri/arcgisruntime/sample/displaygrid/MainActivity.java,com.esri.arcgisruntime.sample.displaygrid.MainActivity$Anonymous3,"onItemSelected/4[com.esri.arcgisruntime.sample.displaygrid.AdapterView<?>,com.esri.arcgisruntime.sample.displaygrid.View,int,long]",false,165,3,4,3,17,0,0,4,3,0,0,0,0,0,0,1,3,3,0,1,0,0,0,9,1,0,false
