file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/archiva-d1242030bf232c0d9b68e4402188ee261924bf4b/archiva-modules/archiva-scheduler/archiva-scheduler-indexing-maven2/src/test/java/org/apache/archiva/scheduler/indexing/maven/DownloadRemoteIndexTaskTest.java,org.apache.archiva.scheduler.indexing.maven.DownloadRemoteIndexTaskTest,getRemoteRepository/0,false,170,3,1,16,13,1,2,0,16,0,0,0,0,0,0,6,0,2,3,0,0,0,0,15,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/archiva-d1242030bf232c0d9b68e4402188ee261924bf4b/archiva-modules/archiva-scheduler/archiva-scheduler-indexing-maven2/src/test/java/org/apache/archiva/scheduler/indexing/maven/DownloadRemoteIndexTaskTest.java,org.apache.archiva.scheduler.indexing.maven.DownloadRemoteIndexTaskTest,initialize/0,false,91,6,3,9,18,0,1,0,9,1,1,0,0,1,0,4,0,4,0,1,0,0,0,21,1,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/archiva-d1242030bf232c0d9b68e4402188ee261924bf4b/archiva-modules/archiva-scheduler/archiva-scheduler-indexing-maven2/src/test/java/org/apache/archiva/scheduler/indexing/maven/DownloadRemoteIndexTaskTest.java,org.apache.archiva.scheduler.indexing.maven.DownloadRemoteIndexTaskTest,tearDown/0,false,125,1,3,4,9,0,1,0,4,0,0,0,1,0,0,1,0,1,0,1,0,0,0,11,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/archiva-d1242030bf232c0d9b68e4402188ee261924bf4b/archiva-modules/archiva-scheduler/archiva-scheduler-indexing-maven2/src/test/java/org/apache/archiva/scheduler/indexing/maven/DownloadRemoteIndexTaskTest.java,org.apache.archiva.scheduler.indexing.maven.DownloadRemoteIndexTaskTest,downloadAndMergeRemoteIndexInEmptyIndex/0,false,138,15,1,22,16,0,4,0,22,1,1,0,0,0,1,4,2,4,0,0,0,0,0,27,1,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/archiva-d1242030bf232c0d9b68e4402188ee261924bf4b/archiva-modules/archiva-scheduler/archiva-scheduler-indexing-maven2/src/test/java/org/apache/archiva/scheduler/indexing/maven/DownloadRemoteIndexTaskTest.java,org.apache.archiva.scheduler.indexing.maven.DownloadRemoteIndexTaskTest,"createContext/2[org.apache.archiva.scheduler.indexing.maven.Server,java.nio.file.Path]",false,112,4,1,6,8,0,2,2,6,0,0,0,0,0,0,2,0,2,0,0,0,0,0,13,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/archiva-d1242030bf232c0d9b68e4402188ee261924bf4b/archiva-modules/archiva-scheduler/archiva-scheduler-indexing-maven2/src/test/java/org/apache/archiva/scheduler/indexing/maven/ArchivaIndexingTaskExecutorTest.java,org.apache.archiva.scheduler.indexing.maven.ArchivaIndexingTaskExecutorTest,testAddArtifactToIndex/0,false,133,10,1,19,22,0,9,0,19,1,1,0,0,0,0,8,1,10,0,0,0,0,0,36,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/archiva-d1242030bf232c0d9b68e4402188ee261924bf4b/archiva-modules/archiva-scheduler/archiva-scheduler-indexing-maven2/src/test/java/org/apache/archiva/scheduler/indexing/maven/ArchivaIndexingTaskExecutorTest.java,org.apache.archiva.scheduler.indexing.maven.ArchivaIndexingTaskExecutorTest,testPackagedIndex/0,false,274,14,3,37,44,0,15,0,37,1,1,1,0,1,0,11,1,14,1,3,0,0,2,51,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/archiva-d1242030bf232c0d9b68e4402188ee261924bf4b/archiva-modules/archiva-scheduler/archiva-scheduler-indexing-maven2/src/test/java/org/apache/archiva/scheduler/indexing/maven/ArchivaIndexingTaskExecutorTest.java,org.apache.archiva.scheduler.indexing.maven.ArchivaIndexingTaskExecutorTest,tearDown/0,false,106,2,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/archiva-d1242030bf232c0d9b68e4402188ee261924bf4b/archiva-modules/archiva-scheduler/archiva-scheduler-indexing-maven2/src/test/java/org/apache/archiva/scheduler/indexing/maven/ArchivaIndexingTaskExecutorTest.java,org.apache.archiva.scheduler.indexing.maven.ArchivaIndexingTaskExecutorTest,getIndexingContext/0,false,123,3,3,2,6,1,1,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,11,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/archiva-d1242030bf232c0d9b68e4402188ee261924bf4b/archiva-modules/archiva-scheduler/archiva-scheduler-indexing-maven2/src/test/java/org/apache/archiva/scheduler/indexing/maven/ArchivaIndexingTaskExecutorTest.java,org.apache.archiva.scheduler.indexing.maven.ArchivaIndexingTaskExecutorTest,setUp/0,false,87,5,1,14,13,0,3,0,14,0,0,0,0,0,0,6,0,4,0,0,0,0,0,15,1,0,false
