file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/atlas-af1719a3472d1d436d0fc685fe9f88d8a754ef94/server-api/src/main/test/org/apache/atlas/ha/AtlasServerIdSelectorTest.java,org.apache.atlas.ha.AtlasServerIdSelectorTest,testShouldSelectRightServerAddress/0,false,44,2,1,6,7,0,1,0,6,0,0,0,0,0,0,7,0,1,2,0,0,0,0,14,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/atlas-af1719a3472d1d436d0fc685fe9f88d8a754ef94/server-api/src/main/test/org/apache/atlas/ha/AtlasServerIdSelectorTest.java,org.apache.atlas.ha.AtlasServerIdSelectorTest,testShouldFailIfNoMatchingAddressForID/0,false,61,3,1,6,6,0,0,0,6,0,0,0,0,0,0,5,0,0,1,0,0,0,0,25,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/atlas-af1719a3472d1d436d0fc685fe9f88d8a754ef94/server-api/src/main/test/org/apache/atlas/ha/AtlasServerIdSelectorTest.java,org.apache.atlas.ha.AtlasServerIdSelectorTest,testShouldFailIfNoIDsConfiguration/0,false,54,3,1,5,5,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/atlas-af1719a3472d1d436d0fc685fe9f88d8a754ef94/server-api/src/main/test/org/apache/atlas/ha/AtlasServerIdSelectorTest.java,org.apache.atlas.ha.AtlasServerIdSelectorTest,setup/0,false,38,1,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/atlas-af1719a3472d1d436d0fc685fe9f88d8a754ef94/server-api/src/main/java/org/apache/atlas/listener/TypesChangeListener.java,org.apache.atlas.listener.TypesChangeListener,onChange/1[java.util.Collection<? extends org.apache.atlas.type.AtlasType>],false,39,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/atlas-af1719a3472d1d436d0fc685fe9f88d8a754ef94/server-api/src/main/java/org/apache/atlas/listener/TypesChangeListener.java,org.apache.atlas.listener.TypesChangeListener,onAdd/1[java.util.Collection<? extends org.apache.atlas.type.AtlasType>],false,31,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/atlas-af1719a3472d1d436d0fc685fe9f88d8a754ef94/server-api/src/main/java/org/apache/atlas/listener/EntityChangeListener.java,org.apache.atlas.listener.EntityChangeListener,"onTraitsDeleted/2[org.apache.atlas.v1.model.instance.Referenceable,java.util.Collection<? extends org.apache.atlas.v1.model.instance.Struct>]",false,62,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/atlas-af1719a3472d1d436d0fc685fe9f88d8a754ef94/server-api/src/main/java/org/apache/atlas/listener/EntityChangeListener.java,org.apache.atlas.listener.EntityChangeListener,"onTermDeleted/2[java.util.Collection<org.apache.atlas.v1.model.instance.Referenceable>,org.apache.atlas.model.glossary.AtlasGlossaryTerm]",false,100,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/atlas-af1719a3472d1d436d0fc685fe9f88d8a754ef94/server-api/src/main/java/org/apache/atlas/listener/EntityChangeListener.java,org.apache.atlas.listener.EntityChangeListener,"onTraitsUpdated/2[org.apache.atlas.v1.model.instance.Referenceable,java.util.Collection<? extends org.apache.atlas.v1.model.instance.Struct>]",false,72,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/atlas-af1719a3472d1d436d0fc685fe9f88d8a754ef94/server-api/src/main/java/org/apache/atlas/listener/EntityChangeListener.java,org.apache.atlas.listener.EntityChangeListener,"onEntitiesDeleted/2[java.util.Collection<org.apache.atlas.v1.model.instance.Referenceable>,boolean]",false,82,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,true
