file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/net/InetSocketAddressHelperTest.java,org.apache.aurora.common.net.InetSocketAddressHelperTest,testParseArgValuePort/0,false,81,2,1,2,4,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/net/InetSocketAddressHelperTest.java,org.apache.aurora.common.net.InetSocketAddressHelperTest,testParseArgValueHostPort/0,false,87,2,1,3,4,0,0,0,3,0,0,0,0,0,0,4,2,0,0,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/net/InetSocketAddressHelperTest.java,org.apache.aurora.common.net.InetSocketAddressHelperTest,testParseValueInvalid/0,false,29,2,8,2,44,0,0,0,2,0,0,0,0,7,0,6,0,0,0,1,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/net/InetSocketAddressHelperTest.java,org.apache.aurora.common.net.InetSocketAddressHelperTest,testInetSocketAddressToServerString/0,false,96,2,1,3,7,0,0,0,3,0,0,0,0,0,0,9,5,0,0,0,0,0,0,9,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/net/http/handlers/StatSupplierTestBase.java,org.apache.aurora.common.net.http.handlers.StatSupplierTestBase,statSupplierSetUp/0,false,36,5,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/net/http/handlers/StatSupplierTestBase.java,org.apache.aurora.common.net.http.handlers.StatSupplierTestBase,"expectVarScrape/1[java.util.Map<java.lang.String,java.lang.Object>]",false,40,2,2,11,10,0,2,1,11,0,0,1,0,0,0,0,0,2,0,1,0,0,0,10,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/net/http/handlers/TimeSeriesDataSourceTest.java,org.apache.aurora.common.net.http.handlers.TimeSeriesDataSourceTest$Anonymous2,getName/0,false,142,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/net/http/handlers/TimeSeriesDataSourceTest.java,org.apache.aurora.common.net.http.handlers.TimeSeriesDataSourceTest$Anonymous2,getSamples/0,false,144,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/net/http/handlers/TimeSeriesDataSourceTest.java,org.apache.aurora.common.net.http.handlers.TimeSeriesDataSourceTest,testGetAllData/0,false,76,6,1,16,11,0,3,0,16,2,1,0,0,0,0,1,1,3,0,0,0,0,0,25,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/net/http/handlers/TimeSeriesDataSourceTest.java,org.apache.aurora.common.net.http.handlers.TimeSeriesDataSourceTest,testGetColumns/0,false,63,4,1,10,8,0,1,0,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/net/http/handlers/TimeSeriesDataSourceTest.java,org.apache.aurora.common.net.http.handlers.TimeSeriesDataSourceTest,"checkRows/2[java.lang.Iterable<java.util.List<java.lang.Number>>,java.util.List<java.util.List<java.lang.Number>>]",false,119,0,3,8,10,0,2,2,8,0,0,2,0,0,0,2,1,2,1,2,0,0,0,13,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/net/http/handlers/TimeSeriesDataSourceTest.java,org.apache.aurora.common.net.http.handlers.TimeSeriesDataSourceTest,"makeTimeSeries/2[java.lang.String,java.lang.Number[]]",false,137,2,2,3,13,1,1,2,3,0,0,1,0,0,0,0,0,1,0,1,1,0,0,11,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/net/http/handlers/TimeSeriesDataSourceTest.java,org.apache.aurora.common.net.http.handlers.TimeSeriesDataSourceTest,testFilterByTime/0,false,98,6,2,17,11,0,4,0,17,2,1,0,0,0,0,2,3,4,0,0,0,0,1,24,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/net/http/handlers/TimeSeriesDataSourceTest.java,org.apache.aurora.common.net.http.handlers.TimeSeriesDataSourceTest,setUp/0,false,57,4,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/net/http/handlers/TimeSeriesDataSourceTest.java,org.apache.aurora.common.net.http.handlers.TimeSeriesDataSourceTest,getSamples/1[java.lang.String],false,133,1,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/net/http/handlers/VarsJsonHandlerTest.java,org.apache.aurora.common.net.http.handlers.VarsJsonHandlerTest,setUp/0,false,31,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/net/http/handlers/VarsJsonHandlerTest.java,org.apache.aurora.common.net.http.handlers.VarsJsonHandlerTest,testGet/0,false,45,3,1,5,5,0,0,0,5,0,0,0,0,0,0,5,2,0,0,0,0,0,0,9,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/net/http/handlers/VarsJsonHandlerTest.java,org.apache.aurora.common.net.http.handlers.VarsJsonHandlerTest,testGetEmpty/0,false,36,3,1,5,5,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/net/http/handlers/VarsJsonHandlerTest.java,org.apache.aurora.common.net.http.handlers.VarsJsonHandlerTest,testGetPretty/0,false,58,3,1,5,5,0,0,0,5,0,0,0,0,0,0,9,2,0,1,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/net/http/handlers/VarsHandlerTest.java,org.apache.aurora.common.net.http.handlers.VarsHandlerTest,testGetEmpty/0,false,47,3,1,5,5,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/net/http/handlers/VarsHandlerTest.java,org.apache.aurora.common.net.http.handlers.VarsHandlerTest,testGet/0,false,56,3,1,5,5,0,0,0,5,1,1,0,0,0,0,7,2,0,0,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/net/http/handlers/VarsHandlerTest.java,org.apache.aurora.common.net.http.handlers.VarsHandlerTest,setUp/0,false,40,7,1,2,7,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/net/http/handlers/VarsHandlerTest.java,org.apache.aurora.common.net.http.handlers.VarsHandlerTest,checkOutput/1[java.util.List<java.lang.String>],false,72,1,1,3,3,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/StateMachineTest.java,org.apache.aurora.common.util.StateMachineTest,testEmptySM/0,false,42,3,2,4,9,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/StateMachineTest.java,org.apache.aurora.common.util.StateMachineTest,testFilteredTransitionCallbacks/0,false,250,8,1,16,10,0,3,0,16,0,0,0,0,0,0,0,0,3,0,0,0,0,0,27,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/StateMachineTest.java,org.apache.aurora.common.util.StateMachineTest,testCheckStateMatches/0,false,166,5,1,9,7,0,1,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/StateMachineTest.java,org.apache.aurora.common.util.StateMachineTest,testNoThrowOnInvalidTransition/0,false,190,3,1,10,6,0,1,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/StateMachineTest.java,org.apache.aurora.common.util.StateMachineTest,testLoopingFSM/0,false,85,6,1,12,12,0,1,0,12,1,2,0,0,0,0,0,0,1,0,0,0,0,0,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/StateMachineTest.java,org.apache.aurora.common.util.StateMachineTest,"changeStateFail/2[org.apache.aurora.common.util.StateMachine<java.lang.String>,java.lang.String]",false,289,2,1,1,3,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/StateMachineTest.java,org.apache.aurora.common.util.StateMachineTest,testMachineSelfTransitionAllowed/0,false,138,6,1,11,7,0,1,0,11,1,2,0,0,0,0,0,0,1,0,0,0,0,0,15,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/StateMachineTest.java,org.apache.aurora.common.util.StateMachineTest,"changeState/3[org.apache.aurora.common.util.StateMachine<java.lang.String>,java.lang.String,boolean]",false,273,1,2,4,11,0,1,3,4,0,0,0,0,1,0,0,0,2,0,1,0,0,0,11,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/StateMachineTest.java,org.apache.aurora.common.util.StateMachineTest,testMachineNoInit/0,false,54,5,2,7,9,0,0,0,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,15,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/StateMachineTest.java,org.apache.aurora.common.util.StateMachineTest,testCheckStateFails/0,false,179,5,1,8,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/StateMachineTest.java,org.apache.aurora.common.util.StateMachineTest,testMachineBadTransition/0,false,122,6,1,12,8,0,1,0,12,2,3,0,0,0,0,0,0,1,0,0,0,0,0,17,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/StateMachineTest.java,org.apache.aurora.common.util.StateMachineTest,testBasicFSM/0,false,68,6,1,11,8,0,1,0,11,1,2,0,0,0,0,0,0,1,0,0,0,0,0,17,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/StateMachineTest.java,org.apache.aurora.common.util.StateMachineTest,"changeState/2[org.apache.aurora.common.util.StateMachine<java.lang.String>,java.lang.String]",false,285,2,1,1,3,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/StateMachineTest.java,org.apache.aurora.common.util.StateMachineTest,testMachineSelfTransitionDisallowed/0,false,152,6,1,11,7,0,1,0,11,1,2,0,0,0,0,0,0,1,0,0,0,0,0,17,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/StateMachineTest.java,org.apache.aurora.common.util.StateMachineTest,testMachineUnknownState/0,false,106,6,1,12,8,0,1,0,12,2,3,0,0,0,0,0,0,1,0,0,0,0,0,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/StateMachineTest.java,org.apache.aurora.common.util.StateMachineTest,testTransitionCallbacks/0,false,207,7,1,15,25,0,8,0,15,0,0,0,0,0,0,0,0,8,0,0,0,0,0,29,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/templating/StringTemplateHelperTest.java,org.apache.aurora.common.util.templating.StringTemplateHelperTest$Item,"Item/2[java.lang.String,int]",true,37,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/templating/StringTemplateHelperTest.java,org.apache.aurora.common.util.templating.StringTemplateHelperTest$Item,getName/0,false,42,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/templating/StringTemplateHelperTest.java,org.apache.aurora.common.util.templating.StringTemplateHelperTest$Item,getPrice/0,false,46,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/templating/StringTemplateHelperTest.java,org.apache.aurora.common.util.templating.StringTemplateHelperTest,setUp/0,false,29,2,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/templating/StringTemplateHelperTest.java,org.apache.aurora.common.util.templating.StringTemplateHelperTest,testMissingTemplate/0,false,72,2,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/templating/StringTemplateHelperTest.java,org.apache.aurora.common.util.templating.StringTemplateHelperTest,testFillTemplate/0,false,52,3,1,5,11,0,3,0,5,0,0,0,0,0,0,13,3,2,1,1,0,0,1,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/templating/StringTemplateHelperTest.java,org.apache.aurora.common.util.templating.StringTemplateHelperTest,testClosureError/0,false,80,3,1,1,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/TruncatedBinaryBackoffTest.java,org.apache.aurora.common.util.TruncatedBinaryBackoffTest,testCalculateBackoffMs/0,false,55,3,12,5,20,0,6,0,5,0,0,0,0,1,0,1,20,6,0,1,0,0,0,30,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/TruncatedBinaryBackoffTest.java,org.apache.aurora.common.util.TruncatedBinaryBackoffTest,testMaximumBackoffLessThanInitialBackoffRejected/0,false,50,3,1,1,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/TruncatedBinaryBackoffTest.java,org.apache.aurora.common.util.TruncatedBinaryBackoffTest,testShouldContinue/0,false,86,3,1,4,9,0,1,0,4,0,0,0,0,0,0,0,8,1,0,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/TruncatedBinaryBackoffTest.java,org.apache.aurora.common.util.TruncatedBinaryBackoffTest,testZeroInitialBackoffRejected/0,false,35,3,1,1,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/TruncatedBinaryBackoffTest.java,org.apache.aurora.common.util.TruncatedBinaryBackoffTest,testNegativeInitialBackoffRejected/0,false,40,3,1,1,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/TruncatedBinaryBackoffTest.java,org.apache.aurora.common.util.TruncatedBinaryBackoffTest,testNullMaximumBackoffRejected/0,false,45,3,1,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/TruncatedBinaryBackoffTest.java,org.apache.aurora.common.util.TruncatedBinaryBackoffTest,testNullInitialBackoffRejected/0,false,30,3,1,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/BackoffHelperTest.java,org.apache.aurora.common.util.BackoffHelperTest,testDoUntilSuccess/0,false,51,7,1,10,13,0,1,0,10,0,0,0,0,0,0,0,4,1,0,0,1,0,0,14,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/BackoffHelperTest.java,org.apache.aurora.common.util.BackoffHelperTest,testDoUntilResult/0,false,69,7,1,11,17,0,1,0,11,0,0,0,0,0,0,2,8,1,0,0,1,0,0,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/BackoffHelperTest.java,org.apache.aurora.common.util.BackoffHelperTest,testGetBackoffStrategy/0,false,44,2,1,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/BackoffHelperTest.java,org.apache.aurora.common.util.BackoffHelperTest,testDoUntilResultMaxReached/0,false,135,7,2,11,24,0,2,0,11,0,0,0,0,1,0,1,9,2,0,1,1,0,0,24,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/BackoffHelperTest.java,org.apache.aurora.common.util.BackoffHelperTest,setUp/0,false,37,5,1,2,5,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/BackoffHelperTest.java,org.apache.aurora.common.util.BackoffHelperTest,testDoUntilResultMaxSuccess/0,false,111,7,1,11,18,0,2,0,11,0,0,0,0,0,0,2,8,2,0,0,1,0,0,22,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/BackoffHelperTest.java,org.apache.aurora.common.util.BackoffHelperTest,testDoUntilSuccessTransparentException/0,false,165,5,2,9,16,0,2,0,9,0,0,0,0,1,0,1,0,2,0,1,1,0,0,20,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/BackoffHelperTest.java,org.apache.aurora.common.util.BackoffHelperTest,testDoUntilResultTransparentException/0,false,91,5,2,9,16,0,2,0,9,0,0,0,0,1,0,1,0,2,0,1,1,0,0,20,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aurora-6ec953f27f7f80366d6bf4c8e7cba0e62a874753/commons/src/test/java/org/apache/aurora/common/util/testing/FakeClockTest.java,org.apache.aurora.common.util.testing.FakeClockTest,setUp/0,false,31,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
