file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks$BlockingSimpleImpl,"add/2[int,int]",false,607,1,1,4,10,1,0,2,4,3,1,0,0,1,0,0,0,0,0,1,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks$BlockingSimpleImpl,echo/1[org.apache.avro.ipc.netty.TestRecord],false,596,2,1,4,10,1,0,1,4,3,1,0,0,1,0,0,0,0,0,1,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks$BlockingSimpleImpl,acquireRunPermit/0,false,653,0,2,3,9,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,13,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks$BlockingSimpleImpl,BlockingSimpleImpl/0,true,580,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks$BlockingSimpleImpl,releaseRunPermit/0,false,665,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks$BlockingSimpleImpl,hello/1[java.lang.String],false,585,1,1,4,10,1,0,1,4,3,1,0,0,1,0,0,0,0,0,1,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks$BlockingSimpleImpl,releaseEnterPermit/0,false,684,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks$BlockingSimpleImpl,error/0,false,629,1,1,4,10,0,0,0,4,3,1,0,0,1,0,0,0,0,0,1,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks$BlockingSimpleImpl,echoBytes/1[java.nio.ByteBuffer],false,618,1,1,4,10,1,0,1,4,3,1,0,0,1,0,0,0,0,0,1,0,0,0,13,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks$BlockingSimpleImpl,ack/0,false,640,1,1,4,10,0,0,0,4,3,1,0,0,1,0,0,0,0,0,1,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks$BlockingSimpleImpl,acquireEnterPermit/0,false,672,0,2,3,9,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,13,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks$Anonymous2,handleError/1[java.lang.Throwable],false,142,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks$Anonymous2,handleResult/1[org.apache.avro.ipc.netty.TestRecord],false,138,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks$Anonymous3,handleResult/1[java.lang.Integer],false,165,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks$Anonymous3,handleError/1[java.lang.Throwable],false,169,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks$Anonymous4,handleResult/1[java.nio.ByteBuffer],false,194,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks$Anonymous4,handleError/1[java.lang.Throwable],false,198,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks$Anonymous5,handleResult/1[java.lang.Void],false,239,1,1,2,3,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks$Anonymous5,handleError/1[java.lang.Throwable],false,243,0,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks,echo/0,false,118,6,1,10,20,0,3,0,10,0,0,0,0,0,0,1,18,3,0,0,1,0,0,13,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks,cancelPendingRequestsAfterChannelCloseByServerShutdown/0,false,374,9,5,16,39,0,6,0,16,0,0,0,1,3,0,3,5,7,1,3,0,0,1,44,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks,clientReconnectAfterServerRestart/0,false,446,10,2,9,26,0,5,0,9,0,0,0,0,2,0,3,10,6,2,2,0,0,0,38,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks,add/0,false,151,3,1,5,19,0,2,0,5,0,0,0,0,0,0,0,11,2,0,0,1,0,0,11,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks,tearDownConnections/0,false,81,3,3,2,8,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,7,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks,greeting/0,false,91,3,1,5,19,0,2,0,5,0,0,0,0,0,0,6,2,2,0,0,1,0,0,13,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks,error/0,false,207,4,4,14,39,0,3,0,14,0,0,0,0,2,0,7,3,3,5,1,1,0,0,24,1,2,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks,echoBytes/0,false,178,4,1,6,20,0,3,0,6,0,0,0,0,0,0,0,10,3,0,0,1,0,0,14,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks,performanceTest/0,false,488,2,4,16,31,0,7,0,16,0,0,2,0,1,3,10,9,7,6,4,0,0,1,36,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks,cancelPendingRequestsOnTransceiverClose/0,false,330,9,3,15,33,0,7,0,15,0,0,0,0,3,0,3,6,8,2,2,0,0,0,36,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks,testSendAfterChannelClose/0,false,266,8,5,13,49,0,6,0,13,0,0,0,0,4,0,6,12,10,1,3,0,0,0,40,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/avro-1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCallbacks.java,org.apache.avro.ipc.netty.TestNettyServerWithCallbacks,initializeConnections/0,false,66,8,1,4,9,0,2,0,4,0,0,0,0,0,0,1,1,5,1,0,0,0,0,18,9,0,false
