file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aws-toolkit-eclipse-49026f53fdd4f80a7fb997c9e40fe6e638a26edc/tests/com.amazonaws.eclipse.opsworks.tests/src/com/amazonaws/eclipse/opsworks/deploy/util/ZipUtilsTest.java,com.amazonaws.eclipse.opsworks.deploy.util.ZipUtilsTest,exceptionThrownIfRelativeFileAttemptsToLeaveParentDirectory/0,false,49,3,1,5,9,0,3,0,5,1,1,0,0,0,0,6,0,3,0,0,0,0,0,25,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aws-toolkit-eclipse-49026f53fdd4f80a7fb997c9e40fe6e638a26edc/tests/com.amazonaws.eclipse.opsworks.tests/src/com/amazonaws/eclipse/opsworks/deploy/util/ZipUtilsTest.java,com.amazonaws.eclipse.opsworks.deploy.util.ZipUtilsTest,"writeEntry/3[java.util.zip.ZipOutputStream,java.lang.String,java.lang.String]",false,62,0,1,4,5,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aws-toolkit-eclipse-49026f53fdd4f80a7fb997c9e40fe6e638a26edc/tests/com.amazonaws.eclipse.opsworks.tests/src/com/amazonaws/eclipse/opsworks/deploy/util/ZipUtilsTest.java,com.amazonaws.eclipse.opsworks.deploy.util.ZipUtilsTest,content/1[java.nio.file.Path],false,68,0,2,2,8,1,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,11,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aws-toolkit-eclipse-49026f53fdd4f80a7fb997c9e40fe6e638a26edc/tests/com.amazonaws.eclipse.opsworks.tests/src/com/amazonaws/eclipse/opsworks/deploy/util/ZipUtilsTest.java,com.amazonaws.eclipse.opsworks.deploy.util.ZipUtilsTest,canUnpackAZipFileToDirectory/0,false,29,3,1,16,14,0,6,0,16,1,1,0,0,0,0,14,0,4,0,0,0,0,2,25,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aws-toolkit-eclipse-49026f53fdd4f80a7fb997c9e40fe6e638a26edc/tests/com.amazonaws.eclipse.elasticbeanstalk.tests/src/com/amazonaws/eclipse/elasticbeanstalk/EnvironmentNameRegexTest.java,com.amazonaws.eclipse.elasticbeanstalk.EnvironmentNameRegexTest,testEnvironmentNameValidation/0,false,17,2,1,3,13,0,1,0,3,0,0,0,0,0,0,10,0,1,0,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aws-toolkit-eclipse-49026f53fdd4f80a7fb997c9e40fe6e638a26edc/tests/com.amazonaws.eclipse.elasticbeanstalk.tests/src/com/amazonaws/eclipse/elasticbeanstalk/server/ui/configEditor/IgnoredOptionsTest.java,com.amazonaws.eclipse.elasticbeanstalk.server.ui.configEditor.IgnoredOptionsTest,ignoreOption_OnlyIgnoresThatOptionNotTheNamespace/0,false,58,2,1,5,8,0,2,0,5,0,0,0,0,0,0,3,0,2,0,0,0,0,0,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aws-toolkit-eclipse-49026f53fdd4f80a7fb997c9e40fe6e638a26edc/tests/com.amazonaws.eclipse.elasticbeanstalk.tests/src/com/amazonaws/eclipse/elasticbeanstalk/server/ui/configEditor/IgnoredOptionsTest.java,com.amazonaws.eclipse.elasticbeanstalk.server.ui.configEditor.IgnoredOptionsTest,setup/0,false,33,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aws-toolkit-eclipse-49026f53fdd4f80a7fb997c9e40fe6e638a26edc/tests/com.amazonaws.eclipse.elasticbeanstalk.tests/src/com/amazonaws/eclipse/elasticbeanstalk/server/ui/configEditor/IgnoredOptionsTest.java,com.amazonaws.eclipse.elasticbeanstalk.server.ui.configEditor.IgnoredOptionsTest,ignoreNamespace_ignoresAllOptionsInThatNamespace/0,false,38,2,1,5,7,0,1,0,5,0,0,0,0,0,0,3,0,1,0,0,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aws-toolkit-eclipse-49026f53fdd4f80a7fb997c9e40fe6e638a26edc/tests/com.amazonaws.eclipse.elasticbeanstalk.tests/src/com/amazonaws/eclipse/elasticbeanstalk/server/ui/configEditor/IgnoredOptionsTest.java,com.amazonaws.eclipse.elasticbeanstalk.server.ui.configEditor.IgnoredOptionsTest,ignoreOptions_IgnoreMultipleOptions/0,false,47,2,1,3,9,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/aws-toolkit-eclipse-49026f53fdd4f80a7fb997c9e40fe6e638a26edc/tests/com.amazonaws.eclipse.simpledb.tests/src/com/amazonaws/eclipse/datatools/enablement/simpledb/AllTests.java,com.amazonaws.eclipse.datatools.enablement.simpledb.AllTests,suite/0,false,25,3,1,1,5,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,9,0,false
