file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/bigtop-2cfcee08fc39a5f0b918ff2b895e1620344b390b/bigtop-test-framework/src/test/groovy/org/apache/bigtop/itest/TestContractJava.java,org.apache.bigtop.itest.TestContractJava,testEnvSettings/0,false,82,1,1,2,4,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/bigtop-2cfcee08fc39a5f0b918ff2b895e1620344b390b/bigtop-test-framework/src/test/groovy/org/apache/bigtop/itest/TestContractJava.java,org.apache.bigtop.itest.TestContractJava,setUp/0,false,57,3,1,3,6,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/bigtop-2cfcee08fc39a5f0b918ff2b895e1620344b390b/bigtop-test-framework/src/test/groovy/org/apache/bigtop/itest/TestContractJava.java,org.apache.bigtop.itest.TestContractJava,testPropSettings/0,false,66,1,1,1,8,0,0,0,1,0,0,0,0,0,0,8,2,0,0,0,0,0,0,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/bigtop-2cfcee08fc39a5f0b918ff2b895e1620344b390b/bigtop-test-framework/src/test/groovy/org/apache/bigtop/itest/TestContractJavaProc.java,org.apache.bigtop.itest.TestContractJavaProc,testEnvSettings/0,false,84,1,1,2,4,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/bigtop-2cfcee08fc39a5f0b918ff2b895e1620344b390b/bigtop-test-framework/src/test/groovy/org/apache/bigtop/itest/TestContractJavaProc.java,org.apache.bigtop.itest.TestContractJavaProc,testPropSettings/0,false,68,1,1,1,8,0,0,0,1,0,0,0,0,0,0,8,2,0,0,0,0,0,0,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/bigtop-2cfcee08fc39a5f0b918ff2b895e1620344b390b/bigtop-test-framework/src/test/groovy/org/apache/bigtop/itest/TestContractJavaProc.java,org.apache.bigtop.itest.TestContractJavaProc,setUp/0,false,57,3,1,3,6,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,5,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/bigtop-2cfcee08fc39a5f0b918ff2b895e1620344b390b/bigtop-test-framework/src/main/groovy/org/apache/bigtop/itest/junit/OrderedParameterized.java,org.apache.bigtop.itest.junit.OrderedParameterized,getChildren/0,false,171,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/bigtop-2cfcee08fc39a5f0b918ff2b895e1620344b390b/bigtop-test-framework/src/main/groovy/org/apache/bigtop/itest/junit/OrderedParameterized.java,org.apache.bigtop.itest.junit.OrderedParameterized,getParametersList/1[org.apache.bigtop.itest.junit.TestClass],false,176,2,1,2,3,1,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,9,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/bigtop-2cfcee08fc39a5f0b918ff2b895e1620344b390b/bigtop-test-framework/src/main/groovy/org/apache/bigtop/itest/junit/OrderedParameterized.java,org.apache.bigtop.itest.junit.OrderedParameterized,getParametersMethod/1[org.apache.bigtop.itest.junit.TestClass],false,155,3,4,6,8,1,2,1,6,0,0,1,0,0,0,1,0,2,1,2,0,0,0,14,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/bigtop-2cfcee08fc39a5f0b918ff2b895e1620344b390b/bigtop-test-framework/src/main/groovy/org/apache/bigtop/itest/junit/OrderedParameterized.java,org.apache.bigtop.itest.junit.OrderedParameterized,OrderedParameterized/1[java.lang.Class<?>],true,180,2,2,7,5,0,1,1,7,1,2,1,0,0,0,0,0,1,0,1,0,0,0,15,1,0,false
