file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/AbstractMessageQueueTest.java,com.google.caja.reporting.AbstractMessageQueueTest,setUp/0,false,66,2,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,11,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/AbstractMessageQueueTest.java,com.google.caja.reporting.AbstractMessageQueueTest,tearDown/0,false,77,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/AbstractMessageQueueTest.java,com.google.caja.reporting.AbstractMessageQueueTest,testAddMessageSimple/0,false,82,3,1,8,7,0,0,0,8,0,0,0,0,0,0,2,4,0,0,0,0,0,0,8,17,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/AbstractMessageQueueTest.java,com.google.caja.reporting.AbstractMessageQueueTest,testAddMessageWithLevel/0,false,94,3,1,8,7,0,0,0,8,0,0,0,0,0,0,2,4,0,0,0,0,0,0,9,17,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/AbstractMessageQueueTest.java,com.google.caja.reporting.AbstractMessageQueueTest,testHasMessageAtLevel/0,false,109,2,1,8,9,0,0,0,8,0,0,0,0,0,0,2,3,0,0,0,0,0,0,9,17,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/AbstractMessageQueueTest.java,com.google.caja.reporting.AbstractMessageQueueTest$Anonymous1,getMessages/0,false,70,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/AbstractMessageQueueTest.java,com.google.caja.reporting.AbstractMessageQueueTest$TestMessageType,getParamCount/0,false,51,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/AbstractMessageQueueTest.java,com.google.caja.reporting.AbstractMessageQueueTest$TestMessageType,getLevel/0,false,49,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/AbstractMessageQueueTest.java,com.google.caja.reporting.AbstractMessageQueueTest$TestMessageType,name/0,false,53,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/AbstractMessageQueueTest.java,com.google.caja.reporting.AbstractMessageQueueTest$TestMessageType,"TestMessageType/2[com.google.caja.reporting.MessageLevel,java.lang.String]",true,35,1,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/AbstractMessageQueueTest.java,com.google.caja.reporting.AbstractMessageQueueTest$TestMessageType,"format/3[com.google.caja.reporting.MessagePart[],com.google.caja.reporting.MessageContext,java.lang.Appendable]",false,43,2,1,2,5,0,0,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/HtmlSnippetProducerTest.java,com.google.caja.reporting.HtmlSnippetProducerTest,testSnippetEscaped/0,false,25,5,1,5,7,0,4,0,5,0,0,0,0,0,0,12,4,4,1,0,0,0,0,24,17,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/BuildInfoTest.java,com.google.caja.reporting.BuildInfoTest,getDefaultBuildInfo/0,false,26,1,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/BuildInfoTest.java,com.google.caja.reporting.BuildInfoTest,testEmptyInfo/0,false,54,3,1,3,4,0,1,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,10,17,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/BuildInfoTest.java,com.google.caja.reporting.BuildInfoTest,getMessage/1[com.google.caja.reporting.BuildInfo],false,39,4,1,5,6,1,1,1,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,10,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/BuildInfoTest.java,com.google.caja.reporting.BuildInfoTest,testNonemptyInfo/0,false,46,3,1,7,7,0,2,0,7,2,1,0,0,0,0,2,0,2,0,0,0,0,0,13,17,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/BuildInfoTest.java,com.google.caja.reporting.BuildInfoTest$Anonymous1,getContents/0,false,30,0,1,0,3,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/SnippetProducerTest.java,com.google.caja.reporting.SnippetProducerTest$TestMessageType,getLevel/0,false,88,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/SnippetProducerTest.java,com.google.caja.reporting.SnippetProducerTest$TestMessageType,"format/3[com.google.caja.reporting.MessagePart[],com.google.caja.reporting.MessageContext,java.lang.Appendable]",false,84,3,1,1,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/SnippetProducerTest.java,com.google.caja.reporting.SnippetProducerTest$TestMessageType,"TestMessageType/2[java.lang.String,com.google.caja.reporting.MessageLevel]",true,76,2,1,1,5,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/SnippetProducerTest.java,com.google.caja.reporting.SnippetProducerTest$TestMessageType,getParamCount/0,false,90,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/SnippetProducerTest.java,com.google.caja.reporting.SnippetProducerTest,testGetSnippetOnePos/0,false,104,3,1,3,4,0,1,0,3,0,0,0,0,0,1,2,4,1,1,0,0,0,0,11,17,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/SnippetProducerTest.java,com.google.caja.reporting.SnippetProducerTest,testZeroLengthRegion/0,false,135,3,1,3,4,0,1,0,3,0,0,0,0,0,1,2,3,1,1,0,0,0,0,10,17,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/SnippetProducerTest.java,com.google.caja.reporting.SnippetProducerTest,testGetSnippetNoPos/0,false,93,2,1,2,4,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,17,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/SnippetProducerTest.java,com.google.caja.reporting.SnippetProducerTest,testZeroLengthAtEndOfLine/0,false,144,3,1,4,5,0,2,0,4,0,0,0,0,0,1,2,2,2,2,0,0,0,0,15,17,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/SnippetProducerTest.java,com.google.caja.reporting.SnippetProducerTest,testLongLineCutLeft/0,false,186,3,1,3,4,0,1,0,3,0,0,0,0,0,0,2,4,1,1,0,0,0,0,9,17,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/SnippetProducerTest.java,com.google.caja.reporting.SnippetProducerTest,setUp/0,false,51,3,1,4,13,0,2,0,4,0,0,0,0,0,0,0,1,4,0,0,0,0,0,15,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/SnippetProducerTest.java,com.google.caja.reporting.SnippetProducerTest,testZeroLengthAtEndOfFile/0,false,155,3,1,4,5,0,2,0,4,0,0,0,0,0,1,2,2,2,2,0,0,0,0,15,17,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/SnippetProducerTest.java,com.google.caja.reporting.SnippetProducerTest,testGetSnippetOnePartNoPos/0,false,98,3,1,3,4,0,1,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,11,17,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/SnippetProducerTest.java,com.google.caja.reporting.SnippetProducerTest,testLongLineCutBoth/0,false,196,3,1,3,4,0,1,0,3,0,0,0,0,0,0,2,4,1,1,0,0,0,0,9,17,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/SnippetProducerTest.java,com.google.caja.reporting.SnippetProducerTest,testLongLineUncut/0,false,166,3,1,3,4,0,1,0,3,0,0,0,0,0,0,2,4,1,1,0,0,0,0,8,17,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/SnippetProducerTest.java,com.google.caja.reporting.SnippetProducerTest,testLongLineCutRight/0,false,176,3,1,3,4,0,1,0,3,0,0,0,0,0,0,2,4,1,1,0,0,0,0,9,17,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/reporting/SnippetProducerTest.java,com.google.caja.reporting.SnippetProducerTest,testGetSnippetTwoPos/0,false,114,6,1,9,6,0,2,0,9,0,0,0,0,0,1,6,7,2,3,0,0,0,0,22,17,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/tools/TestSummary.java,com.google.caja.tools.TestSummary$Anonymous1,apply/1[java.lang.String],false,200,0,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/tools/TestSummary.java,com.google.caja.tools.TestSummary,"isFailureAnOption/3[java.lang.Class<?>,java.lang.String,com.google.caja.util.Function<java.lang.String,java.lang.Void>]",false,211,4,4,12,25,4,4,3,12,0,0,0,1,1,0,4,2,4,2,2,0,0,0,28,9,2,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/tools/TestSummary.java,com.google.caja.tools.TestSummary,"hero/2[java.lang.String,java.lang.String]",false,238,0,1,1,3,0,0,2,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,8,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/tools/TestSummary.java,com.google.caja.tools.TestSummary,setFailureProperty/1[java.lang.String],false,298,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/tools/TestSummary.java,com.google.caja.tools.TestSummary,execute/0,false,75,7,20,26,81,0,27,0,26,4,3,2,10,2,1,34,12,32,8,4,0,0,0,76,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/tools/TestSummary.java,com.google.caja.tools.TestSummary,"rewriteChildElements/3[org.w3c.dom.Element,java.lang.String,java.lang.String]",false,271,5,7,13,24,1,8,3,13,0,0,4,2,0,0,0,2,10,0,3,0,0,0,19,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/tools/TestSummary.java,com.google.caja.tools.TestSummary,"hasFailAnnotation/2[java.lang.String,java.lang.String]",false,188,2,2,3,17,2,1,2,3,1,1,0,0,1,0,1,0,1,1,1,1,0,0,23,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/tools/TestSummary.java,com.google.caja.tools.TestSummary,"adjAttr/3[org.w3c.dom.Element,java.lang.String,int]",false,263,1,2,4,5,0,2,3,4,0,0,0,0,0,1,2,1,2,2,0,0,0,0,8,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/tools/TestSummary.java,com.google.caja.tools.TestSummary,"subtract/3[int,int,org.w3c.dom.Element]",false,250,3,3,4,13,0,1,3,4,1,1,1,0,0,1,1,0,2,0,2,0,0,0,10,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/tools/TestSummary.java,com.google.caja.tools.TestSummary,setErrorProperty/1[java.lang.String],false,297,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/tools/TestSummary.java,com.google.caja.tools.TestSummary,createFileSet/0,false,299,2,2,0,6,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/util/NameTest.java,com.google.caja.util.NameTest,testCss/0,false,21,1,1,3,5,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,17,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/caja-964609d5ec3272e4060cfb990bf263f6e5c56e22/tests/com/google/caja/util/RhinoExecutor.java,com.google.caja.util.RhinoExecutor,enableContentUrls/0,false,446,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,9,0,true
