file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/calcite-avatica-9cf1a92c58f2fbac5ea5723f0b13e5bec436432b/metrics/src/test/java/org/apache/calcite/avatica/metrics/noop/NoopMetricsSystemFactoryTest.java,org.apache.calcite.avatica.metrics.noop.NoopMetricsSystemFactoryTest,testSingleton/0,false,28,3,2,3,5,0,2,0,3,0,0,0,1,0,0,1,0,2,0,0,0,0,0,14,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/calcite-avatica-9cf1a92c58f2fbac5ea5723f0b13e5bec436432b/metrics/src/test/java/org/apache/calcite/avatica/metrics/noop/NoopMetricsSystemTest.java,org.apache.calcite.avatica.metrics.noop.NoopMetricsSystemTest,testSingleton/0,false,67,2,2,2,3,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/calcite-avatica-9cf1a92c58f2fbac5ea5723f0b13e5bec436432b/metrics/src/test/java/org/apache/calcite/avatica/metrics/noop/NoopMetricsSystemTest.java,org.apache.calcite.avatica.metrics.noop.NoopMetricsSystemTest,testNoNulls/0,false,36,9,2,17,25,0,7,0,17,0,0,0,1,0,0,6,5,7,0,0,1,0,0,29,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/calcite-avatica-9cf1a92c58f2fbac5ea5723f0b13e5bec436432b/metrics/src/test/java/org/apache/calcite/avatica/metrics/noop/NoopMetricsSystemTest.java,org.apache.calcite.avatica.metrics.noop.NoopMetricsSystemTest$Anonymous1,getValue/0,false,61,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/calcite-avatica-9cf1a92c58f2fbac5ea5723f0b13e5bec436432b/metrics/src/test/java/org/apache/calcite/avatica/metrics/MetricsSystemLoaderTest.java,org.apache.calcite.avatica.metrics.MetricsSystemLoaderTest$MarkedMetricsSystem,MarkedMetricsSystem/0,true,92,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/calcite-avatica-9cf1a92c58f2fbac5ea5723f0b13e5bec436432b/metrics/src/test/java/org/apache/calcite/avatica/metrics/MetricsSystemLoaderTest.java,org.apache.calcite.avatica.metrics.MetricsSystemLoaderTest$MarkedMetricsSystem,"register/2[java.lang.String,org.apache.calcite.avatica.metrics.Gauge<T>]",false,110,2,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/calcite-avatica-9cf1a92c58f2fbac5ea5723f0b13e5bec436432b/metrics/src/test/java/org/apache/calcite/avatica/metrics/MetricsSystemLoaderTest.java,org.apache.calcite.avatica.metrics.MetricsSystemLoaderTest$MarkedMetricsSystem,getMeter/1[java.lang.String],false,102,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/calcite-avatica-9cf1a92c58f2fbac5ea5723f0b13e5bec436432b/metrics/src/test/java/org/apache/calcite/avatica/metrics/MetricsSystemLoaderTest.java,org.apache.calcite.avatica.metrics.MetricsSystemLoaderTest$MarkedMetricsSystem,getTimer/1[java.lang.String],false,94,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/calcite-avatica-9cf1a92c58f2fbac5ea5723f0b13e5bec436432b/metrics/src/test/java/org/apache/calcite/avatica/metrics/MetricsSystemLoaderTest.java,org.apache.calcite.avatica.metrics.MetricsSystemLoaderTest$MarkedMetricsSystem,getHistogram/1[java.lang.String],false,98,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/calcite-avatica-9cf1a92c58f2fbac5ea5723f0b13e5bec436432b/metrics/src/test/java/org/apache/calcite/avatica/metrics/MetricsSystemLoaderTest.java,org.apache.calcite.avatica.metrics.MetricsSystemLoaderTest$MarkedMetricsSystem,getCounter/1[java.lang.String],false,106,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
