file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ceylon-d3994d6cd120c4df85952cd9432123b413cfd65a/tools/src/org/eclipse/ceylon/tools/jigsaw/CeylonJigsawTool.java,org.eclipse.ceylon.tools.jigsaw.CeylonJigsawTool,setOut/1[java.io.File],false,75,2,1,0,3,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,14,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ceylon-d3994d6cd120c4df85952cd9432123b413cfd65a/tools/src/org/eclipse/ceylon/tools/jigsaw/CeylonJigsawTool.java,org.eclipse.ceylon.tools.jigsaw.CeylonJigsawTool,setStaticMetamodel/1[boolean],false,112,2,1,0,3,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,9,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ceylon-d3994d6cd120c4df85952cd9432123b413cfd65a/tools/src/org/eclipse/ceylon/tools/jigsaw/CeylonJigsawTool.java,org.eclipse.ceylon.tools.jigsaw.CeylonJigsawTool,run/0,false,117,8,8,13,42,1,3,0,13,0,0,1,1,0,0,2,0,3,0,2,1,0,0,36,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ceylon-d3994d6cd120c4df85952cd9432123b413cfd65a/tools/src/org/eclipse/ceylon/tools/jigsaw/CeylonJigsawTool.java,org.eclipse.ceylon.tools.jigsaw.CeylonJigsawTool,setForce/1[boolean],false,106,2,1,0,3,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,14,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ceylon-d3994d6cd120c4df85952cd9432123b413cfd65a/tools/src/org/eclipse/ceylon/tools/jigsaw/CeylonJigsawTool.java,org.eclipse.ceylon.tools.jigsaw.CeylonJigsawTool,setModuleSpecs/1[java.util.List<org.eclipse.ceylon.common.ModuleSpec>],false,69,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ceylon-d3994d6cd120c4df85952cd9432123b413cfd65a/tools/src/org/eclipse/ceylon/tools/jigsaw/CeylonJigsawTool.java,org.eclipse.ceylon.tools.jigsaw.CeylonJigsawTool,"shouldExclude/2[java.lang.String,java.lang.String]",false,177,0,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ceylon-d3994d6cd120c4df85952cd9432123b413cfd65a/tools/src/org/eclipse/ceylon/tools/jigsaw/CeylonJigsawTool.java,org.eclipse.ceylon.tools.jigsaw.CeylonJigsawTool,setModules/1[java.util.List<java.lang.String>],false,65,3,1,2,3,0,0,1,2,1,1,0,0,0,0,2,1,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ceylon-d3994d6cd120c4df85952cd9432123b413cfd65a/tools/src/org/eclipse/ceylon/tools/jigsaw/CeylonJigsawTool.java,org.eclipse.ceylon.tools.jigsaw.CeylonJigsawTool,setMode/1[org.eclipse.ceylon.tools.jigsaw.CeylonJigsawTool.Mode],false,60,2,1,0,3,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ceylon-d3994d6cd120c4df85952cd9432123b413cfd65a/tools/src/org/eclipse/ceylon/tools/jigsaw/CeylonJigsawTool.java,org.eclipse.ceylon.tools.jigsaw.CeylonJigsawTool,setExcludeModule/1[java.util.List<java.lang.String>],false,85,4,6,5,19,0,3,1,5,0,0,2,1,1,1,7,0,3,1,4,0,0,0,57,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ceylon-d3994d6cd120c4df85952cd9432123b413cfd65a/tools/src/org/eclipse/ceylon/tools/jigsaw/CeylonJigsawTool.java,org.eclipse.ceylon.tools.jigsaw.CeylonJigsawTool$Anonymous1,visit/1[org.eclipse.ceylon.tools.jigsaw.Module],false,147,1,5,11,18,0,2,1,11,0,0,0,2,1,0,2,2,3,2,4,0,0,0,14,1,0,false
