file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/cf-java-client-sap-d82627cf3cf43bb556746e8a297338353b86a932/cloudfoundry-client-lib/src/test/java/org/cloudfoundry/client/lib/PortAvailability.java,org.cloudfoundry.client.lib.PortAvailability,available/1[int],false,24,1,2,5,19,2,2,1,5,2,1,0,0,1,0,1,0,4,0,1,0,0,0,25,9,1,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/cf-java-client-sap-d82627cf3cf43bb556746e8a297338353b86a932/cloudfoundry-client-lib/src/test/java/org/cloudfoundry/client/lib/PortAvailability.java,org.cloudfoundry.client.lib.PortAvailability,close/1[java.net.DatagramSocket],false,43,0,2,1,5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/cf-java-client-sap-d82627cf3cf43bb556746e8a297338353b86a932/cloudfoundry-client-lib/src/test/java/org/cloudfoundry/client/lib/PortAvailability.java,org.cloudfoundry.client.lib.PortAvailability,close/1[java.net.ServerSocket],false,49,0,3,2,10,0,0,1,2,0,0,0,1,1,0,1,0,0,0,2,0,0,0,10,10,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/cf-java-client-sap-d82627cf3cf43bb556746e8a297338353b86a932/cloudfoundry-client-lib/src/test/java/org/cloudfoundry/client/lib/SocketDestHelper.java,org.cloudfoundry.client.lib.SocketDestHelper,"throwExceptionIfForbidden/2[java.net.InetSocketAddress,int]",false,131,1,1,2,3,0,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/cf-java-client-sap-d82627cf3cf43bb556746e8a297338353b86a932/cloudfoundry-client-lib/src/test/java/org/cloudfoundry/client/lib/SocketDestHelper.java,org.cloudfoundry.client.lib.SocketDestHelper,isActivated/0,false,49,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/cf-java-client-sap-d82627cf3cf43bb556746e8a297338353b86a932/cloudfoundry-client-lib/src/test/java/org/cloudfoundry/client/lib/SocketDestHelper.java,org.cloudfoundry.client.lib.SocketDestHelper,logDebugTrace/1[java.lang.String],false,62,0,2,2,6,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/cf-java-client-sap-d82627cf3cf43bb556746e8a297338353b86a932/cloudfoundry-client-lib/src/test/java/org/cloudfoundry/client/lib/SocketDestHelper.java,org.cloudfoundry.client.lib.SocketDestHelper,isSocketRestrictionFlagActive/0,false,53,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/cf-java-client-sap-d82627cf3cf43bb556746e8a297338353b86a932/cloudfoundry-client-lib/src/test/java/org/cloudfoundry/client/lib/SocketDestHelper.java,org.cloudfoundry.client.lib.SocketDestHelper,setAllowedOnCurrentThread/0,false,84,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/cf-java-client-sap-d82627cf3cf43bb556746e8a297338353b86a932/cloudfoundry-client-lib/src/test/java/org/cloudfoundry/client/lib/SocketDestHelper.java,org.cloudfoundry.client.lib.SocketDestHelper,"throwExceptionIfForbidden/2[java.net.InetAddress,int]",false,123,1,1,2,3,0,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/cf-java-client-sap-d82627cf3cf43bb556746e8a297338353b86a932/cloudfoundry-client-lib/src/test/java/org/cloudfoundry/client/lib/SocketDestHelper.java,org.cloudfoundry.client.lib.SocketDestHelper,printStackTrace/1[java.io.IOException],false,70,0,2,1,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/cf-java-client-sap-d82627cf3cf43bb556746e8a297338353b86a932/cloudfoundry-client-lib/src/test/java/org/cloudfoundry/client/lib/SocketDestHelper.java,org.cloudfoundry.client.lib.SocketDestHelper,uninstalled/1[java.lang.String],false,57,1,1,2,4,0,0,1,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,6,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/cf-java-client-sap-d82627cf3cf43bb556746e8a297338353b86a932/cloudfoundry-client-lib/src/test/java/org/cloudfoundry/client/lib/SocketDestHelper.java,org.cloudfoundry.client.lib.SocketDestHelper,setForbiddenOnCurrentThread/0,false,88,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/cf-java-client-sap-d82627cf3cf43bb556746e8a297338353b86a932/cloudfoundry-client-lib/src/test/java/org/cloudfoundry/client/lib/SocketDestHelper.java,org.cloudfoundry.client.lib.SocketDestHelper,alwaysThrowException/0,false,78,1,1,1,5,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,9,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/cf-java-client-sap-d82627cf3cf43bb556746e8a297338353b86a932/cloudfoundry-client-lib/src/test/java/org/cloudfoundry/client/lib/SocketDestHelper.java,org.cloudfoundry.client.lib.SocketDestHelper,installed/1[java.lang.String],false,41,1,1,2,4,0,0,1,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,6,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/cf-java-client-sap-d82627cf3cf43bb556746e8a297338353b86a932/cloudfoundry-client-lib/src/test/java/org/cloudfoundry/client/lib/SocketDestHelper.java,org.cloudfoundry.client.lib.SocketDestHelper,deactivated/0,false,32,1,1,2,4,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/cf-java-client-sap-d82627cf3cf43bb556746e8a297338353b86a932/cloudfoundry-client-lib/src/test/java/org/cloudfoundry/client/lib/SocketDestHelper.java,org.cloudfoundry.client.lib.SocketDestHelper,"throwExceptionIfForbidden/2[java.lang.String,int]",false,92,2,6,7,19,0,4,2,7,2,1,0,2,1,0,7,4,5,3,2,0,0,0,41,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/cf-java-client-sap-d82627cf3cf43bb556746e8a297338353b86a932/cloudfoundry-client-lib/src/test/java/org/cloudfoundry/client/lib/SocketDestHelper.java,org.cloudfoundry.client.lib.SocketDestHelper,throwExceptionIfForbidden/1[java.net.InetSocketAddress],false,127,1,1,3,3,0,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/cf-java-client-sap-d82627cf3cf43bb556746e8a297338353b86a932/cloudfoundry-client-lib/src/test/java/org/cloudfoundry/client/lib/SocketDestHelper.java,org.cloudfoundry.client.lib.SocketDestHelper,activated/0,false,27,1,1,2,4,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/cf-java-client-sap-d82627cf3cf43bb556746e8a297338353b86a932/cloudfoundry-client-lib/src/test/java/org/cloudfoundry/client/lib/SocketDestHelper.java,org.cloudfoundry.client.lib.SocketDestHelper,getInstalledRules/0,false,37,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/cf-java-client-sap-d82627cf3cf43bb556746e8a297338353b86a932/cloudfoundry-client-lib/src/test/java/org/cloudfoundry/client/lib/SocketDestHelper.java,org.cloudfoundry.client.lib.SocketDestHelper,throwExceptionIfForbidden/1[java.net.SocketAddress],false,116,1,2,1,6,0,1,1,1,1,3,0,0,0,0,0,0,1,0,1,0,0,0,11,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/cf-java-client-sap-d82627cf3cf43bb556746e8a297338353b86a932/cloudfoundry-client-lib/src/test/java/org/cloudfoundry/client/lib/archive/DirectoryApplicationArchiveTest.java,org.cloudfoundry.client.lib.archive.DirectoryApplicationArchiveTest,assertNoScmDirectories/1[org.cloudfoundry.client.lib.archive.ApplicationArchive],false,119,2,4,4,14,0,2,1,4,0,0,1,0,0,0,4,0,4,2,2,0,0,0,21,2,0,false
