file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/che-ls-jdt-e01d6b73a3ddc947b425afedb7ced87fa4a5cc5f/org-eclipse-che-jdt-ls-extension/jdt.ls.extension.test/projects/organizeimports/src/Main.java,Main,main/1[java.lang.String[]],false,2,2,1,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/che-ls-jdt-e01d6b73a3ddc947b425afedb7ced87fa4a5cc5f/org-eclipse-che-jdt-ls-extension/jdt.ls.extension.test/projects/maven/testproject/src/test/java/org/eclipse/che/examples/AppOneTest.java,org.eclipse.che.examples.AppOneTest,shouldBeIgnoredOfAppOne/0,false,39,2,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/che-ls-jdt-e01d6b73a3ddc947b425afedb7ced87fa4a5cc5f/org-eclipse-che-jdt-ls-extension/jdt.ls.extension.test/projects/maven/testproject/src/test/java/org/eclipse/che/examples/AppOneTest.java,org.eclipse.che.examples.AppOneTest,shouldFailOfAppOne/0,false,33,2,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/che-ls-jdt-e01d6b73a3ddc947b425afedb7ced87fa4a5cc5f/org-eclipse-che-jdt-ls-extension/jdt.ls.extension.test/projects/maven/testproject/src/test/java/org/eclipse/che/examples/AppOneTest.java,org.eclipse.che.examples.AppOneTest,shouldSuccessOfAppOne/0,false,28,2,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/che-ls-jdt-e01d6b73a3ddc947b425afedb7ced87fa4a5cc5f/org-eclipse-che-jdt-ls-extension/jdt.ls.extension.test/projects/maven/testproject/src/test/java/org/eclipse/che/examples/AppAnotherTest.java,org.eclipse.che.examples.AppAnotherTest,shouldFailOfAppAnother/0,false,33,2,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/che-ls-jdt-e01d6b73a3ddc947b425afedb7ced87fa4a5cc5f/org-eclipse-che-jdt-ls-extension/jdt.ls.extension.test/projects/maven/testproject/src/test/java/org/eclipse/che/examples/AppAnotherTest.java,org.eclipse.che.examples.AppAnotherTest,shouldBeIgnoredOfAppAnother/0,false,39,2,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/che-ls-jdt-e01d6b73a3ddc947b425afedb7ced87fa4a5cc5f/org-eclipse-che-jdt-ls-extension/jdt.ls.extension.test/projects/maven/testproject/src/test/java/org/eclipse/che/examples/AppAnotherTest.java,org.eclipse.che.examples.AppAnotherTest,shouldSuccessOfAppAnother/0,false,28,2,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/che-ls-jdt-e01d6b73a3ddc947b425afedb7ced87fa4a5cc5f/org-eclipse-che-jdt-ls-extension/jdt.ls.extension.test/projects/maven/testproject/src/main/java/org/eclipse/che/examples/ChildClass.java,org.eclipse.che.examples.ChildClass,simpleMethod/1[int],false,17,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/che-ls-jdt-e01d6b73a3ddc947b425afedb7ced87fa4a5cc5f/org-eclipse-che-jdt-ls-extension/jdt.ls.extension.test/projects/maven/testproject/src/main/java/org/eclipse/che/examples/ChildClass.java,org.eclipse.che.examples.ChildClass,interfaceMethod/0,false,22,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/che-ls-jdt-e01d6b73a3ddc947b425afedb7ced87fa4a5cc5f/org-eclipse-che-jdt-ls-extension/jdt.ls.extension.test/projects/maven/testproject/src/main/java/org/eclipse/che/examples/ParentClass.java,org.eclipse.che.examples.ParentClass,simpleMethod/1[int],false,16,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/che-ls-jdt-e01d6b73a3ddc947b425afedb7ced87fa4a5cc5f/org-eclipse-che-jdt-ls-extension/jdt.ls.extension.test/projects/maven/testproject/src/main/java/org/eclipse/che/examples/TestInterface.java,org.eclipse.che.examples.TestInterface,interfaceMethod/0,false,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/che-ls-jdt-e01d6b73a3ddc947b425afedb7ced87fa4a5cc5f/org-eclipse-che-jdt-ls-extension/jdt.ls.extension.test/projects/maven/testproject/src/main/java/org/eclipse/che/examples/HelloWorld.java,org.eclipse.che.examples.HelloWorld,main/1[java.lang.String[]],false,15,0,1,1,4,0,1,1,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,4,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/che-ls-jdt-e01d6b73a3ddc947b425afedb7ced87fa4a5cc5f/org-eclipse-che-jdt-ls-extension/jdt.ls.extension.test/projects/maven/testproject/src/main/java/org/eclipse/che/examples/HelloWorld.java,org.eclipse.che.examples.HelloWorld,returnTrue/0,false,20,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/che-ls-jdt-e01d6b73a3ddc947b425afedb7ced87fa4a5cc5f/org-eclipse-che-jdt-ls-extension/jdt.ls.extension.test/projects/maven/broken/src/main/java/java/Foo.java,java.Foo,main/1[java.lang.String[]],false,10,0,1,2,3,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/che-ls-jdt-e01d6b73a3ddc947b425afedb7ced87fa4a5cc5f/org-eclipse-che-jdt-ls-extension/jdt.ls.extension.test/projects/maven/usages/src/test/java/pkg1/ATest.java,pkg1.ATest,aTest/0,false,8,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/che-ls-jdt-e01d6b73a3ddc947b425afedb7ced87fa4a5cc5f/org-eclipse-che-jdt-ls-extension/jdt.ls.extension.test/projects/maven/usages/src/main/java/pkg1/AMain.java,pkg1.AMain,main/1[java.lang.String[]],false,4,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/che-ls-jdt-e01d6b73a3ddc947b425afedb7ced87fa4a5cc5f/org-eclipse-che-jdt-ls-extension/jdt.ls.extension.test/projects/maven/usages/src/main/java/pkg1/AInterface.java,pkg1.AInterface,doStuff/0,false,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/che-ls-jdt-e01d6b73a3ddc947b425afedb7ced87fa4a5cc5f/org-eclipse-che-jdt-ls-extension/jdt.ls.extension.test/projects/maven/usages/src/main/java/pkg1/AClass.java,pkg1.AClass,AClass/0,true,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/che-ls-jdt-e01d6b73a3ddc947b425afedb7ced87fa4a5cc5f/org-eclipse-che-jdt-ls-extension/jdt.ls.extension.test/projects/maven/usages/src/main/java/pkg1/AClass.java,pkg1.AClass,doStuff/0,false,6,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/che-ls-jdt-e01d6b73a3ddc947b425afedb7ced87fa4a5cc5f/org-eclipse-che-jdt-ls-extension/jdt.ls.extension.test/projects/maven/multimodule/my-webapp/src/main/java/helloworld/GreetingController.java,helloworld.GreetingController,"handleRequest/2[helloworld.HttpServletRequest,helloworld.HttpServletResponse]",false,16,3,2,2,10,1,3,2,2,0,0,0,1,0,0,6,0,4,1,1,0,0,0,14,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/che-ls-jdt-e01d6b73a3ddc947b425afedb7ced87fa4a5cc5f/org-eclipse-che-jdt-ls-extension/jdt.ls.extension.test/projects/maven/multimodule/my-lib/src/test/java/hello/SayHelloTest.java,hello.SayHelloTest,SayHelloTest/1[java.lang.String],true,14,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/che-ls-jdt-e01d6b73a3ddc947b425afedb7ced87fa4a5cc5f/org-eclipse-che-jdt-ls-extension/jdt.ls.extension.test/projects/maven/multimodule/my-lib/src/test/java/hello/SayHelloTest.java,hello.SayHelloTest,suite/0,false,19,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/che-ls-jdt-e01d6b73a3ddc947b425afedb7ced87fa4a5cc5f/org-eclipse-che-jdt-ls-extension/jdt.ls.extension.test/projects/maven/multimodule/my-lib/src/test/java/hello/SayHelloTest.java,hello.SayHelloTest,testSayHello/0,false,24,1,1,3,4,0,1,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,8,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/che-ls-jdt-e01d6b73a3ddc947b425afedb7ced87fa4a5cc5f/org-eclipse-che-jdt-ls-extension/jdt.ls.extension.test/projects/maven/multimodule/my-lib/src/main/java/hello/SayHello.java,hello.SayHello,sayHello/1[java.lang.String],false,5,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,false
