file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/chukwa-65f6972859115a4ddad6def06475465f0971e9ae/contrib/chukwa-pig/test/src/java/org/apache/hadoop/chukwa/TestArchiveReader.java,org.apache.hadoop.chukwa.TestArchiveReader,getExecType/0,false,49,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/chukwa-65f6972859115a4ddad6def06475465f0971e9ae/contrib/chukwa-pig/test/src/java/org/apache/hadoop/chukwa/TestArchiveReader.java,org.apache.hadoop.chukwa.TestArchiveReader,testLocal/0,false,53,6,10,26,51,0,10,0,26,0,0,2,1,2,0,22,1,12,5,3,0,0,0,45,1,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/chukwa-65f6972859115a4ddad6def06475465f0971e9ae/contrib/chukwa-pig/test/src/java/org/apache/hadoop/chukwa/TestArchiveReader.java,org.apache.hadoop.chukwa.TestArchiveReader,"dumpArchive/3[org.apache.hadoop.chukwa.FileSystem,org.apache.hadoop.chukwa.Configuration,java.lang.String]",false,126,7,5,15,33,1,5,3,15,0,0,2,1,1,0,10,0,6,6,3,0,0,0,25,4,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/chukwa-65f6972859115a4ddad6def06475465f0971e9ae/contrib/chukwa-pig/test/src/java/org/apache/hadoop/chukwa/util/GenerateTestFile.java,org.apache.hadoop.chukwa.util.GenerateTestFile,main/1[java.lang.String[]],false,85,2,1,2,5,0,0,1,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,9,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/chukwa-65f6972859115a4ddad6def06475465f0971e9ae/contrib/chukwa-pig/test/src/java/org/apache/hadoop/chukwa/util/GenerateTestFile.java,org.apache.hadoop.chukwa.util.GenerateTestFile,createFile/1[java.lang.String],false,91,5,3,10,192,1,32,1,10,0,0,0,1,0,0,138,13,61,16,1,0,0,0,22,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/chukwa-65f6972859115a4ddad6def06475465f0971e9ae/contrib/chukwa-pig/test/src/java/org/apache/hadoop/chukwa/PigTest.java,org.apache.hadoop.chukwa.PigTest,setUp/0,false,46,3,2,4,11,0,0,0,4,1,1,0,1,0,0,2,0,3,0,1,0,0,0,20,4,2,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/chukwa-65f6972859115a4ddad6def06475465f0971e9ae/contrib/chukwa-pig/test/src/java/org/apache/hadoop/chukwa/PigTest.java,org.apache.hadoop.chukwa.PigTest,tearDown/0,false,60,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/chukwa-65f6972859115a4ddad6def06475465f0971e9ae/contrib/chukwa-pig/test/src/java/org/apache/hadoop/chukwa/PigTest.java,org.apache.hadoop.chukwa.PigTest,getExecType/0,false,42,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1028,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/chukwa-65f6972859115a4ddad6def06475465f0971e9ae/contrib/chukwa-pig/test/src/java/org/apache/hadoop/chukwa/TestRecordMerger.java,org.apache.hadoop.chukwa.TestRecordMerger,testRecordMerger/0,false,37,4,2,12,30,0,6,0,12,0,0,0,0,1,0,26,0,6,0,1,0,0,0,20,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/chukwa-65f6972859115a4ddad6def06475465f0971e9ae/contrib/chukwa-pig/test/src/java/org/apache/hadoop/chukwa/TestLocalChukwaStorage.java,org.apache.hadoop.chukwa.TestLocalChukwaStorage,getExecType/0,false,38,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
