file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-stylesheets-970d51e6fb45591e50c057b118e66a364957da42/tests/com/google/common/css/MinimalSubstitutionMapTest.java,com.google.common.css.MinimalSubstitutionMapTest,createTestMap/0,false,48,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-stylesheets-970d51e6fb45591e50c057b118e66a364957da42/tests/com/google/common/css/MinimalSubstitutionMapTest.java,com.google.common.css.MinimalSubstitutionMapTest,testGet/0,false,57,3,1,4,7,0,0,0,4,1,1,0,0,0,0,8,0,1,0,0,0,0,0,20,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-stylesheets-970d51e6fb45591e50c057b118e66a364957da42/tests/com/google/common/css/MinimalSubstitutionMapTest.java,com.google.common.css.MinimalSubstitutionMapTest,testGetWithBlacklist/0,false,75,2,1,4,6,0,0,0,4,0,0,0,0,0,0,7,0,1,0,0,0,0,0,19,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-stylesheets-970d51e6fb45591e50c057b118e66a364957da42/tests/com/google/common/css/MinimalSubstitutionMapTest.java,com.google.common.css.MinimalSubstitutionMapTest,testToShortString/0,false,93,3,3,13,21,0,9,0,13,1,1,2,0,0,1,5,10,10,10,2,0,0,0,70,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-stylesheets-970d51e6fb45591e50c057b118e66a364957da42/tests/com/google/common/css/JobDescriptionBuilderTest.java,com.google.common.css.JobDescriptionBuilderTest,testSettingInputs3/0,false,78,3,1,7,7,0,1,0,7,0,0,0,0,0,0,2,2,2,0,0,0,0,0,9,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-stylesheets-970d51e6fb45591e50c057b118e66a364957da42/tests/com/google/common/css/JobDescriptionBuilderTest.java,com.google.common.css.JobDescriptionBuilderTest,testSimpleCreation/0,false,52,2,1,4,5,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-stylesheets-970d51e6fb45591e50c057b118e66a364957da42/tests/com/google/common/css/JobDescriptionBuilderTest.java,com.google.common.css.JobDescriptionBuilderTest,testCopyJobDescription/0,false,159,4,1,10,11,0,1,0,10,0,0,0,0,0,0,4,0,2,0,0,0,0,0,13,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-stylesheets-970d51e6fb45591e50c057b118e66a364957da42/tests/com/google/common/css/JobDescriptionBuilderTest.java,com.google.common.css.JobDescriptionBuilderTest,testSettingConditions1/0,false,87,2,1,6,7,0,1,0,6,0,0,0,0,0,0,1,2,2,0,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-stylesheets-970d51e6fb45591e50c057b118e66a364957da42/tests/com/google/common/css/JobDescriptionBuilderTest.java,com.google.common.css.JobDescriptionBuilderTest,testSetCheckUnrecognizedProperties1/0,false,115,2,1,4,5,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-stylesheets-970d51e6fb45591e50c057b118e66a364957da42/tests/com/google/common/css/JobDescriptionBuilderTest.java,com.google.common.css.JobDescriptionBuilderTest,testExcludedClasses/0,false,187,2,1,5,6,0,1,0,5,0,0,0,0,0,0,2,0,2,0,0,0,0,0,7,1,0,false
