file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-templates-2258bec5ed4bd10f49347d250041aa9ea7eda01e/java/tests/com/google/template/soy/jbcsrc/LazyClosureCompilerTest.java,com.google.template.soy.jbcsrc.LazyClosureCompilerTest,testLetContentNode_detaching/0,false,83,10,1,17,19,0,7,0,17,0,0,0,0,0,0,11,0,8,0,0,0,0,0,35,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-templates-2258bec5ed4bd10f49347d250041aa9ea7eda01e/java/tests/com/google/template/soy/jbcsrc/LazyClosureCompilerTest.java,com.google.template.soy.jbcsrc.LazyClosureCompilerTest,testConstantPluginSourceFunction/0,false,278,4,1,3,4,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,14,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-templates-2258bec5ed4bd10f49347d250041aa9ea7eda01e/java/tests/com/google/template/soy/jbcsrc/LazyClosureCompilerTest.java,com.google.template.soy.jbcsrc.LazyClosureCompilerTest,testLetContentNode/0,false,60,3,1,2,3,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-templates-2258bec5ed4bd10f49347d250041aa9ea7eda01e/java/tests/com/google/template/soy/jbcsrc/LazyClosureCompilerTest.java,com.google.template.soy.jbcsrc.LazyClosureCompilerTest,testLetContentNode_typed/0,false,66,3,1,2,3,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,13,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-templates-2258bec5ed4bd10f49347d250041aa9ea7eda01e/java/tests/com/google/template/soy/jbcsrc/LazyClosureCompilerTest.java,com.google.template.soy.jbcsrc.LazyClosureCompilerTest,testLetValueNodeStructure/0,false,224,5,1,13,11,0,5,0,13,0,0,0,0,0,0,4,1,5,0,0,0,0,0,18,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-templates-2258bec5ed4bd10f49347d250041aa9ea7eda01e/java/tests/com/google/template/soy/jbcsrc/LazyClosureCompilerTest.java,com.google.template.soy.jbcsrc.LazyClosureCompilerTest,testDetachOnFutureLazily/0,false,198,10,1,17,19,0,7,0,17,0,0,0,0,0,0,10,0,8,0,0,0,0,0,34,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-templates-2258bec5ed4bd10f49347d250041aa9ea7eda01e/java/tests/com/google/template/soy/jbcsrc/LazyClosureCompilerTest.java,com.google.template.soy.jbcsrc.LazyClosureCompilerTest,testConstantPluginFunction/0,false,257,4,1,3,4,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,13,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-templates-2258bec5ed4bd10f49347d250041aa9ea7eda01e/java/tests/com/google/template/soy/jbcsrc/LazyClosureCompilerTest.java,com.google.template.soy.jbcsrc.LazyClosureCompilerTest,testLetValueNode_nullableParameter/0,false,156,3,1,3,6,0,1,0,3,0,0,0,0,0,0,8,0,1,0,0,0,0,0,18,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-templates-2258bec5ed4bd10f49347d250041aa9ea7eda01e/java/tests/com/google/template/soy/jbcsrc/LazyClosureCompilerTest.java,com.google.template.soy.jbcsrc.LazyClosureCompilerTest,testLetValueNode_nullableString/0,false,168,3,1,3,7,0,1,0,3,0,0,0,0,0,0,16,0,1,0,0,0,0,0,18,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-templates-2258bec5ed4bd10f49347d250041aa9ea7eda01e/java/tests/com/google/template/soy/jbcsrc/LazyClosureCompilerTest.java,com.google.template.soy.jbcsrc.LazyClosureCompilerTest,testLetNodes_nested/0,false,72,3,1,2,3,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,13,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-templates-2258bec5ed4bd10f49347d250041aa9ea7eda01e/java/tests/com/google/template/soy/jbcsrc/LazyClosureCompilerTest.java,com.google.template.soy.jbcsrc.LazyClosureCompilerTest,testLetValueNode/0,false,113,3,1,2,5,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-templates-2258bec5ed4bd10f49347d250041aa9ea7eda01e/java/tests/com/google/template/soy/jbcsrc/LazyClosureCompilerTest.java,com.google.template.soy.jbcsrc.LazyClosureCompilerTest,testLetValueNode_captureParameter/0,false,123,3,1,3,3,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-templates-2258bec5ed4bd10f49347d250041aa9ea7eda01e/java/tests/com/google/template/soy/jbcsrc/LazyClosureCompilerTest.java,com.google.template.soy.jbcsrc.LazyClosureCompilerTest,testLetValueNode_captureSyntheticParameter/0,false,131,5,1,16,12,0,6,0,16,0,0,0,0,0,0,7,2,6,0,0,0,0,0,25,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-templates-2258bec5ed4bd10f49347d250041aa9ea7eda01e/java/tests/com/google/template/soy/jbcsrc/LazyClosureCompilerTest.java,com.google.template.soy.jbcsrc.LazyClosureCompilerTest,testNullValue/0,false,288,3,1,2,3,0,0,0,2,0,0,0,0,0,0,7,0,0,1,0,0,0,0,9,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-templates-2258bec5ed4bd10f49347d250041aa9ea7eda01e/java/tests/com/google/template/soy/jbcsrc/LazyClosureCompilerTest.java,com.google.template.soy.jbcsrc.LazyClosureCompilerTest,testLetValueNode_optionalInts/0,false,182,3,1,3,6,0,1,0,3,0,0,0,0,0,0,18,2,1,0,0,0,0,0,19,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-templates-2258bec5ed4bd10f49347d250041aa9ea7eda01e/java/tests/com/google/template/soy/jbcsrc/LazyClosureCompilerTest.java,com.google.template.soy.jbcsrc.LazyClosureCompilerTest$IdentityJavaFunction,computeForJava/1[java.util.List<com.google.template.soy.data.SoyValue>],false,251,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-templates-2258bec5ed4bd10f49347d250041aa9ea7eda01e/java/tests/com/google/template/soy/jbcsrc/LazyClosureCompilerTest.java,com.google.template.soy.jbcsrc.LazyClosureCompilerTest$IdentityJavaFunction,getValidArgsSizes/0,false,246,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-templates-2258bec5ed4bd10f49347d250041aa9ea7eda01e/java/tests/com/google/template/soy/jbcsrc/LazyClosureCompilerTest.java,com.google.template.soy.jbcsrc.LazyClosureCompilerTest$IdentityJavaFunction,getName/0,false,241,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-templates-2258bec5ed4bd10f49347d250041aa9ea7eda01e/java/tests/com/google/template/soy/jbcsrc/LazyClosureCompilerTest.java,com.google.template.soy.jbcsrc.LazyClosureCompilerTest$IdentityJavaSourceFunction,"applyForJavaSource/3[com.google.template.soy.plugin.java.restricted.JavaValueFactory,java.util.List<com.google.template.soy.plugin.java.restricted.JavaValue>,com.google.template.soy.plugin.java.restricted.JavaPluginContext]",false,272,3,1,1,3,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-templates-2258bec5ed4bd10f49347d250041aa9ea7eda01e/java/tests/com/google/template/soy/jbcsrc/restricted/SoyRuntimeTypeTest.java,com.google.template.soy.jbcsrc.restricted.SoyRuntimeTypeTest,assertThat/1[com.google.template.soy.types.SoyType],false,109,2,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-templates-2258bec5ed4bd10f49347d250041aa9ea7eda01e/java/tests/com/google/template/soy/jbcsrc/restricted/SoyRuntimeTypeTest.java,com.google.template.soy.jbcsrc.restricted.SoyRuntimeTypeTest,testPrimitiveTypes/0,false,57,25,3,16,18,0,0,0,16,1,1,1,1,0,0,0,0,0,0,2,0,0,0,14,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-templates-2258bec5ed4bd10f49347d250041aa9ea7eda01e/java/tests/com/google/template/soy/jbcsrc/restricted/SoyRuntimeTypeTest.java,com.google.template.soy.jbcsrc.restricted.SoyRuntimeTypeTest,testUnionTypes/0,false,91,12,1,10,5,0,0,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-templates-2258bec5ed4bd10f49347d250041aa9ea7eda01e/java/tests/com/google/template/soy/jbcsrc/restricted/SoyRuntimeTypeTest.java,com.google.template.soy.jbcsrc.restricted.SoyRuntimeTypeTest$SoyRuntimeTypeSubject,isUnboxedAs/1[com.google.template.soy.jbcsrc.restricted.Type],false,134,4,3,8,10,1,1,1,8,0,0,0,0,0,0,5,0,1,0,1,0,0,0,15,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-templates-2258bec5ed4bd10f49347d250041aa9ea7eda01e/java/tests/com/google/template/soy/jbcsrc/restricted/SoyRuntimeTypeTest.java,com.google.template.soy.jbcsrc.restricted.SoyRuntimeTypeTest$SoyRuntimeTypeSubject,isUnboxedAs/1[java.lang.Class<?>],false,130,1,1,2,3,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/closure-templates-2258bec5ed4bd10f49347d250041aa9ea7eda01e/java/tests/com/google/template/soy/jbcsrc/restricted/SoyRuntimeTypeTest.java,com.google.template.soy.jbcsrc.restricted.SoyRuntimeTypeTest$SoyRuntimeTypeSubject,isNotUnboxable/0,false,146,3,2,6,7,1,1,0,6,0,0,0,0,0,0,3,0,1,0,1,0,0,0,14,0,0,false
