file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/commons-digester-1a39dff24947b3fdd1027fb611f91b8cfe7d1d56/core/src/test/java/org/apache/commons/digester3/NamespaceSnapshotTestCase.java,org.apache.commons.digester3.NamespaceSnapshotTestCase$Anonymous1,configure/0,false,86,6,1,9,4,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/commons-digester-1a39dff24947b3fdd1027fb611f91b8cfe7d1d56/core/src/test/java/org/apache/commons/digester3/NamespaceSnapshotTestCase.java,org.apache.commons.digester3.NamespaceSnapshotTestCase,getInputStream/1[java.lang.String],false,150,0,1,2,3,1,0,1,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,32,4,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/commons-digester-1a39dff24947b3fdd1027fb611f91b8cfe7d1d56/core/src/test/java/org/apache/commons/digester3/NamespaceSnapshotTestCase.java,org.apache.commons.digester3.NamespaceSnapshotTestCase,testNamespaceSnapshots/0,false,79,7,1,12,38,0,7,0,12,1,1,0,0,0,0,31,8,10,0,0,1,0,0,29,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/commons-digester-1a39dff24947b3fdd1027fb611f91b8cfe7d1d56/core/src/test/java/org/apache/commons/digester3/NamespaceSnapshotTestCase.java,org.apache.commons.digester3.NamespaceSnapshotTestCase$NamespaceSnapshotRule$Provider,get/0,false,65,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/commons-digester-1a39dff24947b3fdd1027fb611f91b8cfe7d1d56/core/src/test/java/org/apache/commons/digester3/NamespaceSnapshotTestCase.java,org.apache.commons.digester3.NamespaceSnapshotTestCase$NamespaceSnapshotRule,"begin/3[java.lang.String,java.lang.String,org.xml.sax.Attributes]",false,52,4,1,4,5,0,2,3,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,9,17,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/commons-digester-1a39dff24947b3fdd1027fb611f91b8cfe7d1d56/core/src/test/java/org/apache/commons/digester3/BetaBean.java,org.apache.commons.digester3.BetaBean,getParent/0,false,50,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/commons-digester-1a39dff24947b3fdd1027fb611f91b8cfe7d1d56/core/src/test/java/org/apache/commons/digester3/BetaBean.java,org.apache.commons.digester3.BetaBean,toString/0,false,66,0,1,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/commons-digester-1a39dff24947b3fdd1027fb611f91b8cfe7d1d56/core/src/test/java/org/apache/commons/digester3/BetaBean.java,org.apache.commons.digester3.BetaBean,setParent/1[org.apache.commons.digester3.Nameable],false,45,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/commons-digester-1a39dff24947b3fdd1027fb611f91b8cfe7d1d56/core/src/test/java/org/apache/commons/digester3/BetaBean.java,org.apache.commons.digester3.BetaBean,getChild/0,false,60,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/commons-digester-1a39dff24947b3fdd1027fb611f91b8cfe7d1d56/core/src/test/java/org/apache/commons/digester3/BetaBean.java,org.apache.commons.digester3.BetaBean,setName/1[java.lang.String],false,40,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
