file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/commons-jxpath-eff47ab8ca52fdbc91d1313cc224324465dd043e/src/test/java/org/apache/commons/jxpath/servlet/JXPathServletContextTest.java,org.apache.commons.jxpath.servlet.JXPathServletContextTest,checkPointerIterator/1[org.apache.commons.jxpath.JXPathContext],false,125,2,2,6,9,0,2,1,6,0,0,1,0,0,0,4,0,2,0,1,0,0,0,14,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/commons-jxpath-eff47ab8ca52fdbc91d1313cc224324465dd043e/src/test/java/org/apache/commons/jxpath/servlet/JXPathServletContextTest.java,org.apache.commons.jxpath.servlet.JXPathServletContextTest,testServletRequest/0,false,67,6,1,17,33,0,6,0,17,2,1,0,0,0,0,42,2,6,0,0,0,0,0,31,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/commons-jxpath-eff47ab8ca52fdbc91d1313cc224324465dd043e/src/test/java/org/apache/commons/jxpath/servlet/JXPathServletContextTest.java,org.apache.commons.jxpath.servlet.JXPathServletContextTest,testPageContext/0,false,136,8,1,19,37,0,7,0,19,1,1,0,0,0,0,46,0,7,0,0,0,0,0,30,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/commons-jxpath-eff47ab8ca52fdbc91d1313cc224324465dd043e/src/test/java/org/apache/commons/jxpath/servlet/JXPathServletContextTest.java,org.apache.commons.jxpath.servlet.JXPathServletContextTest,getServletContext/0,false,40,2,1,1,5,1,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,5,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/commons-jxpath-eff47ab8ca52fdbc91d1313cc224324465dd043e/src/test/java/org/apache/commons/jxpath/servlet/JXPathServletContextTest.java,org.apache.commons.jxpath.servlet.JXPathServletContextTest,testServletRequestWithoutSession/0,false,115,5,1,4,6,0,3,0,4,1,1,0,0,0,0,3,0,3,0,0,0,0,0,18,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/commons-jxpath-eff47ab8ca52fdbc91d1313cc224324465dd043e/src/test/java/org/apache/commons/jxpath/servlet/JXPathServletContextTest.java,org.apache.commons.jxpath.servlet.JXPathServletContextTest,testServletContext/0,false,47,5,1,11,12,0,3,0,11,2,1,0,0,0,0,13,0,3,0,0,0,0,0,21,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/commons-jxpath-eff47ab8ca52fdbc91d1313cc224324465dd043e/src/test/java/org/apache/commons/jxpath/BasicNodeSetTest.java,org.apache.commons.jxpath.BasicNodeSetTest,testRemove/0,false,94,3,1,8,7,0,0,0,8,2,3,0,0,0,0,5,6,0,0,0,0,0,0,13,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/commons-jxpath-eff47ab8ca52fdbc91d1313cc224324465dd043e/src/test/java/org/apache/commons/jxpath/BasicNodeSetTest.java,org.apache.commons.jxpath.BasicNodeSetTest,"assertElementValues/2[java.util.List,java.util.List]",false,140,2,2,7,8,0,2,2,7,0,0,1,0,0,1,0,0,2,0,1,0,0,0,19,4,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/commons-jxpath-eff47ab8ca52fdbc91d1313cc224324465dd043e/src/test/java/org/apache/commons/jxpath/BasicNodeSetTest.java,org.apache.commons.jxpath.BasicNodeSetTest,nudge/0,false,72,1,1,3,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/commons-jxpath-eff47ab8ca52fdbc91d1313cc224324465dd043e/src/test/java/org/apache/commons/jxpath/BasicNodeSetTest.java,org.apache.commons.jxpath.BasicNodeSetTest,addPointers/1[java.lang.String],false,50,4,2,5,6,0,1,1,5,1,1,1,0,0,0,0,0,1,0,1,0,0,0,14,4,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/commons-jxpath-eff47ab8ca52fdbc91d1313cc224324465dd043e/src/test/java/org/apache/commons/jxpath/BasicNodeSetTest.java,org.apache.commons.jxpath.BasicNodeSetTest,removePointers/1[java.lang.String],false,62,4,2,5,6,0,1,1,5,1,1,1,0,0,0,0,0,1,0,1,0,0,0,14,4,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/commons-jxpath-eff47ab8ca52fdbc91d1313cc224324465dd043e/src/test/java/org/apache/commons/jxpath/BasicNodeSetTest.java,org.apache.commons.jxpath.BasicNodeSetTest,testAdd/0,false,81,3,1,7,6,0,0,0,7,1,2,0,0,0,0,5,8,0,0,0,0,0,0,11,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/commons-jxpath-eff47ab8ca52fdbc91d1313cc224324465dd043e/src/test/java/org/apache/commons/jxpath/BasicNodeSetTest.java,org.apache.commons.jxpath.BasicNodeSetTest,setUp/0,false,39,3,1,2,5,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/commons-jxpath-eff47ab8ca52fdbc91d1313cc224324465dd043e/src/test/java/org/apache/commons/jxpath/BasicNodeSetTest.java,org.apache.commons.jxpath.BasicNodeSetTest,testNodes/0,false,108,3,1,9,7,0,0,0,9,3,2,0,0,0,0,17,0,0,0,0,0,0,0,19,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/commons-jxpath-eff47ab8ca52fdbc91d1313cc224324465dd043e/src/test/java/org/apache/commons/jxpath/BasicNodeSetTest.java,org.apache.commons.jxpath.BasicNodeSetTest,"assertElementNames/2[java.util.List,java.util.List]",false,126,1,2,6,8,0,2,2,6,0,0,1,0,0,1,0,0,2,0,1,0,0,0,19,4,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/commons-jxpath-eff47ab8ca52fdbc91d1313cc224324465dd043e/src/test/java/org/apache/commons/jxpath/util/BasicTypeConverterTest.java,org.apache.commons.jxpath.util.BasicTypeConverterTest$Anonymous1,getRootNode/0,false,116,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/commons-jxpath-eff47ab8ca52fdbc91d1313cc224324465dd043e/src/test/java/org/apache/commons/jxpath/util/BasicTypeConverterTest.java,org.apache.commons.jxpath.util.BasicTypeConverterTest$Anonymous1,asPath/0,false,119,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/commons-jxpath-eff47ab8ca52fdbc91d1313cc224324465dd043e/src/test/java/org/apache/commons/jxpath/util/BasicTypeConverterTest.java,org.apache.commons.jxpath.util.BasicTypeConverterTest$Anonymous1,compareTo/1[java.lang.Object],false,125,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,false
