file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/crunch-9b8849cfd89f1e7f187b99914163509060692aa5/crunch-spark/src/test/java/org/apache/crunch/impl/spark/AvroByteArrayTest.java,org.apache.crunch.impl.spark.AvroByteArrayTest,fieldsWithIgnoredSortOrderAreNotUsedInEquals/0,false,35,7,1,10,10,0,5,0,10,0,0,0,0,0,0,15,0,5,0,0,0,0,0,27,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/crunch-9b8849cfd89f1e7f187b99914163509060692aa5/crunch-spark/src/it/java/org/apache/crunch/SparkAvroParquetPipelineIT.java,org.apache.crunch.SparkAvroParquetPipelineIT$Anonymous1,"process/2[org.apache.crunch.Person,org.apache.crunch.Emitter<org.apache.crunch.Employee>]",false,166,3,1,2,3,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/crunch-9b8849cfd89f1e7f187b99914163509060692aa5/crunch-spark/src/it/java/org/apache/crunch/SparkAvroParquetPipelineIT.java,org.apache.crunch.SparkAvroParquetPipelineIT,toAvroParquetFileTarget/0,false,91,15,1,19,24,0,9,0,19,1,1,0,0,1,0,10,1,9,0,1,0,0,0,25,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/crunch-9b8849cfd89f1e7f187b99914163509060692aa5/crunch-spark/src/it/java/org/apache/crunch/SparkAvroParquetPipelineIT.java,org.apache.crunch.SparkAvroParquetPipelineIT,"populateGenericFile/2[java.util.List<org.apache.crunch.GenericRecord>,org.apache.crunch.Schema]",false,64,4,2,4,11,0,3,2,4,0,0,1,0,0,0,0,0,3,0,1,0,0,0,17,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/crunch-9b8849cfd89f1e7f187b99914163509060692aa5/crunch-spark/src/it/java/org/apache/crunch/SparkAvroParquetPipelineIT.java,org.apache.crunch.SparkAvroParquetPipelineIT,toAvroParquetFileTargetFromParquet/0,false,122,15,1,18,24,0,9,0,18,1,1,0,0,1,0,10,1,9,0,1,0,0,0,26,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/crunch-9b8849cfd89f1e7f187b99914163509060692aa5/crunch-spark/src/it/java/org/apache/crunch/SparkAvroParquetPipelineIT.java,org.apache.crunch.SparkAvroParquetPipelineIT,"populateGenericParquetFile/2[java.util.List<org.apache.crunch.GenericRecord>,org.apache.crunch.Schema]",false,79,4,2,3,7,0,1,2,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,14,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/crunch-9b8849cfd89f1e7f187b99914163509060692aa5/crunch-spark/src/it/java/org/apache/crunch/SparkAvroParquetPipelineIT.java,org.apache.crunch.SparkAvroParquetPipelineIT,toAvroParquetFileMultipleTarget/0,false,153,17,1,21,41,0,14,0,21,1,1,0,0,2,0,12,1,14,0,1,1,0,0,34,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/crunch-9b8849cfd89f1e7f187b99914163509060692aa5/crunch-spark/src/it/java/org/apache/crunch/SparkAvroParquetPipelineIT.java,org.apache.crunch.SparkAvroParquetPipelineIT,toAvroParquetFileTargetReadSource/0,false,206,16,1,21,27,0,11,0,21,1,1,0,0,1,0,10,1,11,0,1,0,0,0,29,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/crunch-9b8849cfd89f1e7f187b99914163509060692aa5/crunch-spark/src/it/java/org/apache/crunch/SparkAvroParquetPipelineIT.java,org.apache.crunch.SparkAvroParquetPipelineIT,setUp/0,false,60,2,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/crunch-9b8849cfd89f1e7f187b99914163509060692aa5/crunch-spark/src/it/java/org/apache/crunch/SparkWordCountHBaseIT.java,org.apache.crunch.SparkWordCountHBaseIT$Anonymous2,"process/2[org.apache.crunch.Pair<org.apache.crunch.ImmutableBytesWritable,org.apache.crunch.Result>,org.apache.crunch.Emitter<org.apache.crunch.Delete>]",false,96,5,1,3,4,0,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/crunch-9b8849cfd89f1e7f187b99914163509060692aa5/crunch-spark/src/it/java/org/apache/crunch/SparkWordCountHBaseIT.java,org.apache.crunch.SparkWordCountHBaseIT$Anonymous1,"process/2[org.apache.crunch.Pair<org.apache.crunch.ImmutableBytesWritable,org.apache.crunch.Result>,org.apache.crunch.Emitter<java.lang.String>]",false,82,5,2,4,6,0,1,2,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/crunch-9b8849cfd89f1e7f187b99914163509060692aa5/crunch-spark/src/it/java/org/apache/crunch/SparkWordCountHBaseIT.java,org.apache.crunch.SparkWordCountHBaseIT,testWordCount/0,false,113,3,1,2,3,0,0,0,2,1,3,0,0,0,0,2,0,0,0,0,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/crunch-9b8849cfd89f1e7f187b99914163509060692aa5/crunch-spark/src/it/java/org/apache/crunch/SparkWordCountHBaseIT.java,org.apache.crunch.SparkWordCountHBaseIT,testWordCountCustomFormat/0,false,119,4,1,4,4,0,0,0,4,1,2,0,0,0,0,2,0,0,0,0,0,0,0,11,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/crunch-9b8849cfd89f1e7f187b99914163509060692aa5/crunch-spark/src/it/java/org/apache/crunch/SparkWordCountHBaseIT.java,org.apache.crunch.SparkWordCountHBaseIT,tearDown/0,false,126,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/crunch-9b8849cfd89f1e7f187b99914163509060692aa5/crunch-spark/src/it/java/org/apache/crunch/SparkWordCountHBaseIT.java,org.apache.crunch.SparkWordCountHBaseIT,"wordCount/1[org.apache.crunch.PTable<org.apache.crunch.ImmutableBytesWritable,org.apache.crunch.Result>]",false,78,5,1,4,11,1,0,1,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,9,0,false
