file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/scripts/java/org/apache/ctakes/dictionary/lookup/tools/CreateLuceneIndexFromDelimitedFile.java,org.apache.ctakes.dictionary.lookup.tools.CreateLuceneIndexFromDelimitedFile,loadHyphMap/1[java.lang.String],false,235,0,3,7,20,1,7,1,7,0,0,1,2,0,0,2,1,8,1,2,0,0,0,34,9,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/scripts/java/org/apache/ctakes/dictionary/lookup/tools/CreateLuceneIndexFromDelimitedFile.java,org.apache.ctakes.dictionary.lookup.tools.CreateLuceneIndexFromDelimitedFile,"printResults/2[java.lang.String,java.util.List]",false,262,1,17,10,71,0,6,2,10,0,0,1,0,0,0,39,1,25,3,2,0,0,0,21,9,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/scripts/java/org/apache/ctakes/dictionary/lookup/tools/CreateLuceneIndexFromDelimitedFile.java,org.apache.ctakes.dictionary.lookup.tools.CreateLuceneIndexFromDelimitedFile,"writeToFormatLucene/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",false,350,6,8,13,48,0,8,6,13,1,1,1,4,1,0,13,5,11,6,3,0,0,0,47,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/scripts/java/org/apache/ctakes/dictionary/lookup/tools/CreateLuceneIndexFromDelimitedFile.java,org.apache.ctakes.dictionary.lookup.tools.CreateLuceneIndexFromDelimitedFile,writeToFile/1[java.lang.String],false,437,0,2,3,11,0,2,1,3,0,0,0,0,1,0,1,0,2,0,1,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/scripts/java/org/apache/ctakes/dictionary/lookup/tools/CreateLuceneIndexFromDelimitedFile.java,org.apache.ctakes.dictionary.lookup.tools.CreateLuceneIndexFromDelimitedFile,main/1[java.lang.String[]],false,168,2,5,4,26,0,0,1,4,1,1,0,2,2,0,0,4,4,0,2,0,0,0,20,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/scripts/java/org/apache/ctakes/dictionary/lookup/tools/CreateLuceneIndexFromDelimitedFile.java,org.apache.ctakes.dictionary.lookup.tools.CreateLuceneIndexFromDelimitedFile,CreateLuceneIndexFromDelimitedFile/1[org.apache.ctakes.core.nlp.tokenizer.TokenizerPTB],true,87,6,7,14,50,0,21,1,14,1,2,2,1,2,1,9,12,24,9,4,0,0,0,69,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/scripts/java/org/apache/ctakes/dictionary/lookup/tools/CreateLuceneIndexFromDelimitedFile.java,org.apache.ctakes.dictionary.lookup.tools.CreateLuceneIndexFromDelimitedFile,getUsage/0,false,345,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,9,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/scripts/java/org/apache/ctakes/dictionary/lookup/tools/CreateLuceneIndexFromDelimitedFile.java,org.apache.ctakes.dictionary.lookup.tools.CreateLuceneIndexFromDelimitedFile,load/1[java.lang.String],false,212,0,2,2,12,1,4,1,2,0,0,1,1,0,0,2,0,6,1,1,0,0,0,19,9,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/scripts/java/org/apache/ctakes/dictionary/lookup/tools/CreateLuceneIndexForSnomedLikeSample.java,org.apache.ctakes.dictionary.lookup.tools.CreateLuceneIndexForSnomedLikeSample,main/1[java.lang.String[]],false,63,6,5,10,66,0,21,1,10,2,1,4,0,0,0,24,8,23,8,2,0,0,0,103,9,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/scripts/java/org/apache/ctakes/dictionary/lookup/tools/CreateLuceneIndexForSnomedLikeSample.java,org.apache.ctakes.dictionary.lookup.tools.CreateLuceneIndexForSnomedLikeSample,getSnomedCodes/0,false,192,0,2,1,8,1,3,0,1,0,0,1,0,0,0,60,1,3,0,1,0,0,0,8,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/scripts/java/org/apache/ctakes/dictionary/lookup/tools/CreateLuceneIndexForSnomedLikeSample.java,org.apache.ctakes.dictionary.lookup.tools.CreateLuceneIndexForSnomedLikeSample,getEntries/1[java.util.ArrayList],false,161,0,2,1,6,0,2,1,1,0,0,1,0,0,0,96,1,2,0,1,0,0,0,8,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/scripts/java/org/apache/ctakes/dictionary/lookup/tools/CreateLuceneIndexForExampleDrugs.java,org.apache.ctakes.dictionary.lookup.tools.CreateLuceneIndexForExampleDrugs,main/1[java.lang.String[]],false,50,5,3,6,30,0,8,1,6,0,0,2,0,0,0,39,2,8,3,2,0,0,0,71,9,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/src/main/java/org/apache/ctakes/dictionary/lookup/vo/LookupHit.java,org.apache.ctakes.dictionary.lookup.vo.LookupHit,getStartOffset/0,false,58,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/src/main/java/org/apache/ctakes/dictionary/lookup/vo/LookupHit.java,org.apache.ctakes.dictionary.lookup.vo.LookupHit,equals/1[java.lang.Object],false,68,2,2,4,7,2,1,1,4,3,1,0,2,0,0,0,0,1,0,1,0,0,0,22,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/src/main/java/org/apache/ctakes/dictionary/lookup/vo/LookupHit.java,org.apache.ctakes.dictionary.lookup.vo.LookupHit,getDictMetaDataHit/0,false,54,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/src/main/java/org/apache/ctakes/dictionary/lookup/vo/LookupHit.java,org.apache.ctakes.dictionary.lookup.vo.LookupHit,hashCode/0,false,82,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/src/main/java/org/apache/ctakes/dictionary/lookup/vo/LookupHit.java,org.apache.ctakes.dictionary.lookup.vo.LookupHit,getUniqueKey/0,false,93,1,2,9,21,1,5,0,9,0,0,1,0,0,0,6,0,5,0,1,0,0,0,21,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/src/main/java/org/apache/ctakes/dictionary/lookup/vo/LookupHit.java,org.apache.ctakes.dictionary.lookup.vo.LookupHit,getEndOffset/0,false,50,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/src/main/java/org/apache/ctakes/dictionary/lookup/vo/LookupHit.java,org.apache.ctakes.dictionary.lookup.vo.LookupHit,"LookupHit/3[org.apache.ctakes.dictionary.lookup.MetaDataHit,int,int]",true,43,1,1,1,6,0,0,3,1,0,0,0,0,0,0,0,2,4,4,0,0,0,0,11,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/src/main/java/org/apache/ctakes/dictionary/lookup/vo/LookupAnnotation.java,org.apache.ctakes.dictionary.lookup.vo.LookupAnnotation,getText/0,false,49,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/src/main/java/org/apache/ctakes/dictionary/lookup/vo/LookupAnnotation.java,org.apache.ctakes.dictionary.lookup.vo.LookupAnnotation,getStringAttribute/1[java.lang.String],false,64,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/src/main/java/org/apache/ctakes/dictionary/lookup/vo/LookupAnnotation.java,org.apache.ctakes.dictionary.lookup.vo.LookupAnnotation,getStartOffset/0,false,28,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/src/main/java/org/apache/ctakes/dictionary/lookup/vo/LookupAnnotation.java,org.apache.ctakes.dictionary.lookup.vo.LookupAnnotation,"addStringAttribute/2[java.lang.String,java.lang.String]",false,56,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/src/main/java/org/apache/ctakes/dictionary/lookup/vo/LookupAnnotation.java,org.apache.ctakes.dictionary.lookup.vo.LookupAnnotation,getLength/0,false,42,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/src/main/java/org/apache/ctakes/dictionary/lookup/vo/LookupAnnotation.java,org.apache.ctakes.dictionary.lookup.vo.LookupAnnotation,getEndOffset/0,false,35,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/src/main/java/org/apache/ctakes/dictionary/lookup/vo/LookupAnnotationToTokAdapter.java,org.apache.ctakes.dictionary.lookup.vo.LookupAnnotationToTokAdapter,LookupAnnotationToTokAdapter/1[org.apache.ctakes.core.nlp.tokenizer.Token],true,43,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/src/main/java/org/apache/ctakes/dictionary/lookup/vo/LookupAnnotationToTokAdapter.java,org.apache.ctakes.dictionary.lookup.vo.LookupAnnotationToTokAdapter,getLength/0,false,58,1,1,2,3,1,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/src/main/java/org/apache/ctakes/dictionary/lookup/vo/LookupAnnotationToTokAdapter.java,org.apache.ctakes.dictionary.lookup.vo.LookupAnnotationToTokAdapter,getStartOffset/0,false,63,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/src/main/java/org/apache/ctakes/dictionary/lookup/vo/LookupAnnotationToTokAdapter.java,org.apache.ctakes.dictionary.lookup.vo.LookupAnnotationToTokAdapter,getStringAttribute/1[java.lang.String],false,68,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/src/main/java/org/apache/ctakes/dictionary/lookup/vo/LookupAnnotationToTokAdapter.java,org.apache.ctakes.dictionary.lookup.vo.LookupAnnotationToTokAdapter,getEndOffset/0,false,53,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/src/main/java/org/apache/ctakes/dictionary/lookup/vo/LookupAnnotationToTokAdapter.java,org.apache.ctakes.dictionary.lookup.vo.LookupAnnotationToTokAdapter,getText/0,false,73,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/src/main/java/org/apache/ctakes/dictionary/lookup/vo/LookupAnnotationToTokAdapter.java,org.apache.ctakes.dictionary.lookup.vo.LookupAnnotationToTokAdapter,"addStringAttribute/2[java.lang.String,java.lang.String]",false,48,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/ctakes-79be3ba2833857714bb301449f021cca36f373e6/ctakes-dictionary-lookup/src/main/java/org/apache/ctakes/dictionary/lookup/vo/LookupTokenComparator.java,org.apache.ctakes.dictionary.lookup.vo.LookupTokenComparator,"compare/2[org.apache.ctakes.dictionary.lookup.vo.LookupToken,org.apache.ctakes.dictionary.lookup.vo.LookupToken]",false,37,2,5,2,19,5,0,2,2,0,0,0,0,0,0,0,5,0,0,2,0,0,0,4,1,0,false
