file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/curator-5ff795271b21c2b8f487a69efabac834fb714383/curator-x-discovery-server/src/test/java/org/apache/curator/x/discovery/server/mocks/MockServiceDiscovery.java,org.apache.curator.x.discovery.server.mocks.MockServiceDiscovery,unregisterService/1[org.apache.curator.x.discovery.ServiceInstance<T>],false,64,2,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/curator-5ff795271b21c2b8f487a69efabac834fb714383/curator-x-discovery-server/src/test/java/org/apache/curator/x/discovery/server/mocks/MockServiceDiscovery.java,org.apache.curator.x.discovery.server.mocks.MockServiceDiscovery,queryForInstances/1[java.lang.String],false,88,2,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/curator-5ff795271b21c2b8f487a69efabac834fb714383/curator-x-discovery-server/src/test/java/org/apache/curator/x/discovery/server/mocks/MockServiceDiscovery.java,org.apache.curator.x.discovery.server.mocks.MockServiceDiscovery,registerService/1[org.apache.curator.x.discovery.ServiceInstance<T>],false,58,2,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/curator-5ff795271b21c2b8f487a69efabac834fb714383/curator-x-discovery-server/src/test/java/org/apache/curator/x/discovery/server/mocks/MockServiceDiscovery.java,org.apache.curator.x.discovery.server.mocks.MockServiceDiscovery,serviceCacheBuilder/0,false,76,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/curator-5ff795271b21c2b8f487a69efabac834fb714383/curator-x-discovery-server/src/test/java/org/apache/curator/x/discovery/server/mocks/MockServiceDiscovery.java,org.apache.curator.x.discovery.server.mocks.MockServiceDiscovery,updateService/1[org.apache.curator.x.discovery.ServiceInstance<T>],false,70,2,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/curator-5ff795271b21c2b8f487a69efabac834fb714383/curator-x-discovery-server/src/test/java/org/apache/curator/x/discovery/server/mocks/MockServiceDiscovery.java,org.apache.curator.x.discovery.server.mocks.MockServiceDiscovery,serviceProviderBuilder/0,false,108,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/curator-5ff795271b21c2b8f487a69efabac834fb714383/curator-x-discovery-server/src/test/java/org/apache/curator/x/discovery/server/mocks/MockServiceDiscovery.java,org.apache.curator.x.discovery.server.mocks.MockServiceDiscovery,close/0,false,114,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/curator-5ff795271b21c2b8f487a69efabac834fb714383/curator-x-discovery-server/src/test/java/org/apache/curator/x/discovery/server/mocks/MockServiceDiscovery.java,org.apache.curator.x.discovery.server.mocks.MockServiceDiscovery,queryForNames/0,false,82,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/curator-5ff795271b21c2b8f487a69efabac834fb714383/curator-x-discovery-server/src/test/java/org/apache/curator/x/discovery/server/mocks/MockServiceDiscovery.java,org.apache.curator.x.discovery.server.mocks.MockServiceDiscovery,"queryForInstance/2[java.lang.String,java.lang.String]",false,94,2,3,3,9,2,1,2,3,0,0,1,0,0,0,0,0,1,0,2,0,0,0,9,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/curator-5ff795271b21c2b8f487a69efabac834fb714383/curator-x-discovery-server/src/test/java/org/apache/curator/x/discovery/server/mocks/MockServiceDiscovery.java,org.apache.curator.x.discovery.server.mocks.MockServiceDiscovery,start/0,false,53,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
