file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/deltaspike-6de805f9687178eca316b13e59ce717165f90a26/deltaspike/test-utils/src/main/java/org/apache/deltaspike/test/category/DeltaSpikeTest.java,org.apache.deltaspike.test.category.DeltaSpikeTest,DeltaSpikeTest/0,true,30,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/deltaspike-6de805f9687178eca316b13e59ce717165f90a26/deltaspike/test-utils/src/main/java/org/apache/deltaspike/test/utils/CdiContainerUnderTest.java,org.apache.deltaspike.test.utils.CdiContainerUnderTest$GetClassLoaderAction,GetClassLoaderAction/1[java.lang.Object],true,211,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/deltaspike-6de805f9687178eca316b13e59ce717165f90a26/deltaspike/test-utils/src/main/java/org/apache/deltaspike/test/utils/CdiContainerUnderTest.java,org.apache.deltaspike.test.utils.CdiContainerUnderTest$GetClassLoaderAction,run/0,false,217,1,2,1,8,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/deltaspike-6de805f9687178eca316b13e59ce717165f90a26/deltaspike/test-utils/src/main/java/org/apache/deltaspike/test/utils/CdiContainerUnderTest.java,org.apache.deltaspike.test.utils.CdiContainerUnderTest,getClassLoaderInternal/1[java.lang.Object],false,135,1,4,5,10,1,1,1,5,0,0,0,3,0,0,0,0,3,0,1,0,0,0,8,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/deltaspike-6de805f9687178eca316b13e59ce717165f90a26/deltaspike/test-utils/src/main/java/org/apache/deltaspike/test/utils/CdiContainerUnderTest.java,org.apache.deltaspike.test.utils.CdiContainerUnderTest,loadClassForName/1[java.lang.String],false,107,1,2,3,8,2,0,1,3,1,2,0,0,1,0,0,0,0,0,1,0,0,0,10,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/deltaspike-6de805f9687178eca316b13e59ce717165f90a26/deltaspike/test-utils/src/main/java/org/apache/deltaspike/test/utils/CdiContainerUnderTest.java,org.apache.deltaspike.test.utils.CdiContainerUnderTest,getJarVersion/1[java.lang.Class],false,152,1,2,4,9,2,1,1,4,1,2,0,0,1,0,0,0,1,0,1,0,0,0,16,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/deltaspike-6de805f9687178eca316b13e59ce717165f90a26/deltaspike/test-utils/src/main/java/org/apache/deltaspike/test/utils/CdiContainerUnderTest.java,org.apache.deltaspike.test.utils.CdiContainerUnderTest,is/1[java.lang.String[]],false,48,0,4,2,12,3,1,1,2,0,0,1,1,0,0,1,0,1,0,2,0,0,0,20,9,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/deltaspike-6de805f9687178eca316b13e59ce717165f90a26/deltaspike/test-utils/src/main/java/org/apache/deltaspike/test/utils/CdiContainerUnderTest.java,org.apache.deltaspike.test.utils.CdiContainerUnderTest,getClassLoader/1[java.lang.Object],false,123,2,2,3,8,2,0,1,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,9,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/deltaspike-6de805f9687178eca316b13e59ce717165f90a26/deltaspike/test-utils/src/main/java/org/apache/deltaspike/test/utils/CdiContainerUnderTest.java,org.apache.deltaspike.test.utils.CdiContainerUnderTest,CdiContainerUnderTest/0,true,37,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/deltaspike-6de805f9687178eca316b13e59ce717165f90a26/deltaspike/test-utils/src/main/java/org/apache/deltaspike/test/utils/CdiContainerUnderTest.java,org.apache.deltaspike.test.utils.CdiContainerUnderTest,isNotTomEE/0,false,230,0,1,2,3,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/deltaspike-6de805f9687178eca316b13e59ce717165f90a26/deltaspike/test-utils/src/main/java/org/apache/deltaspike/test/utils/CdiContainerUnderTest.java,org.apache.deltaspike.test.utils.CdiContainerUnderTest,getJarSpecification/1[java.lang.Class],false,167,1,2,4,9,2,1,1,4,1,2,0,0,1,0,0,0,1,0,1,0,0,0,16,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/deltaspike-6de805f9687178eca316b13e59ce717165f90a26/deltaspike/test-utils/src/main/java/org/apache/deltaspike/test/utils/CdiContainerUnderTest.java,org.apache.deltaspike.test.utils.CdiContainerUnderTest,getManifestLocation/1[java.lang.Class],false,198,0,1,7,6,1,3,1,7,0,0,0,0,0,0,3,2,3,4,0,0,0,0,16,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/deltaspike-6de805f9687178eca316b13e59ce717165f90a26/deltaspike/test-utils/src/main/java/org/apache/deltaspike/test/utils/CdiContainerUnderTest.java,org.apache.deltaspike.test.utils.CdiContainerUnderTest,"isCdiVersion/2[org.apache.deltaspike.test.utils.CdiImplementation,java.lang.String]",false,78,4,4,6,9,2,3,2,6,2,6,0,3,0,0,0,0,3,0,1,0,0,0,38,9,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/deltaspike-6de805f9687178eca316b13e59ce717165f90a26/deltaspike/test-utils/src/main/java/org/apache/deltaspike/test/utils/CdiContainerUnderTest.java,org.apache.deltaspike.test.utils.CdiContainerUnderTest,tryToLoadClassForName/1[java.lang.String],false,94,1,2,1,8,2,0,1,1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,13,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/deltaspike-6de805f9687178eca316b13e59ce717165f90a26/deltaspike/test-utils/src/main/java/org/apache/deltaspike/test/utils/CdiContainerUnderTest.java,org.apache.deltaspike.test.utils.CdiContainerUnderTest,getManifestFileLocationOfClass/1[java.lang.Class],false,182,1,2,2,10,1,1,1,2,1,1,0,0,1,0,0,0,2,0,1,0,0,0,10,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/deltaspike-6de805f9687178eca316b13e59ce717165f90a26/deltaspike/test-utils/src/main/java/org/apache/deltaspike/test/utils/ShrinkWrapArchiveUtil.java,org.apache.deltaspike.test.utils.ShrinkWrapArchiveUtil,ensureCorrectUrlFormat/1[java.lang.String],false,310,0,2,1,6,1,0,1,1,0,0,0,0,0,0,2,0,1,1,1,0,0,0,5,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/deltaspike-6de805f9687178eca316b13e59ce717165f90a26/deltaspike/test-utils/src/main/java/org/apache/deltaspike/test/utils/ShrinkWrapArchiveUtil.java,org.apache.deltaspike.test.utils.ShrinkWrapArchiveUtil,"getArchives/5[java.lang.ClassLoader,java.lang.String,java.lang.String[],java.lang.String[],java.lang.String]",false,67,2,6,13,25,1,6,5,13,2,5,1,3,1,1,4,2,7,3,3,0,0,0,62,9,2,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/deltaspike-6de805f9687178eca316b13e59ce717165f90a26/deltaspike/test-utils/src/main/java/org/apache/deltaspike/test/utils/ShrinkWrapArchiveUtil.java,org.apache.deltaspike.test.utils.ShrinkWrapArchiveUtil,getTestName/0,false,326,0,3,4,11,1,2,0,4,0,0,1,0,0,0,2,0,3,0,2,0,0,0,10,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/deltaspike-6de805f9687178eca316b13e59ce717165f90a26/deltaspike/test-utils/src/main/java/org/apache/deltaspike/test/utils/ShrinkWrapArchiveUtil.java,org.apache.deltaspike.test.utils.ShrinkWrapArchiveUtil,"createArchive/5[java.net.URL,java.lang.String,java.lang.String[],java.lang.String[],java.lang.String]",false,112,2,10,13,34,4,5,5,13,3,4,2,3,0,2,7,1,8,0,4,0,0,0,33,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/deltaspike-6de805f9687178eca316b13e59ce717165f90a26/deltaspike/test-utils/src/main/java/org/apache/deltaspike/test/utils/ShrinkWrapArchiveUtil.java,org.apache.deltaspike.test.utils.ShrinkWrapArchiveUtil,collectArchiveEntries/1[java.io.File],false,229,1,4,6,16,2,2,1,6,1,0,1,0,0,0,0,0,2,0,3,0,0,0,9,10,0,false
