file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eavp-20c1ce932e95084e386656526d0a2ac4197f786f/org.eclipse.eavp.tests.viz.service.mesh/src/org/eclipse/eavp/tests/viz/service/mesh/datastructures/TestEdge.java,org.eclipse.eavp.tests.viz.service.mesh.datastructures.TestEdge,wasUpdated/0,false,122,0,4,5,15,1,2,0,5,0,0,1,0,1,0,0,4,3,0,2,0,0,0,25,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eavp-20c1ce932e95084e386656526d0a2ac4197f786f/org.eclipse.eavp.tests.viz.service.mesh/src/org/eclipse/eavp/tests/viz/service/mesh/datastructures/TestEdge.java,org.eclipse.eavp.tests.viz.service.mesh.datastructures.TestEdge,"update/2[org.eclipse.eavp.viz.datastructures.VizObject.IManagedUpdateable,org.eclipse.eavp.viz.datastructures.VizObject.SubscriptionType[]]",false,102,2,1,2,5,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eavp-20c1ce932e95084e386656526d0a2ac4197f786f/org.eclipse.eavp.tests.viz.service.mesh/src/org/eclipse/eavp/tests/viz/service/mesh/datastructures/TestEdge.java,org.eclipse.eavp.tests.viz.service.mesh.datastructures.TestEdge,"TestEdge/2[org.eclipse.eavp.viz.modeling.VertexController,org.eclipse.eavp.viz.modeling.VertexController]",true,60,3,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eavp-20c1ce932e95084e386656526d0a2ac4197f786f/org.eclipse.eavp.tests.viz.service.mesh/src/org/eclipse/eavp/tests/viz/service/mesh/datastructures/TestEdge.java,org.eclipse.eavp.tests.viz.service.mesh.datastructures.TestEdge,reset/0,false,151,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eavp-20c1ce932e95084e386656526d0a2ac4197f786f/org.eclipse.eavp.tests.viz.service.mesh/src/org/eclipse/eavp/tests/viz/service/mesh/datastructures/TestEdge.java,org.eclipse.eavp.tests.viz.service.mesh.datastructures.TestEdge,"TestEdge/2[org.eclipse.eavp.viz.modeling.Edge,org.eclipse.eavp.viz.modeling.base.BasicView]",true,86,2,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eavp-20c1ce932e95084e386656526d0a2ac4197f786f/org.eclipse.eavp.tests.viz.service.mesh/src/org/eclipse/eavp/tests/viz/service/mesh/datastructures/TestEdge.java,org.eclipse.eavp.tests.viz.service.mesh.datastructures.TestEdge,TestEdge/1[java.util.ArrayList<org.eclipse.eavp.viz.modeling.VertexController>],true,74,3,1,1,3,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eavp-20c1ce932e95084e386656526d0a2ac4197f786f/org.eclipse.eavp.tests.viz.service.mesh/src/org/eclipse/eavp/tests/viz/service/mesh/datastructures/EdgePropertiesTester.java,org.eclipse.eavp.tests.viz.service.mesh.datastructures.EdgePropertiesTester,checkLoadingFromXML/0,false,247,4,1,8,15,1,6,0,8,0,0,0,0,0,0,0,1,7,0,0,0,0,0,49,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eavp-20c1ce932e95084e386656526d0a2ac4197f786f/org.eclipse.eavp.tests.viz.service.mesh/src/org/eclipse/eavp/tests/viz/service/mesh/datastructures/EdgePropertiesTester.java,org.eclipse.eavp.tests.viz.service.mesh.datastructures.EdgePropertiesTester,checkCopying/0,false,345,3,6,7,20,1,3,0,7,0,0,0,5,0,0,0,1,4,0,0,0,0,0,26,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eavp-20c1ce932e95084e386656526d0a2ac4197f786f/org.eclipse.eavp.tests.viz.service.mesh/src/org/eclipse/eavp/tests/viz/service/mesh/datastructures/EdgePropertiesTester.java,org.eclipse.eavp.tests.viz.service.mesh.datastructures.EdgePropertiesTester,checkFluidBoundaryCondition/0,false,49,3,1,5,17,1,3,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,28,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eavp-20c1ce932e95084e386656526d0a2ac4197f786f/org.eclipse.eavp.tests.viz.service.mesh/src/org/eclipse/eavp/tests/viz/service/mesh/datastructures/EdgePropertiesTester.java,org.eclipse.eavp.tests.viz.service.mesh.datastructures.EdgePropertiesTester,checkEquality/0,false,288,3,9,9,29,1,5,0,9,0,0,1,7,0,0,1,9,5,0,1,0,0,0,32,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eavp-20c1ce932e95084e386656526d0a2ac4197f786f/org.eclipse.eavp.tests.viz.service.mesh/src/org/eclipse/eavp/tests/viz/service/mesh/datastructures/EdgePropertiesTester.java,org.eclipse.eavp.tests.viz.service.mesh.datastructures.EdgePropertiesTester,checkOtherBoundaryConditions/0,false,140,3,7,8,45,1,10,0,8,0,0,5,1,0,0,0,7,12,0,1,0,0,0,32,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eavp-20c1ce932e95084e386656526d0a2ac4197f786f/org.eclipse.eavp.tests.viz.service.mesh/src/org/eclipse/eavp/tests/viz/service/mesh/datastructures/EdgePropertiesTester.java,org.eclipse.eavp.tests.viz.service.mesh.datastructures.EdgePropertiesTester,checkThermalBoundaryCondition/0,false,94,3,1,5,17,1,3,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,28,1,0,true
