file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eclipse-integration-commons-22a559aedc8a0b98792e893a00d510b914849ca4/org.springsource.ide.eclipse.commons.browser/src/org/springsource/ide/eclipse/commons/browser/IBrowserToEclipseFunction.java,org.springsource.ide.eclipse.commons.browser.IBrowserToEclipseFunction,call/1[java.lang.String],false,11,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eclipse-integration-commons-22a559aedc8a0b98792e893a00d510b914849ca4/org.springsource.ide.eclipse.commons.browser/src/org/springsource/ide/eclipse/commons/browser/OpenEditorFunction.java,org.springsource.ide.eclipse.commons.browser.OpenEditorFunction,call/1[java.lang.String],false,26,1,2,6,8,0,0,1,6,0,0,0,0,1,0,1,0,0,1,1,0,0,0,11,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eclipse-integration-commons-22a559aedc8a0b98792e893a00d510b914849ca4/org.springsource.ide.eclipse.commons.browser/src/org/springsource/ide/eclipse/commons/browser/BrowserExtensions.java,org.springsource.ide.eclipse.commons.browser.BrowserExtensions,"getExtensions/3[java.lang.String,java.lang.String,java.lang.String]",false,52,2,7,7,13,1,5,3,7,0,0,1,3,0,3,0,0,5,0,2,0,0,0,26,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eclipse-integration-commons-22a559aedc8a0b98792e893a00d510b914849ca4/org.springsource.ide.eclipse.commons.browser/src/org/springsource/ide/eclipse/commons/browser/BrowserExtensions.java,org.springsource.ide.eclipse.commons.browser.BrowserExtensions,"getExtension/2[java.lang.String,java.lang.String]",false,75,2,1,1,3,1,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eclipse-integration-commons-22a559aedc8a0b98792e893a00d510b914849ca4/org.springsource.ide.eclipse.commons.browser/src/org/springsource/ide/eclipse/commons/browser/BrowserExtensions.java,org.springsource.ide.eclipse.commons.browser.BrowserExtensions,"getExtension/3[java.lang.String,java.lang.String,java.lang.String]",false,67,2,2,1,7,2,1,3,1,1,1,0,0,0,0,0,2,1,0,1,0,0,0,11,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eclipse-integration-commons-22a559aedc8a0b98792e893a00d510b914849ca4/org.springsource.ide.eclipse.commons.browser/src/org/springsource/ide/eclipse/commons/browser/BrowserPlugin.java,org.springsource.ide.eclipse.commons.browser.BrowserPlugin,start/1[org.springsource.ide.eclipse.commons.browser.BundleContext],false,43,1,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eclipse-integration-commons-22a559aedc8a0b98792e893a00d510b914849ca4/org.springsource.ide.eclipse.commons.browser/src/org/springsource/ide/eclipse/commons/browser/BrowserPlugin.java,org.springsource.ide.eclipse.commons.browser.BrowserPlugin,BrowserPlugin/0,true,32,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eclipse-integration-commons-22a559aedc8a0b98792e893a00d510b914849ca4/org.springsource.ide.eclipse.commons.browser/src/org/springsource/ide/eclipse/commons/browser/BrowserPlugin.java,org.springsource.ide.eclipse.commons.browser.BrowserPlugin,getDefault/0,false,66,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eclipse-integration-commons-22a559aedc8a0b98792e893a00d510b914849ca4/org.springsource.ide.eclipse.commons.browser/src/org/springsource/ide/eclipse/commons/browser/BrowserPlugin.java,org.springsource.ide.eclipse.commons.browser.BrowserPlugin,stop/1[org.springsource.ide.eclipse.commons.browser.BundleContext],false,56,1,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eclipse-integration-commons-22a559aedc8a0b98792e893a00d510b914849ca4/org.springsource.ide.eclipse.commons.browser/src/org/springsource/ide/eclipse/commons/browser/BrowserPlugin.java,org.springsource.ide.eclipse.commons.browser.BrowserPlugin,log/1[java.lang.Throwable],false,70,2,1,3,3,0,0,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,6,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eclipse-integration-commons-22a559aedc8a0b98792e893a00d510b914849ca4/org.springsource.ide.eclipse.commons.browser/src/org/springsource/ide/eclipse/commons/browser/BrowserImages.java,org.springsource.ide.eclipse.commons.browser.BrowserImages,getImage/1[java.lang.String],false,30,2,1,2,4,1,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eclipse-integration-commons-22a559aedc8a0b98792e893a00d510b914849ca4/org.springsource.ide.eclipse.commons.browser/src/org/springsource/ide/eclipse/commons/browser/BrowserImages.java,org.springsource.ide.eclipse.commons.browser.BrowserImages,init/0,false,40,2,2,1,6,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,6,42,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eclipse-integration-commons-22a559aedc8a0b98792e893a00d510b914849ca4/org.springsource.ide.eclipse.commons.browser/src/org/springsource/ide/eclipse/commons/browser/BrowserImages.java,org.springsource.ide.eclipse.commons.browser.BrowserImages,getDescriptor/1[java.lang.String],false,35,2,1,2,4,1,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
