file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eclipse-integration-tcserver-5b381256cb35cfe2aa21f5093558f7ca927c289f/com.vmware.vfabric.ide.eclipse.tcserver.core/src/com/vmware/vfabric/ide/eclipse/tcserver/internal/core/ModifyExtraVmArgsCommand.java,com.vmware.vfabric.ide.eclipse.tcserver.internal.core.ModifyExtraVmArgsCommand,execute/0,false,41,1,1,4,6,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eclipse-integration-tcserver-5b381256cb35cfe2aa21f5093558f7ca927c289f/com.vmware.vfabric.ide.eclipse.tcserver.core/src/com/vmware/vfabric/ide/eclipse/tcserver/internal/core/ModifyExtraVmArgsCommand.java,com.vmware.vfabric.ide.eclipse.tcserver.internal.core.ModifyExtraVmArgsCommand,"ModifyExtraVmArgsCommand/3[com.vmware.vfabric.ide.eclipse.tcserver.internal.core.TcServer,java.util.List<java.lang.String>,java.util.List<java.lang.String>]",true,33,1,1,0,6,0,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eclipse-integration-tcserver-5b381256cb35cfe2aa21f5093558f7ca927c289f/com.vmware.vfabric.ide.eclipse.tcserver.core/src/com/vmware/vfabric/ide/eclipse/tcserver/internal/core/ModifyExtraVmArgsCommand.java,com.vmware.vfabric.ide.eclipse.tcserver.internal.core.ModifyExtraVmArgsCommand,undo/0,false,49,1,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eclipse-integration-tcserver-5b381256cb35cfe2aa21f5093558f7ca927c289f/com.vmware.vfabric.ide.eclipse.tcserver.core/src/com/vmware/vfabric/ide/eclipse/tcserver/internal/core/TcUndeployModuleCommand.java,com.vmware.vfabric.ide.eclipse.tcserver.internal.core.TcUndeployModuleCommand,"TcUndeployModuleCommand/4[com.vmware.vfabric.ide.eclipse.tcserver.internal.core.TcServerBehaviour,java.lang.String,java.lang.String,java.lang.String]",true,24,1,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eclipse-integration-tcserver-5b381256cb35cfe2aa21f5093558f7ca927c289f/com.vmware.vfabric.ide.eclipse.tcserver.core/src/com/vmware/vfabric/ide/eclipse/tcserver/internal/core/TcUndeployModuleCommand.java,com.vmware.vfabric.ide.eclipse.tcserver.internal.core.TcUndeployModuleCommand,doOperation/1[javax.management.MBeanServerConnection],false,29,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eclipse-integration-tcserver-5b381256cb35cfe2aa21f5093558f7ca927c289f/com.vmware.vfabric.ide.eclipse.tcserver.core/src/com/vmware/vfabric/ide/eclipse/tcserver/internal/core/TcServerConfiguration.java,com.vmware.vfabric.ide.eclipse.tcserver.internal.core.TcServerConfiguration,getTcServerPorts/0,false,150,4,16,20,80,1,22,0,20,1,1,2,4,2,0,14,6,35,1,7,0,0,0,34,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eclipse-integration-tcserver-5b381256cb35cfe2aa21f5093558f7ca927c289f/com.vmware.vfabric.ide.eclipse.tcserver.core/src/com/vmware/vfabric/ide/eclipse/tcserver/internal/core/TcServerConfiguration.java,com.vmware.vfabric.ide.eclipse.tcserver.internal.core.TcServerConfiguration,"save/2[com.vmware.vfabric.ide.eclipse.tcserver.internal.core.IPath,com.vmware.vfabric.ide.eclipse.tcserver.internal.core.IProgressMonitor]",false,433,3,1,2,4,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eclipse-integration-tcserver-5b381256cb35cfe2aa21f5093558f7ca927c289f/com.vmware.vfabric.ide.eclipse.tcserver.core/src/com/vmware/vfabric/ide/eclipse/tcserver/internal/core/TcServerConfiguration.java,com.vmware.vfabric.ide.eclipse.tcserver.internal.core.TcServerConfiguration,"save/3[com.vmware.vfabric.ide.eclipse.tcserver.internal.core.IPath,boolean,com.vmware.vfabric.ide.eclipse.tcserver.internal.core.IProgressMonitor]",false,476,2,8,6,23,0,3,3,6,0,0,0,3,1,0,1,0,3,1,2,0,0,0,42,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eclipse-integration-tcserver-5b381256cb35cfe2aa21f5093558f7ca927c289f/com.vmware.vfabric.ide.eclipse.tcserver.core/src/com/vmware/vfabric/ide/eclipse/tcserver/internal/core/TcServerConfiguration.java,com.vmware.vfabric.ide.eclipse.tcserver.internal.core.TcServerConfiguration,getServerPorts/0,false,107,2,3,6,10,1,3,0,6,1,2,1,1,0,0,1,1,3,0,2,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/eclipse-integration-tcserver-5b381256cb35cfe2aa21f5093558f7ca927c289f/com.vmware.vfabric.ide.eclipse.tcserver.core/src/com/vmware/vfabric/ide/eclipse/tcserver/internal/core/TcServerConfiguration.java,com.vmware.vfabric.ide.eclipse.tcserver.internal.core.TcServerConfiguration,"load/2[com.vmware.vfabric.ide.eclipse.tcserver.internal.core.IFolder,com.vmware.vfabric.ide.eclipse.tcserver.internal.core.IProgressMonitor]",false,242,4,6,10,33,0,1,2,10,1,1,0,1,1,0,2,0,10,1,2,0,0,0,44,1,0,false
