file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/egit-45c1839348e50f1835a3f76e306af8d1a190d617/org.eclipse.egit.gitflow.ui/src/org/eclipse/egit/gitflow/ui/internal/decorators/GitFlowLightweightDecorator.java,org.eclipse.egit.gitflow.ui.internal.decorators.GitFlowLightweightDecorator$DecorationHelper,(initializer 1),false,142,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,8,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/egit-45c1839348e50f1835a3f76e306af8d1a190d617/org.eclipse.egit.gitflow.ui/src/org/eclipse/egit/gitflow/ui/internal/decorators/GitFlowLightweightDecorator.java,org.eclipse.egit.gitflow.ui.internal.decorators.GitFlowLightweightDecorator$DecorationHelper,"decorateIcons/2[org.eclipse.egit.gitflow.ui.internal.decorators.IDecoration,org.eclipse.egit.gitflow.GitFlowRepository]",false,162,4,2,3,7,0,1,2,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,21,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/egit-45c1839348e50f1835a3f76e306af8d1a190d617/org.eclipse.egit.gitflow.ui/src/org/eclipse/egit/gitflow/ui/internal/decorators/GitFlowLightweightDecorator.java,org.eclipse.egit.gitflow.ui.internal.decorators.GitFlowLightweightDecorator$DecorationHelper,"decorate/2[org.eclipse.egit.gitflow.ui.internal.decorators.IDecoration,org.eclipse.egit.gitflow.GitFlowRepository]",false,157,3,1,1,3,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/egit-45c1839348e50f1835a3f76e306af8d1a190d617/org.eclipse.egit.gitflow.ui/src/org/eclipse/egit/gitflow/ui/internal/decorators/GitFlowLightweightDecorator.java,org.eclipse.egit.gitflow.ui.internal.decorators.GitFlowLightweightDecorator,"decorate/2[java.lang.Object,org.eclipse.egit.gitflow.ui.internal.decorators.IDecoration]",false,55,4,5,5,17,2,1,2,5,3,1,0,2,1,0,0,0,1,0,2,0,0,0,22,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/egit-45c1839348e50f1835a3f76e306af8d1a190d617/org.eclipse.egit.gitflow.ui/src/org/eclipse/egit/gitflow/ui/internal/decorators/GitFlowLightweightDecorator.java,org.eclipse.egit.gitflow.ui.internal.decorators.GitFlowLightweightDecorator,"decorateRepository/2[org.eclipse.egit.gitflow.GitFlowRepository,org.eclipse.egit.gitflow.ui.internal.decorators.IDecoration]",false,104,3,1,1,4,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,2,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/egit-45c1839348e50f1835a3f76e306af8d1a190d617/org.eclipse.egit.gitflow.ui/src/org/eclipse/egit/gitflow/ui/internal/decorators/GitFlowLightweightDecorator.java,org.eclipse.egit.gitflow.ui.internal.decorators.GitFlowLightweightDecorator,"handleException/2[org.eclipse.egit.gitflow.GitFlowRepository,java.lang.Exception]",false,186,2,2,3,5,0,0,2,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,18,2,1,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/egit-45c1839348e50f1835a3f76e306af8d1a190d617/org.eclipse.egit.gitflow.ui/src/org/eclipse/egit/gitflow/ui/internal/decorators/GitFlowLightweightDecorator.java,org.eclipse.egit.gitflow.ui.internal.decorators.GitFlowLightweightDecorator,GitFlowLightweightDecorator/0,true,44,1,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/egit-45c1839348e50f1835a3f76e306af8d1a190d617/org.eclipse.egit.gitflow.ui/src/org/eclipse/egit/gitflow/ui/internal/decorators/GitFlowLightweightDecorator.java,org.eclipse.egit.gitflow.ui.internal.decorators.GitFlowLightweightDecorator,getRepository/1[java.lang.Object],false,77,5,4,1,14,1,3,1,1,0,0,0,1,0,0,0,0,5,0,2,0,0,0,11,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/egit-45c1839348e50f1835a3f76e306af8d1a190d617/org.eclipse.egit.gitflow.ui/src/org/eclipse/egit/gitflow/ui/internal/decorators/GitFlowLightweightDecorator.java,org.eclipse.egit.gitflow.ui.internal.decorators.GitFlowLightweightDecorator$DecorationHelper$CachedImageDescriptor,getImageData/0,false,132,1,2,1,6,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/egit-45c1839348e50f1835a3f76e306af8d1a190d617/org.eclipse.egit.gitflow.ui/src/org/eclipse/egit/gitflow/ui/internal/decorators/GitFlowLightweightDecorator.java,org.eclipse.egit.gitflow.ui.internal.decorators.GitFlowLightweightDecorator$DecorationHelper$CachedImageDescriptor,CachedImageDescriptor/1[org.eclipse.egit.gitflow.ui.internal.decorators.ImageDescriptor],true,127,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
