file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/egit-github-e9a4057a0cb71f9e659d88f82e6b24e98f74218d/org.eclipse.mylyn.github.tests/src/org/eclipse/mylyn/github/ui/internal/GitHubRepositoryConnectorUIHeadlessTest.java,org.eclipse.mylyn.github.ui.internal.GitHubRepositoryConnectorUIHeadlessTest,testFindHyperlinksTaskRepositoryStringIntInt/0,false,47,4,1,4,10,0,1,0,4,0,0,0,0,0,0,2,12,2,0,0,0,0,0,13,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/egit-github-e9a4057a0cb71f9e659d88f82e6b24e98f74218d/org.eclipse.mylyn.github.tests/src/org/eclipse/mylyn/github/ui/internal/GitHubRepositoryConnectorUIHeadlessTest.java,org.eclipse.mylyn.github.ui.internal.GitHubRepositoryConnectorUIHeadlessTest,before/0,false,40,4,1,1,4,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/egit-github-e9a4057a0cb71f9e659d88f82e6b24e98f74218d/org.eclipse.mylyn.github.ui/src/org/eclipse/mylyn/internal/github/ui/RepositorySelectionWizardPage.java,org.eclipse.mylyn.internal.github.ui.RepositorySelectionWizardPage$Anonymous6$Anonymous7,getChildren/1[java.lang.Object],false,373,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/egit-github-e9a4057a0cb71f9e659d88f82e6b24e98f74218d/org.eclipse.mylyn.github.ui/src/org/eclipse/mylyn/internal/github/ui/RepositorySelectionWizardPage.java,org.eclipse.mylyn.internal.github.ui.RepositorySelectionWizardPage$RepositoryLabelProvider,getText/1[java.lang.Object],false,130,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/egit-github-e9a4057a0cb71f9e659d88f82e6b24e98f74218d/org.eclipse.mylyn.github.ui/src/org/eclipse/mylyn/internal/github/ui/RepositorySelectionWizardPage.java,org.eclipse.mylyn.internal.github.ui.RepositorySelectionWizardPage$RepositoryLabelProvider,RepositoryLabelProvider/0,true,124,1,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/egit-github-e9a4057a0cb71f9e659d88f82e6b24e98f74218d/org.eclipse.mylyn.github.ui/src/org/eclipse/mylyn/internal/github/ui/RepositorySelectionWizardPage.java,org.eclipse.mylyn.internal.github.ui.RepositorySelectionWizardPage$RepositoryLabelProvider,dispose/0,false,135,1,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/egit-github-e9a4057a0cb71f9e659d88f82e6b24e98f74218d/org.eclipse.mylyn.github.ui/src/org/eclipse/mylyn/internal/github/ui/RepositorySelectionWizardPage.java,org.eclipse.mylyn.internal.github.ui.RepositorySelectionWizardPage,setUser/1[java.lang.String],false,220,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/egit-github-e9a4057a0cb71f9e659d88f82e6b24e98f74218d/org.eclipse.mylyn.github.ui/src/org/eclipse/mylyn/internal/github/ui/RepositorySelectionWizardPage.java,org.eclipse.mylyn.internal.github.ui.RepositorySelectionWizardPage,updateSelectionLabel/0,false,346,1,1,9,5,0,0,0,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/egit-github-e9a4057a0cb71f9e659d88f82e6b24e98f74218d/org.eclipse.mylyn.github.ui/src/org/eclipse/mylyn/internal/github/ui/RepositorySelectionWizardPage.java,org.eclipse.mylyn.internal.github.ui.RepositorySelectionWizardPage,setPassword/1[java.lang.String],false,225,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/egit-github-e9a4057a0cb71f9e659d88f82e6b24e98f74218d/org.eclipse.mylyn.github.ui/src/org/eclipse/mylyn/internal/github/ui/RepositorySelectionWizardPage.java,org.eclipse.mylyn.internal.github.ui.RepositorySelectionWizardPage,updateInput/1[java.util.List<java.lang.Object>],false,362,0,1,3,16,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,2,0,false
