file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/error-prone-javac-a53d069bbdb2c60232ed3811c19b65e41c3e60e0/test/tools/javah/T6893943.java,T6893943,"expect/4[java.lang.String,java.lang.String,int,int]",false,80,0,3,1,4,0,0,4,1,0,0,0,1,0,0,3,0,0,1,1,0,0,0,8,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/error-prone-javac-a53d069bbdb2c60232ed3811c19b65e41c3e60e0/test/tools/javah/T6893943.java,T6893943,main/1[java.lang.String[]],false,39,1,1,1,3,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/error-prone-javac-a53d069bbdb2c60232ed3811c19b65e41c3e60e0/test/tools/javah/T6893943.java,T6893943,run/0,false,43,1,1,2,6,0,0,0,2,2,3,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/error-prone-javac-a53d069bbdb2c60232ed3811c19b65e41c3e60e0/test/tools/javah/T6893943.java,T6893943,"testCommand/2[java.lang.String[],int]",false,59,2,2,16,17,0,8,2,16,1,1,1,1,0,1,5,0,8,2,1,0,0,0,30,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/error-prone-javac-a53d069bbdb2c60232ed3811c19b65e41c3e60e0/test/tools/javah/T6893943.java,T6893943,"testSimpleAPI/2[java.lang.String[],int]",false,50,2,1,6,8,0,3,2,6,1,1,0,0,0,0,2,0,3,1,0,0,0,0,15,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/error-prone-javac-a53d069bbdb2c60232ed3811c19b65e41c3e60e0/test/tools/javah/constMacroTest/ConstMacroTest.java,ConstMacroTest,main/1[java.lang.String[]],false,80,2,2,8,8,0,4,1,8,0,0,0,0,0,0,5,0,4,0,0,0,0,0,15,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/error-prone-javac-a53d069bbdb2c60232ed3811c19b65e41c3e60e0/test/tools/javah/constMacroTest/ConstMacroTest.java,SuperClassConsts,numValues/0,false,109,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,257,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/error-prone-javac-a53d069bbdb2c60232ed3811c19b65e41c3e60e0/test/tools/javah/6257087/T6257087.java,foo$bar,aardvark/0,false,81,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,257,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/error-prone-javac-a53d069bbdb2c60232ed3811c19b65e41c3e60e0/test/tools/javah/6257087/T6257087.java,T6257087,main/1[java.lang.String[]],false,66,2,1,6,6,0,2,1,6,0,0,0,0,0,0,3,0,2,0,0,0,0,0,11,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/error-prone-javac-a53d069bbdb2c60232ed3811c19b65e41c3e60e0/test/tools/javah/T7126832/T7126832.java,T7126832,run/0,false,41,1,2,6,15,0,2,0,6,2,2,0,0,1,0,5,3,2,1,2,0,0,0,14,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/error-prone-javac-a53d069bbdb2c60232ed3811c19b65e41c3e60e0/test/tools/javah/T7126832/T7126832.java,T7126832,error/1[java.lang.String],false,101,0,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/error-prone-javac-a53d069bbdb2c60232ed3811c19b65e41c3e60e0/test/tools/javah/T7126832/T7126832.java,T7126832,"test/3[List<java.lang.String>,int,java.lang.String]",false,61,3,7,11,27,0,4,3,11,1,1,0,3,1,2,7,2,8,4,1,0,0,0,20,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/error-prone-javac-a53d069bbdb2c60232ed3811c19b65e41c3e60e0/test/tools/javah/T7126832/T7126832.java,T7126832,"writeFile/2[java.io.File,java.lang.String]",false,91,0,2,3,7,1,1,2,3,0,0,0,1,1,0,0,0,1,0,1,0,0,0,10,0,0,false
