file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/exoplayer-amazon-port-90cf56092dca07e8752f8f7e063a0b3b98313942/testutils_robolectric/src/main/java/com/google/android/exoplayer2/testutil/FakeTrackSelector.java,com.google.android.exoplayer2.testutil.FakeTrackSelector,FakeTrackSelector/1[boolean],true,43,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/exoplayer-amazon-port-90cf56092dca07e8752f8f7e063a0b3b98313942/testutils_robolectric/src/main/java/com/google/android/exoplayer2/testutil/FakeTrackSelector.java,com.google.android.exoplayer2.testutil.FakeTrackSelector,getAllTrackSelections/0,false,79,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/exoplayer-amazon-port-90cf56092dca07e8752f8f7e063a0b3b98313942/testutils_robolectric/src/main/java/com/google/android/exoplayer2/testutil/FakeTrackSelector.java,com.google.android.exoplayer2.testutil.FakeTrackSelector,FakeTrackSelector/0,true,34,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/exoplayer-amazon-port-90cf56092dca07e8752f8f7e063a0b3b98313942/testutils_robolectric/src/main/java/com/google/android/exoplayer2/testutil/FakeTrackSelector.java,com.google.android.exoplayer2.testutil.FakeTrackSelector,"selectAllTracks/4[com.google.android.exoplayer2.trackselection.MappingTrackSelector.MappedTrackInfo,int[][][],int[],com.google.android.exoplayer2.trackselection.DefaultTrackSelector.Parameters]",false,53,6,3,4,10,1,5,4,4,1,1,1,0,0,0,0,3,6,0,1,0,0,0,23,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/exoplayer-amazon-port-90cf56092dca07e8752f8f7e063a0b3b98313942/testutils_robolectric/src/main/java/com/google/android/exoplayer2/testutil/FakeTrackSelector.java,com.google.android.exoplayer2.testutil.FakeTrackSelector,reuseOrCreateTrackSelection/1[com.google.android.exoplayer2.source.TrackGroup],false,65,3,4,3,12,2,1,1,3,0,0,1,0,0,0,0,0,1,0,3,0,0,0,11,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/exoplayer-amazon-port-90cf56092dca07e8752f8f7e063a0b3b98313942/testutils_robolectric/src/main/java/com/google/android/exoplayer2/testutil/FakeTrackSelection.java,com.google.android.exoplayer2.testutil.FakeTrackSelection,getSelectionData/0,false,112,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/exoplayer-amazon-port-90cf56092dca07e8752f8f7e063a0b3b98313942/testutils_robolectric/src/main/java/com/google/android/exoplayer2/testutil/FakeTrackSelection.java,com.google.android.exoplayer2.testutil.FakeTrackSelection,length/0,false,66,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/exoplayer-amazon-port-90cf56092dca07e8752f8f7e063a0b3b98313942/testutils_robolectric/src/main/java/com/google/android/exoplayer2/testutil/FakeTrackSelection.java,com.google.android.exoplayer2.testutil.FakeTrackSelection,indexOf/1[int],false,87,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/exoplayer-amazon-port-90cf56092dca07e8752f8f7e063a0b3b98313942/testutils_robolectric/src/main/java/com/google/android/exoplayer2/testutil/FakeTrackSelection.java,com.google.android.exoplayer2.testutil.FakeTrackSelection,"updateSelectedTrack/5[long,long,long,java.util.List<? extends com.google.android.exoplayer2.source.chunk.MediaChunk>,com.google.android.exoplayer2.source.chunk.MediaChunkIterator[]]",false,127,1,1,2,3,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/exoplayer-amazon-port-90cf56092dca07e8752f8f7e063a0b3b98313942/testutils_robolectric/src/main/java/com/google/android/exoplayer2/testutil/FakeTrackSelection.java,com.google.android.exoplayer2.testutil.FakeTrackSelection,getFormat/1[int],false,71,2,1,1,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,false
