file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/fineract-cn-portfolio-f0eaa1850586b783351b4fbe9003ddbd9007245a/component-test/src/main/java/org/apache/fineract/cn/portfolio/ChargeDefinitionApiDocumentation.java,org.apache.fineract.cn.portfolio.ChargeDefinitionApiDocumentation,documentChangeChargeDefinition/0,false,147,6,1,33,18,0,3,0,33,0,0,0,0,0,0,29,1,3,1,0,0,0,0,25,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/fineract-cn-portfolio-f0eaa1850586b783351b4fbe9003ddbd9007245a/component-test/src/main/java/org/apache/fineract/cn/portfolio/ChargeDefinitionApiDocumentation.java,org.apache.fineract.cn.portfolio.ChargeDefinitionApiDocumentation,setUp/0,false,63,1,1,9,3,0,0,0,9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/fineract-cn-portfolio-f0eaa1850586b783351b4fbe9003ddbd9007245a/component-test/src/main/java/org/apache/fineract/cn/portfolio/ChargeDefinitionApiDocumentation.java,org.apache.fineract.cn.portfolio.ChargeDefinitionApiDocumentation,documentCreateChargeDefinition/0,false,112,5,1,28,14,0,3,0,28,0,0,0,0,0,0,26,1,3,1,0,0,0,0,24,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/fineract-cn-portfolio-f0eaa1850586b783351b4fbe9003ddbd9007245a/component-test/src/main/java/org/apache/fineract/cn/portfolio/ChargeDefinitionApiDocumentation.java,org.apache.fineract.cn.portfolio.ChargeDefinitionApiDocumentation,documentDeleteChargeDefinition/0,false,233,6,1,25,15,0,2,0,25,0,0,0,0,0,0,6,0,2,1,0,0,0,0,17,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/fineract-cn-portfolio-f0eaa1850586b783351b4fbe9003ddbd9007245a/component-test/src/main/java/org/apache/fineract/cn/portfolio/ChargeDefinitionApiDocumentation.java,org.apache.fineract.cn.portfolio.ChargeDefinitionApiDocumentation,documentGetChargeDefinition/0,false,189,5,1,29,14,0,2,0,29,0,0,0,0,0,0,44,1,2,1,0,0,0,0,32,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/fineract-cn-portfolio-f0eaa1850586b783351b4fbe9003ddbd9007245a/component-test/src/main/java/org/apache/fineract/cn/portfolio/ChargeDefinitionApiDocumentation.java,org.apache.fineract.cn.portfolio.ChargeDefinitionApiDocumentation,documentGetAllChargeDefinitions/0,false,72,3,2,19,9,0,1,0,19,0,0,0,0,1,0,39,0,1,1,1,0,0,0,35,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/fineract-cn-portfolio-f0eaa1850586b783351b4fbe9003ddbd9007245a/component-test/src/main/java/org/apache/fineract/cn/portfolio/listener/TaskInstanceEventListener.java,org.apache.fineract.cn.portfolio.listener.TaskInstanceEventListener,TaskInstanceEventListener/1[org.apache.fineract.cn.portfolio.listener.EventRecorder],true,40,2,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/fineract-cn-portfolio-f0eaa1850586b783351b4fbe9003ddbd9007245a/component-test/src/main/java/org/apache/fineract/cn/portfolio/listener/TaskInstanceEventListener.java,org.apache.fineract.cn.portfolio.listener.TaskInstanceEventListener,"onChangeTaskInstanceE/2[java.lang.String,java.lang.String]",false,61,3,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/fineract-cn-portfolio-f0eaa1850586b783351b4fbe9003ddbd9007245a/component-test/src/main/java/org/apache/fineract/cn/portfolio/listener/TaskInstanceEventListener.java,org.apache.fineract.cn.portfolio.listener.TaskInstanceEventListener,"onChangeTaskInstance/2[java.lang.String,java.lang.String]",false,51,3,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/fineract-cn-portfolio-f0eaa1850586b783351b4fbe9003ddbd9007245a/component-test/src/main/java/org/apache/fineract/cn/portfolio/listener/MigrationEventListener.java,org.apache.fineract.cn.portfolio.listener.MigrationEventListener,MigrationEventListener/1[org.apache.fineract.cn.portfolio.listener.EventRecorder],true,36,2,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
