file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/fresco-ec0664aa49280c5aef2595b68e4d37f4b49358eb/imagepipeline/src/test/java/org/mockito/configuration/MockitoConfiguration.java,org.mockito.configuration.MockitoConfiguration,enableClassCache/0,false,21,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/fresco-ec0664aa49280c5aef2595b68e4d37f4b49358eb/imagepipeline/src/test/java/com/facebook/imagepipeline/datasource/ProducerToDataSourceAdapterTest.java,com.facebook.imagepipeline.datasource.ProducerToDataSourceAdapterTest,"verifyClosed/2[boolean,java.lang.Throwable]",false,134,1,2,2,4,0,0,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,9,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/fresco-ec0664aa49280c5aef2595b68e4d37f4b49358eb/imagepipeline/src/test/java/com/facebook/imagepipeline/datasource/ProducerToDataSourceAdapterTest.java,com.facebook.imagepipeline.datasource.ProducerToDataSourceAdapterTest,test_L_a_C/0,false,296,2,1,3,5,0,0,0,3,3,6,0,0,0,0,0,2,0,0,0,0,0,0,17,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/fresco-ec0664aa49280c5aef2595b68e4d37f4b49358eb/imagepipeline/src/test/java/com/facebook/imagepipeline/datasource/ProducerToDataSourceAdapterTest.java,com.facebook.imagepipeline.datasource.ProducerToDataSourceAdapterTest,"verifyState/5[boolean,boolean,java.lang.Object,boolean,java.lang.Throwable]",false,98,1,2,9,14,0,1,5,9,0,0,0,1,0,0,7,0,1,0,1,0,0,0,16,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/fresco-ec0664aa49280c5aef2595b68e4d37f4b49358eb/imagepipeline/src/test/java/com/facebook/imagepipeline/datasource/ProducerToDataSourceAdapterTest.java,com.facebook.imagepipeline.datasource.ProducerToDataSourceAdapterTest,test_NI_S_a_C/0,false,364,3,1,7,8,0,0,0,7,4,5,0,0,0,0,0,2,0,0,0,0,0,0,24,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/fresco-ec0664aa49280c5aef2595b68e4d37f4b49358eb/imagepipeline/src/test/java/com/facebook/imagepipeline/datasource/ProducerToDataSourceAdapterTest.java,com.facebook.imagepipeline.datasource.ProducerToDataSourceAdapterTest,test_F_L_a_C/0,false,346,3,1,5,7,0,0,0,5,4,5,0,0,0,0,0,1,0,0,0,0,0,0,20,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/fresco-ec0664aa49280c5aef2595b68e4d37f4b49358eb/imagepipeline/src/test/java/com/facebook/imagepipeline/datasource/ProducerToDataSourceAdapterTest.java,com.facebook.imagepipeline.datasource.ProducerToDataSourceAdapterTest,test_I_L_a_C/0,false,280,2,1,3,6,0,0,0,3,3,6,0,0,0,0,0,3,0,0,0,0,0,0,18,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/fresco-ec0664aa49280c5aef2595b68e4d37f4b49358eb/imagepipeline/src/test/java/com/facebook/imagepipeline/datasource/ProducerToDataSourceAdapterTest.java,com.facebook.imagepipeline.datasource.ProducerToDataSourceAdapterTest,test_F_I_a_C/0,false,337,3,1,5,7,0,0,0,5,4,5,0,0,0,0,0,1,0,0,0,0,0,0,20,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/fresco-ec0664aa49280c5aef2595b68e4d37f4b49358eb/imagepipeline/src/test/java/com/facebook/imagepipeline/datasource/ProducerToDataSourceAdapterTest.java,com.facebook.imagepipeline.datasource.ProducerToDataSourceAdapterTest,testClose/1[java.lang.Throwable],false,192,2,1,2,4,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/fresco-ec0664aa49280c5aef2595b68e4d37f4b49358eb/imagepipeline/src/test/java/com/facebook/imagepipeline/datasource/ProducerToDataSourceAdapterTest.java,com.facebook.imagepipeline.datasource.ProducerToDataSourceAdapterTest,test_L_F_a_C/0,false,321,3,1,5,7,0,0,0,5,4,5,0,0,0,0,0,2,0,0,0,0,0,0,22,1,0,false
