file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous1,"visitEnum/3[java.lang.String,java.lang.String,java.lang.String]",false,37,1,1,1,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous1,visitEnd/0,false,52,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous1,visitArray/1[java.lang.String],false,47,2,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous1,"visitAnnotation/2[java.lang.String,java.lang.String]",false,42,2,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous1,"visit/2[java.lang.String,java.lang.Object]",false,32,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous3,"visitTryCatchBlock/4[org.apache.xbean.asm7.original.commons.Label,org.apache.xbean.asm7.original.commons.Label,org.apache.xbean.asm7.original.commons.Label,java.lang.String]",false,145,2,1,1,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous3,"visitTableSwitchInsn/4[int,int,org.apache.xbean.asm7.original.commons.Label,org.apache.xbean.asm7.original.commons.Label[]]",false,130,2,1,1,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous3,"visitVarInsn/2[int,int]",false,175,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous3,"visitMaxs/2[int,int]",false,160,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous3,"visitIincInsn/2[int,int]",false,125,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous3,"visitLocalVariable/6[java.lang.String,java.lang.String,java.lang.String,org.apache.xbean.asm7.original.commons.Label,org.apache.xbean.asm7.original.commons.Label,int]",false,150,2,1,1,3,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous3,"visitIntInsn/2[int,int]",false,170,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous3,visitLabel/1[org.apache.xbean.asm7.original.commons.Label],false,115,2,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous3,visitAttribute/1[org.apache.xbean.asm7.original.commons.Attribute],false,90,2,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous3,"visitJumpInsn/2[int,org.apache.xbean.asm7.original.commons.Label]",false,110,2,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous3,"visitLookupSwitchInsn/3[org.apache.xbean.asm7.original.commons.Label,int[],org.apache.xbean.asm7.original.commons.Label[]]",false,135,3,1,1,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous3,visitLdcInsn/1[java.lang.Object],false,120,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous3,visitAnnotationDefault/0,false,75,2,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous3,"visitFieldInsn/4[int,java.lang.String,java.lang.String,java.lang.String]",false,185,1,1,1,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous3,visitCode/0,false,95,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous3,visitEnd/0,false,165,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous3,visitInsn/1[int],false,105,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous3,"visitLineNumber/2[int,org.apache.xbean.asm7.original.commons.Label]",false,155,2,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous3,"visitInvokeDynamicInsn/4[java.lang.String,java.lang.String,org.apache.xbean.asm7.original.commons.Handle,java.lang.Object[]]",false,200,2,1,1,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous3,"visitFrame/5[int,int,java.lang.Object[],int,java.lang.Object[]]",false,100,1,1,1,3,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous3,"visitTypeInsn/2[int,java.lang.String]",false,180,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous3,"visitAnnotation/2[java.lang.String,boolean]",false,80,2,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous3,"visitMethodInsn/5[int,java.lang.String,java.lang.String,java.lang.String,boolean]",false,195,1,1,1,3,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous3,"visitMultiANewArrayInsn/2[java.lang.String,int]",false,140,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous3,"visitParameterAnnotation/3[int,java.lang.String,boolean]",false,85,2,1,1,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous3,"visitMethodInsn/4[int,java.lang.String,java.lang.String,java.lang.String]",false,190,1,1,1,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/geronimo-xbean-e6191cc3a98755894ec9997e78214972d29040c4/xbean-asm-util/src/main/java/org/apache/xbean/asm7/original/commons/EmptyVisitor.java,org.apache.xbean.asm7.original.commons.EmptyVisitor$Anonymous2,visitAttribute/1[org.apache.xbean.asm7.original.commons.Attribute],false,64,2,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
