file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/google-java-format-df76e0c7fe82711c8600768fca19d0ebaf2ca3d2/idea_plugin/src/com/google/googlejavaformat/intellij/GoogleJavaFormatConfigurable.java,com.google.googlejavaformat.intellij.GoogleJavaFormatConfigurable,(initializer 1),false,114,1,1,1,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/google-java-format-df76e0c7fe82711c8600768fca19d0ebaf2ca3d2/idea_plugin/src/com/google/googlejavaformat/intellij/GoogleJavaFormatConfigurable.java,com.google.googlejavaformat.intellij.GoogleJavaFormatConfigurable,$$$setupUI$$$/0,false,127,4,1,5,14,0,2,0,5,1,1,0,0,0,0,2,29,4,0,0,0,0,0,44,2,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/google-java-format-df76e0c7fe82711c8600768fca19d0ebaf2ca3d2/idea_plugin/src/com/google/googlejavaformat/intellij/GoogleJavaFormatConfigurable.java,com.google.googlejavaformat.intellij.GoogleJavaFormatConfigurable,GoogleJavaFormatConfigurable/1[com.google.googlejavaformat.intellij.Project],true,45,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/google-java-format-df76e0c7fe82711c8600768fca19d0ebaf2ca3d2/idea_plugin/src/com/google/googlejavaformat/intellij/GoogleJavaFormatConfigurable.java,com.google.googlejavaformat.intellij.GoogleJavaFormatConfigurable,getDisabledState/0,false,86,1,2,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/google-java-format-df76e0c7fe82711c8600768fca19d0ebaf2ca3d2/idea_plugin/src/com/google/googlejavaformat/intellij/GoogleJavaFormatConfigurable.java,com.google.googlejavaformat.intellij.GoogleJavaFormatConfigurable,getHelpTopic/0,false,69,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/google-java-format-df76e0c7fe82711c8600768fca19d0ebaf2ca3d2/idea_plugin/src/com/google/googlejavaformat/intellij/GoogleJavaFormatConfigurable.java,com.google.googlejavaformat.intellij.GoogleJavaFormatConfigurable,getDisplayName/0,false,63,1,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/google-java-format-df76e0c7fe82711c8600768fca19d0ebaf2ca3d2/idea_plugin/src/com/google/googlejavaformat/intellij/GoogleJavaFormatConfigurable.java,com.google.googlejavaformat.intellij.GoogleJavaFormatConfigurable,createComponent/0,false,75,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/google-java-format-df76e0c7fe82711c8600768fca19d0ebaf2ca3d2/idea_plugin/src/com/google/googlejavaformat/intellij/GoogleJavaFormatConfigurable.java,com.google.googlejavaformat.intellij.GoogleJavaFormatConfigurable,createUIComponents/0,false,110,2,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/google-java-format-df76e0c7fe82711c8600768fca19d0ebaf2ca3d2/idea_plugin/src/com/google/googlejavaformat/intellij/GoogleJavaFormatConfigurable.java,com.google.googlejavaformat.intellij.GoogleJavaFormatConfigurable,getId/0,false,51,1,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/google-java-format-df76e0c7fe82711c8600768fca19d0ebaf2ca3d2/idea_plugin/src/com/google/googlejavaformat/intellij/GoogleJavaFormatConfigurable.java,com.google.googlejavaformat.intellij.GoogleJavaFormatConfigurable,reset/0,false,94,2,1,6,5,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/google-java-format-df76e0c7fe82711c8600768fca19d0ebaf2ca3d2/idea_plugin/src/com/google/googlejavaformat/intellij/GoogleJavaFormatConfigurable.java,com.google.googlejavaformat.intellij.GoogleJavaFormatConfigurable,enableSearch/1[java.lang.String],false,57,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/google-java-format-df76e0c7fe82711c8600768fca19d0ebaf2ca3d2/idea_plugin/src/com/google/googlejavaformat/intellij/GoogleJavaFormatConfigurable.java,com.google.googlejavaformat.intellij.GoogleJavaFormatConfigurable,apply/0,false,80,3,2,7,5,0,1,0,7,1,1,0,0,0,1,0,0,1,0,0,0,0,0,15,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/google-java-format-df76e0c7fe82711c8600768fca19d0ebaf2ca3d2/idea_plugin/src/com/google/googlejavaformat/intellij/GoogleJavaFormatConfigurable.java,com.google.googlejavaformat.intellij.GoogleJavaFormatConfigurable,disposeUIResources/0,false,108,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/google-java-format-df76e0c7fe82711c8600768fca19d0ebaf2ca3d2/idea_plugin/src/com/google/googlejavaformat/intellij/GoogleJavaFormatConfigurable.java,com.google.googlejavaformat.intellij.GoogleJavaFormatConfigurable,isModified/0,false,101,2,2,7,4,1,1,0,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/google-java-format-df76e0c7fe82711c8600768fca19d0ebaf2ca3d2/idea_plugin/src/com/google/googlejavaformat/intellij/GoogleJavaFormatConfigurable.java,com.google.googlejavaformat.intellij.GoogleJavaFormatConfigurable,$$$getRootComponent$$$/0,false,203,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/google-java-format-df76e0c7fe82711c8600768fca19d0ebaf2ca3d2/idea_plugin/src/com/google/googlejavaformat/intellij/GoogleJavaFormatSettings.java,com.google.googlejavaformat.intellij.GoogleJavaFormatSettings,isEnabled/0,false,49,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/google-java-format-df76e0c7fe82711c8600768fca19d0ebaf2ca3d2/idea_plugin/src/com/google/googlejavaformat/intellij/GoogleJavaFormatSettings.java,com.google.googlejavaformat.intellij.GoogleJavaFormatSettings,setStyle/1[com.google.googlejavaformat.java.JavaFormatterOptions.Style],false,69,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,false
