file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/graphql_java_gen-ce1e7c8ab2f0d4a61fe47e7308d6226a11d85627/support/src/test/java/com/shopify/graphql/support/GeneratedMinimal.java,com.shopify.graphql.support.GeneratedMinimal$QueryRootQuery,toString/0,false,80,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/graphql_java_gen-ce1e7c8ab2f0d4a61fe47e7308d6226a11d85627/support/src/test/java/com/shopify/graphql/support/GeneratedMinimal.java,com.shopify.graphql.support.GeneratedMinimal$QueryRootQuery,QueryRootQuery/1[java.lang.StringBuilder],true,70,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/graphql_java_gen-ce1e7c8ab2f0d4a61fe47e7308d6226a11d85627/support/src/test/java/com/shopify/graphql/support/GeneratedMinimal.java,com.shopify.graphql.support.GeneratedMinimal$QueryRootQuery,version/0,false,74,2,1,1,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/graphql_java_gen-ce1e7c8ab2f0d4a61fe47e7308d6226a11d85627/support/src/test/java/com/shopify/graphql/support/GeneratedMinimal.java,com.shopify.graphql.support.GeneratedMinimal$QueryRoot,setVersion/1[java.lang.String],false,124,2,1,2,4,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/graphql_java_gen-ce1e7c8ab2f0d4a61fe47e7308d6226a11d85627/support/src/test/java/com/shopify/graphql/support/GeneratedMinimal.java,com.shopify.graphql.support.GeneratedMinimal$QueryRoot,QueryRoot/1[com.shopify.graphql.support.JsonObject],true,89,4,5,7,26,0,3,1,7,0,0,1,0,0,0,2,0,4,0,3,0,0,0,18,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/graphql_java_gen-ce1e7c8ab2f0d4a61fe47e7308d6226a11d85627/support/src/test/java/com/shopify/graphql/support/GeneratedMinimal.java,com.shopify.graphql.support.GeneratedMinimal$QueryRoot,unwrapsToObject/1[java.lang.String],false,129,1,2,1,8,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/graphql_java_gen-ce1e7c8ab2f0d4a61fe47e7308d6226a11d85627/support/src/test/java/com/shopify/graphql/support/GeneratedMinimal.java,com.shopify.graphql.support.GeneratedMinimal$QueryRoot,getGraphQlTypeName/0,false,116,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/graphql_java_gen-ce1e7c8ab2f0d4a61fe47e7308d6226a11d85627/support/src/test/java/com/shopify/graphql/support/GeneratedMinimal.java,com.shopify.graphql.support.GeneratedMinimal$QueryRoot,QueryRoot/0,true,86,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/graphql_java_gen-ce1e7c8ab2f0d4a61fe47e7308d6226a11d85627/support/src/test/java/com/shopify/graphql/support/GeneratedMinimal.java,com.shopify.graphql.support.GeneratedMinimal$QueryRoot,getVersion/0,false,120,1,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/graphql_java_gen-ce1e7c8ab2f0d4a61fe47e7308d6226a11d85627/support/src/test/java/com/shopify/graphql/support/GeneratedMinimal.java,com.shopify.graphql.support.GeneratedMinimal$QueryResponse,toJson/0,false,50,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
