file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/hadoop-hdfs-b2d2a3262c587638db04c2991d48656b3d06275c/src/ant/org/apache/hadoop/ant/condition/DfsIsDir.java,org.apache.hadoop.ant.condition.DfsIsDir,getFlag/0,false,23,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/hadoop-hdfs-b2d2a3262c587638db04c2991d48656b3d06275c/src/ant/org/apache/hadoop/ant/condition/DfsExists.java,org.apache.hadoop.ant.condition.DfsExists,getFlag/0,false,23,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/hadoop-hdfs-b2d2a3262c587638db04c2991d48656b3d06275c/src/ant/org/apache/hadoop/ant/condition/DfsBaseConditional.java,org.apache.hadoop.ant.condition.DfsBaseConditional,postCmd/1[int],false,57,0,2,1,5,1,0,1,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,5,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/hadoop-hdfs-b2d2a3262c587638db04c2991d48656b3d06275c/src/ant/org/apache/hadoop/ant/condition/DfsBaseConditional.java,org.apache.hadoop.ant.condition.DfsBaseConditional,initArgs/0,false,46,2,1,3,4,0,0,0,3,1,1,0,0,0,0,3,0,0,1,0,0,0,0,7,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/hadoop-hdfs-b2d2a3262c587638db04c2991d48656b3d06275c/src/ant/org/apache/hadoop/ant/condition/DfsBaseConditional.java,org.apache.hadoop.ant.condition.DfsBaseConditional,setFile/1[java.lang.String],false,51,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/hadoop-hdfs-b2d2a3262c587638db04c2991d48656b3d06275c/src/ant/org/apache/hadoop/ant/condition/DfsBaseConditional.java,org.apache.hadoop.ant.condition.DfsBaseConditional,eval/0,false,63,2,1,2,5,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/hadoop-hdfs-b2d2a3262c587638db04c2991d48656b3d06275c/src/ant/org/apache/hadoop/ant/condition/DfsBaseConditional.java,org.apache.hadoop.ant.condition.DfsBaseConditional,getFlag/0,false,55,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1028,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/hadoop-hdfs-b2d2a3262c587638db04c2991d48656b3d06275c/src/ant/org/apache/hadoop/ant/condition/DfsZeroLen.java,org.apache.hadoop.ant.condition.DfsZeroLen,getFlag/0,false,23,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/hadoop-hdfs-b2d2a3262c587638db04c2991d48656b3d06275c/src/ant/org/apache/hadoop/ant/DfsTask.java,org.apache.hadoop.ant.DfsTask$Anonymous1,toString/0,false,50,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/hadoop-hdfs-b2d2a3262c587638db04c2991d48656b3d06275c/src/ant/org/apache/hadoop/ant/DfsTask.java,org.apache.hadoop.ant.DfsTask$Anonymous1,write/1[int],false,49,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/hadoop-hdfs-b2d2a3262c587638db04c2991d48656b3d06275c/src/ant/org/apache/hadoop/ant/DfsTask.java,org.apache.hadoop.ant.DfsTask,setConf/1[java.lang.String],false,115,1,2,5,5,0,0,1,5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,23,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/hadoop-hdfs-b2d2a3262c587638db04c2991d48656b3d06275c/src/ant/org/apache/hadoop/ant/DfsTask.java,org.apache.hadoop.ant.DfsTask,pushContext/0,false,136,0,2,2,6,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,18,4,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/hadoop-hdfs-b2d2a3262c587638db04c2991d48656b3d06275c/src/ant/org/apache/hadoop/ant/DfsTask.java,org.apache.hadoop.ant.DfsTask,execute/0,false,172,4,7,13,27,0,3,0,13,4,1,1,2,1,0,4,3,5,2,3,0,0,0,35,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/hadoop-hdfs-b2d2a3262c587638db04c2991d48656b3d06275c/src/ant/org/apache/hadoop/ant/DfsTask.java,org.apache.hadoop.ant.DfsTask,setErr/1[java.lang.String],false,104,0,2,1,4,0,0,1,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,31,1,0,true
