file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/hawkbit-51be28147f6f575b6c1ab4a5ef84ffd9174f1209/hawkbit-artifact-repository-filesystem/src/test/java/org/eclipse/hawkbit/artifact/repository/ArtifactFilesystemTest.java,org.eclipse.hawkbit.artifact.repository.ArtifactFilesystemTest,getInputStreamOfExistingFile/0,false,46,6,1,5,7,0,3,0,5,0,0,0,0,0,0,4,2,3,0,0,0,0,0,24,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/hawkbit-51be28147f6f575b6c1ab4a5ef84ffd9174f1209/hawkbit-artifact-repository-filesystem/src/test/java/org/eclipse/hawkbit/artifact/repository/ArtifactFilesystemTest.java,org.eclipse.hawkbit.artifact.repository.ArtifactFilesystemTest,getInputStreamOfNonExistingFileThrowsException/0,false,32,4,2,5,11,0,2,0,5,0,0,0,0,1,0,6,1,2,0,1,0,0,0,34,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/hawkbit-51be28147f6f575b6c1ab4a5ef84ffd9174f1209/hawkbit-artifact-repository-filesystem/src/test/java/org/eclipse/hawkbit/artifact/repository/ArtifactFilesystemRepositoryTest.java,org.eclipse.hawkbit.artifact.repository.ArtifactFilesystemRepositoryTest,setup/0,false,46,3,1,3,5,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/hawkbit-51be28147f6f575b6c1ab4a5ef84ffd9174f1209/hawkbit-artifact-repository-filesystem/src/test/java/org/eclipse/hawkbit/artifact/repository/ArtifactFilesystemRepositoryTest.java,org.eclipse.hawkbit.artifact.repository.ArtifactFilesystemRepositoryTest,deleteStoredArtifactBySHA1Hash/0,false,90,6,1,8,5,0,1,0,8,2,1,0,0,0,0,1,0,1,0,0,0,0,0,26,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/hawkbit-51be28147f6f575b6c1ab4a5ef84ffd9174f1209/hawkbit-artifact-repository-filesystem/src/test/java/org/eclipse/hawkbit/artifact/repository/ArtifactFilesystemRepositoryTest.java,org.eclipse.hawkbit.artifact.repository.ArtifactFilesystemRepositoryTest,storeRandomArtifact/1[byte[]],false,125,3,1,1,5,1,2,1,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,13,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/hawkbit-51be28147f6f575b6c1ab4a5ef84ffd9174f1209/hawkbit-artifact-repository-filesystem/src/test/java/org/eclipse/hawkbit/artifact/repository/ArtifactFilesystemRepositoryTest.java,org.eclipse.hawkbit.artifact.repository.ArtifactFilesystemRepositoryTest,getStoredArtifactBasedOnSHA1Hash/0,false,78,7,1,7,6,0,3,0,7,2,1,0,0,0,0,1,0,3,0,0,0,0,0,31,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/hawkbit-51be28147f6f575b6c1ab4a5ef84ffd9174f1209/hawkbit-artifact-repository-filesystem/src/test/java/org/eclipse/hawkbit/artifact/repository/ArtifactFilesystemRepositoryTest.java,org.eclipse.hawkbit.artifact.repository.ArtifactFilesystemRepositoryTest,deleteArtifactWhichDoesNotExistsBySHA1HashWithoutException/0,false,110,6,3,6,15,0,1,0,6,2,1,0,0,2,0,5,0,1,0,1,0,0,0,38,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/hawkbit-51be28147f6f575b6c1ab4a5ef84ffd9174f1209/hawkbit-artifact-repository-filesystem/src/test/java/org/eclipse/hawkbit/artifact/repository/ArtifactFilesystemRepositoryTest.java,org.eclipse.hawkbit.artifact.repository.ArtifactFilesystemRepositoryTest,afterClass/0,false,54,2,3,4,10,0,0,0,4,0,0,0,0,1,0,1,0,0,0,2,0,0,0,11,9,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/hawkbit-51be28147f6f575b6c1ab4a5ef84ffd9174f1209/hawkbit-artifact-repository-filesystem/src/test/java/org/eclipse/hawkbit/artifact/repository/ArtifactFilesystemRepositoryTest.java,org.eclipse.hawkbit.artifact.repository.ArtifactFilesystemRepositoryTest,deleteStoredArtifactOfTenant/0,false,100,6,1,8,5,0,1,0,8,2,1,0,0,0,0,1,0,1,0,0,0,0,0,31,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/hawkbit-51be28147f6f575b6c1ab4a5ef84ffd9174f1209/hawkbit-artifact-repository-filesystem/src/test/java/org/eclipse/hawkbit/artifact/repository/ArtifactFilesystemRepositoryTest.java,org.eclipse.hawkbit.artifact.repository.ArtifactFilesystemRepositoryTest,randomBytes/0,false,131,1,1,1,6,1,2,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,4,10,0,false
