file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-atlas-e0d2cdc27c32742ebecd24db4cca62dc04dcdf4b/server-api/src/main/test/org/apache/atlas/ha/AtlasServerIdSelectorTest.java,org.apache.atlas.ha.AtlasServerIdSelectorTest,testShouldSelectRightServerAddress/0,false,44,2,1,6,7,0,1,0,6,0,0,0,0,0,0,7,0,1,2,0,0,0,0,14,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-atlas-e0d2cdc27c32742ebecd24db4cca62dc04dcdf4b/server-api/src/main/test/org/apache/atlas/ha/AtlasServerIdSelectorTest.java,org.apache.atlas.ha.AtlasServerIdSelectorTest,testShouldFailIfNoMatchingAddressForID/0,false,61,3,1,6,6,0,0,0,6,0,0,0,0,0,0,5,0,0,1,0,0,0,0,25,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-atlas-e0d2cdc27c32742ebecd24db4cca62dc04dcdf4b/server-api/src/main/test/org/apache/atlas/ha/AtlasServerIdSelectorTest.java,org.apache.atlas.ha.AtlasServerIdSelectorTest,testShouldFailIfNoIDsConfiguration/0,false,54,3,1,5,5,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-atlas-e0d2cdc27c32742ebecd24db4cca62dc04dcdf4b/server-api/src/main/test/org/apache/atlas/ha/AtlasServerIdSelectorTest.java,org.apache.atlas.ha.AtlasServerIdSelectorTest,setup/0,false,38,1,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-atlas-e0d2cdc27c32742ebecd24db4cca62dc04dcdf4b/server-api/src/main/java/org/apache/atlas/metrics/Metrics.java,org.apache.atlas.metrics.Metrics$Counters,toString/0,false,30,0,1,0,3,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-atlas-e0d2cdc27c32742ebecd24db4cca62dc04dcdf4b/server-api/src/main/java/org/apache/atlas/metrics/Metrics.java,org.apache.atlas.metrics.Metrics$Counters,getTotalTimeMSecs/0,false,38,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-atlas-e0d2cdc27c32742ebecd24db4cca62dc04dcdf4b/server-api/src/main/java/org/apache/atlas/metrics/Metrics.java,org.apache.atlas.metrics.Metrics$Counters,getInvocations/0,false,34,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-atlas-e0d2cdc27c32742ebecd24db4cca62dc04dcdf4b/server-api/src/main/java/org/apache/atlas/metrics/Metrics.java,org.apache.atlas.metrics.Metrics,"record/2[java.lang.String,long]",false,45,1,2,2,9,0,1,2,2,0,0,0,1,0,0,0,0,3,0,1,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-atlas-e0d2cdc27c32742ebecd24db4cca62dc04dcdf4b/server-api/src/main/java/org/apache/atlas/metrics/Metrics.java,org.apache.atlas.metrics.Metrics,isEmpty/0,false,61,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-atlas-e0d2cdc27c32742ebecd24db4cca62dc04dcdf4b/server-api/src/main/java/org/apache/atlas/metrics/Metrics.java,org.apache.atlas.metrics.Metrics,getCounters/1[java.lang.String],false,65,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-atlas-e0d2cdc27c32742ebecd24db4cca62dc04dcdf4b/server-api/src/main/java/org/apache/atlas/metrics/Metrics.java,org.apache.atlas.metrics.Metrics,toString/0,false,57,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-atlas-e0d2cdc27c32742ebecd24db4cca62dc04dcdf4b/server-api/src/main/java/org/apache/atlas/listener/TypesChangeListener.java,org.apache.atlas.listener.TypesChangeListener,onAdd/1[java.util.Collection<? extends org.apache.atlas.typesystem.types.IDataType>],false,31,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-atlas-e0d2cdc27c32742ebecd24db4cca62dc04dcdf4b/server-api/src/main/java/org/apache/atlas/listener/TypesChangeListener.java,org.apache.atlas.listener.TypesChangeListener,onChange/1[java.util.Collection<? extends org.apache.atlas.typesystem.types.IDataType>],false,39,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-atlas-e0d2cdc27c32742ebecd24db4cca62dc04dcdf4b/server-api/src/main/java/org/apache/atlas/listener/EntityChangeListener.java,org.apache.atlas.listener.EntityChangeListener,"onTraitsDeleted/2[org.apache.atlas.typesystem.ITypedReferenceableInstance,java.util.Collection<java.lang.String>]",false,61,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-atlas-e0d2cdc27c32742ebecd24db4cca62dc04dcdf4b/server-api/src/main/java/org/apache/atlas/listener/EntityChangeListener.java,org.apache.atlas.listener.EntityChangeListener,"onEntitiesDeleted/2[java.util.Collection<org.apache.atlas.typesystem.ITypedReferenceableInstance>,boolean]",false,81,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,true
