file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-netbeans-html4j-7b354fd0de6a8aeba13aab8264de1c974af5d9c0/boot-truffle/src/test/java/net/java/html/boot/truffle/SingleCase.java,net.java.html.boot.truffle.SingleCase,run/0,false,69,1,7,7,31,1,2,0,7,0,0,0,2,1,0,0,0,8,0,2,0,0,0,16,33,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-netbeans-html4j-7b354fd0de6a8aeba13aab8264de1c974af5d9c0/boot-truffle/src/test/java/net/java/html/boot/truffle/SingleCase.java,net.java.html.boot.truffle.SingleCase,"SingleCase/2[org.netbeans.html.boot.spi.Fn.Presenter,java.lang.reflect.Method]",true,44,1,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-netbeans-html4j-7b354fd0de6a8aeba13aab8264de1c974af5d9c0/boot-truffle/src/test/java/net/java/html/boot/truffle/SingleCase.java,net.java.html.boot.truffle.SingleCase,"run/2[net.java.html.boot.truffle.IHookCallBack,net.java.html.boot.truffle.ITestResult]",false,99,2,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-netbeans-html4j-7b354fd0de6a8aeba13aab8264de1c974af5d9c0/boot-truffle/src/test/java/net/java/html/boot/truffle/SingleCase.java,net.java.html.boot.truffle.SingleCase,executeTest/0,false,55,1,4,2,12,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,33,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-netbeans-html4j-7b354fd0de6a8aeba13aab8264de1c974af5d9c0/boot-truffle/src/test/java/net/java/html/boot/truffle/SingleCase.java,net.java.html.boot.truffle.SingleCase,getTestName/0,false,50,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-netbeans-html4j-7b354fd0de6a8aeba13aab8264de1c974af5d9c0/boot-truffle/src/test/java/net/java/html/boot/truffle/TruffleJavaScriptTest.java,net.java.html.boot.truffle.TruffleJavaScriptTest,TruffleJavaScriptTest/0,true,46,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-netbeans-html4j-7b354fd0de6a8aeba13aab8264de1c974af5d9c0/boot-truffle/src/test/java/net/java/html/boot/truffle/TruffleJavaScriptTest.java,net.java.html.boot.truffle.TruffleJavaScriptTest,loadClass/0,false,92,1,2,1,6,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,6,40,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-netbeans-html4j-7b354fd0de6a8aeba13aab8264de1c974af5d9c0/boot-truffle/src/test/java/net/java/html/boot/truffle/TruffleJavaScriptTest.java,net.java.html.boot.truffle.TruffleJavaScriptTest,ready/1[java.lang.Class<?>],false,99,2,1,2,5,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,41,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-netbeans-html4j-7b354fd0de6a8aeba13aab8264de1c974af5d9c0/boot-truffle/src/test/java/net/java/html/boot/truffle/TruffleJavaScriptTest.java,net.java.html.boot.truffle.TruffleJavaScriptTest,compatibilityTests/0,false,49,8,7,29,34,2,6,0,29,1,1,2,1,1,0,9,1,7,0,3,1,0,0,29,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-netbeans-html4j-7b354fd0de6a8aeba13aab8264de1c974af5d9c0/boot-truffle/src/test/java/net/java/html/boot/truffle/TruffleJavaScriptTest.java,net.java.html.boot.truffle.TruffleJavaScriptTest,initialized/0,false,105,2,1,4,4,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,9,0,false
