file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-rya-5463da23c7cd5eaddf2ab13f0b42141211ab59f2/pig/accumulo.pig/src/test/java/org/apache/rya/accumulo/pig/SparqlToPigTransformVisitorTest.java,org.apache.rya.accumulo.pig.SparqlToPigTransformVisitorTest,testCross/0,false,193,6,1,9,15,0,6,0,9,0,0,0,0,0,0,6,0,6,1,0,0,0,0,36,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-rya-5463da23c7cd5eaddf2ab13f0b42141211ab59f2/pig/accumulo.pig/src/test/java/org/apache/rya/accumulo/pig/SparqlToPigTransformVisitorTest.java,org.apache.rya.accumulo.pig.SparqlToPigTransformVisitorTest,testHardQuery/0,false,241,6,1,8,13,0,5,0,8,0,0,0,0,0,0,12,0,5,1,0,0,0,0,39,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-rya-5463da23c7cd5eaddf2ab13f0b42141211ab59f2/pig/accumulo.pig/src/test/java/org/apache/rya/accumulo/pig/SparqlToPigTransformVisitorTest.java,org.apache.rya.accumulo.pig.SparqlToPigTransformVisitorTest,testJoin/0,false,130,5,1,8,12,0,4,0,8,0,0,0,0,0,0,4,0,4,1,0,0,0,0,29,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-rya-5463da23c7cd5eaddf2ab13f0b42141211ab59f2/pig/accumulo.pig/src/test/java/org/apache/rya/accumulo/pig/SparqlToPigTransformVisitorTest.java,org.apache.rya.accumulo.pig.SparqlToPigTransformVisitorTest,testStatementPatternContext/0,false,77,5,1,8,12,0,4,0,8,0,0,0,0,0,0,10,0,4,1,0,0,0,0,40,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-rya-5463da23c7cd5eaddf2ab13f0b42141211ab59f2/pig/accumulo.pig/src/test/java/org/apache/rya/accumulo/pig/SparqlToPigTransformVisitorTest.java,org.apache.rya.accumulo.pig.SparqlToPigTransformVisitorTest,testStatementPattern/0,false,53,5,1,8,12,0,4,0,8,0,0,0,0,0,0,8,0,4,1,0,0,0,0,37,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-rya-5463da23c7cd5eaddf2ab13f0b42141211ab59f2/pig/accumulo.pig/src/test/java/org/apache/rya/accumulo/pig/SparqlToPigTransformVisitorTest.java,org.apache.rya.accumulo.pig.SparqlToPigTransformVisitorTest,testStatementPatternContextVar/0,false,103,5,1,8,12,0,4,0,8,0,0,0,0,0,0,11,0,4,1,0,0,0,0,41,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-rya-5463da23c7cd5eaddf2ab13f0b42141211ab59f2/pig/accumulo.pig/src/test/java/org/apache/rya/accumulo/pig/SparqlToPigTransformVisitorTest.java,org.apache.rya.accumulo.pig.SparqlToPigTransformVisitorTest,testMutlipleJoins/0,false,171,5,1,8,12,0,4,0,8,0,0,0,0,0,0,5,0,4,1,0,0,0,0,32,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-rya-5463da23c7cd5eaddf2ab13f0b42141211ab59f2/pig/accumulo.pig/src/test/java/org/apache/rya/accumulo/pig/SparqlToPigTransformVisitorTest.java,org.apache.rya.accumulo.pig.SparqlToPigTransformVisitorTest,testLimit/0,false,220,5,1,8,12,0,4,0,8,0,0,0,0,0,0,4,0,4,1,0,0,0,0,30,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-rya-5463da23c7cd5eaddf2ab13f0b42141211ab59f2/pig/accumulo.pig/src/test/java/org/apache/rya/accumulo/pig/SparqlToPigTransformVisitorTest.java,org.apache.rya.accumulo.pig.SparqlToPigTransformVisitorTest,testFixedStatementPatternInferenceQuery/0,false,290,6,1,8,13,0,5,0,8,0,0,0,0,0,0,10,0,5,1,0,0,0,0,45,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-rya-5463da23c7cd5eaddf2ab13f0b42141211ab59f2/pig/accumulo.pig/src/test/java/org/apache/rya/accumulo/pig/SparqlToPigTransformVisitorTest.java,org.apache.rya.accumulo.pig.SparqlToPigTransformVisitorTest,setUp/0,false,44,0,1,1,8,0,0,0,1,0,0,0,0,0,0,5,0,5,0,0,0,0,0,9,4,0,false
