file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-skywalking-32c4bced8a7e055003d6e4bea0fd8f8361bec8e5/apm-sniffer/apm-agent-core/src/test/java/org/apache/skywalking/apm/agent/core/context/IgnoredTracerContextTest.java,org.apache.skywalking.apm.agent.core.context.IgnoredTracerContextTest,ignoredTraceContextWithEmptyOperationName/0,false,96,7,1,13,11,0,3,0,13,0,0,0,0,0,0,2,2,3,0,0,0,0,0,17,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-skywalking-32c4bced8a7e055003d6e4bea0fd8f8361bec8e5/apm-sniffer/apm-agent-core/src/test/java/org/apache/skywalking/apm/agent/core/context/IgnoredTracerContextTest.java,org.apache.skywalking.apm.agent.core.context.IgnoredTracerContextTest,setUp/0,false,50,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-skywalking-32c4bced8a7e055003d6e4bea0fd8f8361bec8e5/apm-sniffer/apm-agent-core/src/test/java/org/apache/skywalking/apm/agent/core/context/IgnoredTracerContextTest.java,org.apache.skywalking.apm.agent.core.context.IgnoredTracerContextTest,tearDown/0,false,61,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-skywalking-32c4bced8a7e055003d6e4bea0fd8f8361bec8e5/apm-sniffer/apm-agent-core/src/test/java/org/apache/skywalking/apm/agent/core/context/IgnoredTracerContextTest.java,org.apache.skywalking.apm.agent.core.context.IgnoredTracerContextTest,ignoredTraceContextWithSampling/0,false,65,4,1,9,14,0,0,0,9,0,0,0,0,0,0,4,3,1,0,0,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-skywalking-32c4bced8a7e055003d6e4bea0fd8f8361bec8e5/apm-sniffer/apm-agent-core/src/test/java/org/apache/skywalking/apm/agent/core/context/IgnoredTracerContextTest.java,org.apache.skywalking.apm.agent.core.context.IgnoredTracerContextTest,ignoredTraceContextWithExcludeOperationName/0,false,86,6,1,9,7,0,2,0,9,0,0,0,0,0,0,1,1,2,0,0,0,0,0,14,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-skywalking-32c4bced8a7e055003d6e4bea0fd8f8361bec8e5/apm-sniffer/apm-agent-core/src/test/java/org/apache/skywalking/apm/agent/core/context/IgnoredTracerContextTest.java,org.apache.skywalking.apm.agent.core.context.IgnoredTracerContextTest,afterClass/0,false,56,2,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-skywalking-32c4bced8a7e055003d6e4bea0fd8f8361bec8e5/apm-sniffer/apm-agent-core/src/test/java/org/apache/skywalking/apm/agent/core/context/util/FieldGetter.java,org.apache.skywalking.apm.agent.core.context.util.FieldGetter,"get2LevelParentFieldValue/2[java.lang.Object,java.lang.String]",false,33,1,1,5,5,1,1,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-skywalking-32c4bced8a7e055003d6e4bea0fd8f8361bec8e5/apm-sniffer/apm-agent-core/src/test/java/org/apache/skywalking/apm/agent/core/context/util/FieldGetter.java,org.apache.skywalking.apm.agent.core.context.util.FieldGetter,"getValue/2[java.lang.Object,java.lang.String]",false,26,1,1,4,5,1,1,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-skywalking-32c4bced8a7e055003d6e4bea0fd8f8361bec8e5/apm-sniffer/apm-agent-core/src/test/java/org/apache/skywalking/apm/agent/core/context/util/TraceSegmentRefHelper.java,org.apache.skywalking.apm.agent.core.context.util.TraceSegmentRefHelper,getPeerHost/1[org.apache.skywalking.apm.agent.core.context.trace.TraceSegmentRef],false,25,2,2,1,8,2,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,10,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/incubator-skywalking-32c4bced8a7e055003d6e4bea0fd8f8361bec8e5/apm-sniffer/apm-agent-core/src/test/java/org/apache/skywalking/apm/agent/core/context/util/SpanHelper.java,org.apache.skywalking.apm.agent.core.context.util.SpanHelper,getLayer/1[org.apache.skywalking.apm.agent.core.context.trace.AbstractSpan],false,27,3,2,1,8,2,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,8,9,0,false
