file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/java-buildpack-dependency-builder-d15085bcf74312af19ad40bee847e43c3b4e32ee/resources/tomcat-resource/src/main/java/org/cloudfoundry/dependency/resource/tomcat/TomcatCheckAction.java,org.cloudfoundry.dependency.resource.tomcat.TomcatCheckAction,"TomcatCheckAction/3[org.cloudfoundry.dependency.resource.tomcat.TomcatCheckRequest,org.cloudfoundry.dependency.resource.OutputUtils,org.cloudfoundry.dependency.resource.tomcat.HttpClient]",true,44,3,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/java-buildpack-dependency-builder-d15085bcf74312af19ad40bee847e43c3b4e32ee/resources/tomcat-resource/src/main/java/org/cloudfoundry/dependency/resource/tomcat/TomcatCheckAction.java,org.cloudfoundry.dependency.resource.tomcat.TomcatCheckAction,validVersions/1[org.cloudfoundry.dependency.resource.tomcat.Flux<java.lang.String>],false,82,1,1,3,3,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/java-buildpack-dependency-builder-d15085bcf74312af19ad40bee847e43c3b4e32ee/resources/tomcat-resource/src/main/java/org/cloudfoundry/dependency/resource/tomcat/TomcatCheckAction.java,org.cloudfoundry.dependency.resource.tomcat.TomcatCheckAction,getCandidateVersions/1[org.cloudfoundry.dependency.resource.tomcat.Document],false,65,2,1,4,3,1,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/java-buildpack-dependency-builder-d15085bcf74312af19ad40bee847e43c3b4e32ee/resources/tomcat-resource/src/main/java/org/cloudfoundry/dependency/resource/tomcat/TomcatCheckAction.java,org.cloudfoundry.dependency.resource.tomcat.TomcatCheckAction,doRun/0,false,51,2,1,3,4,1,1,0,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,8,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/java-buildpack-dependency-builder-d15085bcf74312af19ad40bee847e43c3b4e32ee/resources/tomcat-resource/src/main/java/org/cloudfoundry/dependency/resource/tomcat/TomcatCheckAction.java,org.cloudfoundry.dependency.resource.tomcat.TomcatCheckAction,filteredVersions/1[org.cloudfoundry.dependency.resource.tomcat.Flux<java.lang.String>],false,58,3,1,7,3,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/java-buildpack-dependency-builder-d15085bcf74312af19ad40bee847e43c3b4e32ee/resources/tomcat-resource/src/main/java/org/cloudfoundry/dependency/resource/tomcat/TomcatCheckAction.java,org.cloudfoundry.dependency.resource.tomcat.TomcatCheckAction,requestPayload/1[java.lang.String],false,76,2,1,6,3,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/java-buildpack-dependency-builder-d15085bcf74312af19ad40bee847e43c3b4e32ee/resources/tomcat-resource/src/main/java/org/cloudfoundry/dependency/resource/tomcat/TomcatCheckAction.java,org.cloudfoundry.dependency.resource.tomcat.TomcatCheckAction,getDirectoryUri/0,false,72,2,1,3,3,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/java-buildpack-dependency-builder-d15085bcf74312af19ad40bee847e43c3b4e32ee/resources/tomcat-resource/src/main/java/org/cloudfoundry/dependency/resource/tomcat/TomcatResource.java,org.cloudfoundry.dependency.resource.tomcat.TomcatResource,checkRequest/1[org.cloudfoundry.dependency.resource.tomcat.ObjectMapper],false,39,4,1,1,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/java-buildpack-dependency-builder-d15085bcf74312af19ad40bee847e43c3b4e32ee/resources/tomcat-resource/src/main/java/org/cloudfoundry/dependency/resource/tomcat/TomcatResource.java,org.cloudfoundry.dependency.resource.tomcat.TomcatResource,inRequest/1[org.cloudfoundry.dependency.resource.tomcat.ObjectMapper],false,45,4,1,1,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/java-buildpack-dependency-builder-d15085bcf74312af19ad40bee847e43c3b4e32ee/resources/tomcat-resource/src/main/java/org/cloudfoundry/dependency/resource/tomcat/TomcatResource.java,org.cloudfoundry.dependency.resource.tomcat.TomcatResource,main/1[java.lang.String[]],false,33,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/java-buildpack-dependency-builder-d15085bcf74312af19ad40bee847e43c3b4e32ee/resources/tomcat-resource/src/main/java/org/cloudfoundry/dependency/resource/tomcat/TomcatSource.java,org.cloudfoundry.dependency.resource.tomcat.TomcatSource,getUri/0,false,36,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/java-buildpack-dependency-builder-d15085bcf74312af19ad40bee847e43c3b4e32ee/resources/tomcat-resource/src/main/java/org/cloudfoundry/dependency/resource/tomcat/TomcatSource.java,org.cloudfoundry.dependency.resource.tomcat.TomcatSource,getVersionFilter/0,false,40,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/java-buildpack-dependency-builder-d15085bcf74312af19ad40bee847e43c3b4e32ee/resources/tomcat-resource/src/main/java/org/cloudfoundry/dependency/resource/tomcat/TomcatSource.java,org.cloudfoundry.dependency.resource.tomcat.TomcatSource,"TomcatSource/2[java.util.Optional<java.lang.String>,java.util.Optional<java.lang.String>]",true,31,2,1,0,4,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,5,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/java-buildpack-dependency-builder-d15085bcf74312af19ad40bee847e43c3b4e32ee/resources/tomcat-resource/src/main/java/org/cloudfoundry/dependency/resource/tomcat/TomcatInAction.java,org.cloudfoundry.dependency.resource.tomcat.TomcatInAction,"TomcatInAction/4[java.nio.file.Path,org.cloudfoundry.dependency.resource.tomcat.TomcatInRequest,org.cloudfoundry.dependency.resource.OutputUtils,org.cloudfoundry.dependency.resource.tomcat.HttpClient]",true,40,3,1,0,5,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/java-buildpack-dependency-builder-d15085bcf74312af19ad40bee847e43c3b4e32ee/resources/tomcat-resource/src/main/java/org/cloudfoundry/dependency/resource/tomcat/TomcatInAction.java,org.cloudfoundry.dependency.resource.tomcat.TomcatInAction,getArtifactUri/0,false,57,3,1,6,5,1,2,0,6,0,0,0,0,0,0,2,0,2,0,0,0,0,1,13,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/java-buildpack-dependency-builder-d15085bcf74312af19ad40bee847e43c3b4e32ee/resources/tomcat-resource/src/main/java/org/cloudfoundry/dependency/resource/tomcat/TomcatInAction.java,org.cloudfoundry.dependency.resource.tomcat.TomcatInAction,doRun/0,false,47,4,1,6,5,1,4,0,6,1,1,0,0,0,0,0,0,2,0,0,0,0,2,12,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/java-buildpack-dependency-builder-d15085bcf74312af19ad40bee847e43c3b4e32ee/resources/tomcat-resource/src/main/java/org/cloudfoundry/dependency/resource/tomcat/TomcatCheckRequest.java,org.cloudfoundry.dependency.resource.tomcat.TomcatCheckRequest,"TomcatCheckRequest/2[org.cloudfoundry.dependency.resource.tomcat.TomcatSource,java.util.Optional<org.cloudfoundry.dependency.resource.VersionReference>]",true,27,3,1,0,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/java-buildpack-dependency-builder-d15085bcf74312af19ad40bee847e43c3b4e32ee/resources/tomcat-resource/src/main/java/org/cloudfoundry/dependency/resource/tomcat/TomcatInRequest.java,org.cloudfoundry.dependency.resource.tomcat.TomcatInRequest,"TomcatInRequest/3[java.util.Optional<org.cloudfoundry.dependency.resource.tomcat.TomcatInParams>,org.cloudfoundry.dependency.resource.tomcat.TomcatSource,org.cloudfoundry.dependency.resource.VersionReference]",true,27,4,1,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/java-buildpack-dependency-builder-d15085bcf74312af19ad40bee847e43c3b4e32ee/resources/artifactory-resource/src/main/java/org/cloudfoundry/dependency/resource/artifactory/ArtifactoryCheckAction.java,org.cloudfoundry.dependency.resource.artifactory.ArtifactoryCheckAction,getSearchUri/0,false,81,2,1,7,8,1,5,0,7,0,0,0,0,0,0,5,0,5,0,0,0,0,4,22,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/java-buildpack-dependency-builder-d15085bcf74312af19ad40bee847e43c3b4e32ee/resources/artifactory-resource/src/main/java/org/cloudfoundry/dependency/resource/artifactory/ArtifactoryCheckAction.java,org.cloudfoundry.dependency.resource.artifactory.ArtifactoryCheckAction,"ArtifactoryCheckAction/4[org.cloudfoundry.dependency.resource.artifactory.ArtifactoryCheckRequest,org.cloudfoundry.dependency.resource.OutputUtils,org.cloudfoundry.dependency.resource.artifactory.HttpClient,org.cloudfoundry.dependency.resource.artifactory.ObjectMapper]",true,47,4,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/java-buildpack-dependency-builder-d15085bcf74312af19ad40bee847e43c3b4e32ee/resources/artifactory-resource/src/main/java/org/cloudfoundry/dependency/resource/artifactory/ArtifactoryCheckAction.java,org.cloudfoundry.dependency.resource.artifactory.ArtifactoryCheckAction,doRun/0,false,55,3,1,3,4,1,1,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,8,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/java-buildpack-dependency-builder-d15085bcf74312af19ad40bee847e43c3b4e32ee/resources/artifactory-resource/src/main/java/org/cloudfoundry/dependency/resource/artifactory/ArtifactoryCheckAction.java,org.cloudfoundry.dependency.resource.artifactory.ArtifactoryCheckAction,"getCandidateVersions/1[java.util.Map<java.lang.String,java.lang.Object>]",false,73,1,1,9,3,1,2,1,9,0,0,0,0,0,0,3,0,0,0,0,0,0,2,8,2,0,false
