file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/karaf-4f180ea216c284d21b2d4efa6292b2495a3c8ea7/deployer/features/src/main/java/org/apache/karaf/deployer/features/osgi/Activator.java,org.apache.karaf.deployer.features.osgi.Activator,doStart/0,false,41,5,2,4,12,1,3,0,4,0,0,0,1,0,0,2,0,4,0,1,0,0,0,21,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/karaf-4f180ea216c284d21b2d4efa6292b2495a3c8ea7/deployer/features/src/main/java/org/apache/karaf/deployer/features/osgi/Activator.java,org.apache.karaf.deployer.features.osgi.Activator,doStop/0,false,56,3,4,4,13,0,1,0,4,0,0,0,3,0,0,0,0,2,0,2,0,0,0,11,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/karaf-4f180ea216c284d21b2d4efa6292b2495a3c8ea7/deployer/features/src/main/java/org/apache/karaf/deployer/features/osgi/Activator.java,org.apache.karaf.deployer.features.osgi.Activator$DeploymentFinishedListener,deploymentEvent/1[org.apache.karaf.features.DeploymentEvent],false,79,5,4,7,15,0,0,1,7,0,0,0,2,1,0,1,0,1,0,2,0,0,0,14,1,2,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/karaf-4f180ea216c284d21b2d4efa6292b2495a3c8ea7/deployer/features/src/main/java/org/apache/karaf/deployer/features/osgi/Activator.java,org.apache.karaf.deployer.features.osgi.Activator$DeploymentFinishedListener,DeploymentFinishedListener/1[org.apache.karaf.features.FeaturesService],true,74,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/karaf-4f180ea216c284d21b2d4efa6292b2495a3c8ea7/deployer/features/src/main/java/org/apache/karaf/deployer/features/FeatureDeploymentListener.java,org.apache.karaf.deployer.features.FeatureDeploymentListener,getRootElementName/1[java.io.File],false,258,0,2,5,11,1,2,1,5,0,0,0,1,1,0,0,0,3,0,1,0,0,0,18,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/karaf-4f180ea216c284d21b2d4efa6292b2495a3c8ea7/deployer/features/src/main/java/org/apache/karaf/deployer/features/FeatureDeploymentListener.java,org.apache.karaf.deployer.features.FeatureDeploymentListener,bundleChanged/1[org.apache.karaf.deployer.features.BundleEvent],false,180,8,16,49,64,1,24,1,49,1,2,5,7,1,0,16,4,23,12,4,0,0,2,51,33,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/karaf-4f180ea216c284d21b2d4efa6292b2495a3c8ea7/deployer/features/src/main/java/org/apache/karaf/deployer/features/FeatureDeploymentListener.java,org.apache.karaf.deployer.features.FeatureDeploymentListener,init/0,false,88,2,5,5,7,0,0,0,5,2,4,1,3,0,0,0,0,0,0,2,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/karaf-4f180ea216c284d21b2d4efa6292b2495a3c8ea7/deployer/features/src/main/java/org/apache/karaf/deployer/features/FeatureDeploymentListener.java,org.apache.karaf.deployer.features.FeatureDeploymentListener,isKnownFeaturesURI/1[java.lang.String],false,103,0,4,1,11,3,0,1,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,11,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/karaf-4f180ea216c284d21b2d4efa6292b2495a3c8ea7/deployer/features/src/main/java/org/apache/karaf/deployer/features/FeatureDeploymentListener.java,org.apache.karaf.deployer.features.FeatureDeploymentListener,loadProperties/0,false,115,1,3,3,10,0,2,0,3,1,1,0,1,1,0,0,0,2,0,3,0,0,0,12,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/karaf-4f180ea216c284d21b2d4efa6292b2495a3c8ea7/deployer/features/src/main/java/org/apache/karaf/deployer/features/FeatureDeploymentListener.java,org.apache.karaf.deployer.features.FeatureDeploymentListener,transform/1[java.net.URL],false,165,0,2,2,9,2,0,1,2,0,0,0,0,1,0,2,0,0,0,1,0,0,0,11,1,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/karaf-4f180ea216c284d21b2d4efa6292b2495a3c8ea7/deployer/features/src/main/java/org/apache/karaf/deployer/features/FeatureDeploymentListener.java,org.apache.karaf.deployer.features.FeatureDeploymentListener,destroy/0,false,99,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/karaf-4f180ea216c284d21b2d4efa6292b2495a3c8ea7/deployer/features/src/main/java/org/apache/karaf/deployer/features/FeatureDeploymentListener.java,org.apache.karaf.deployer.features.FeatureDeploymentListener,setFeaturesService/1[org.apache.karaf.features.FeaturesService],false,72,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/karaf-4f180ea216c284d21b2d4efa6292b2495a3c8ea7/deployer/features/src/main/java/org/apache/karaf/deployer/features/FeatureDeploymentListener.java,org.apache.karaf.deployer.features.FeatureDeploymentListener,getFeaturesService/0,false,76,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/karaf-4f180ea216c284d21b2d4efa6292b2495a3c8ea7/deployer/features/src/main/java/org/apache/karaf/deployer/features/FeatureDeploymentListener.java,org.apache.karaf.deployer.features.FeatureDeploymentListener,setBundleContext/1[org.apache.karaf.deployer.features.BundleContext],false,84,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/karaf-4f180ea216c284d21b2d4efa6292b2495a3c8ea7/deployer/features/src/main/java/org/apache/karaf/deployer/features/FeatureDeploymentListener.java,org.apache.karaf.deployer.features.FeatureDeploymentListener,saveProperties/0,false,127,1,2,2,8,0,2,0,2,1,1,0,1,1,0,0,0,2,0,2,0,0,0,12,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/karaf-4f180ea216c284d21b2d4efa6292b2495a3c8ea7/deployer/features/src/main/java/org/apache/karaf/deployer/features/FeatureDeploymentListener.java,org.apache.karaf.deployer.features.FeatureDeploymentListener,getBundleContext/0,false,80,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/karaf-4f180ea216c284d21b2d4efa6292b2495a3c8ea7/deployer/features/src/main/java/org/apache/karaf/deployer/features/FeatureDeploymentListener.java,org.apache.karaf.deployer.features.FeatureDeploymentListener,getPropertiesFile/0,false,136,0,2,2,9,2,0,0,2,0,0,0,0,1,0,2,0,0,0,1,0,0,0,7,2,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/karaf-4f180ea216c284d21b2d4efa6292b2495a3c8ea7/deployer/features/src/main/java/org/apache/karaf/deployer/features/FeatureDeploymentListener.java,org.apache.karaf.deployer.features.FeatureDeploymentListener,canHandle/1[java.io.File],false,145,1,6,10,21,2,3,1,10,2,1,0,0,1,0,5,0,3,2,4,0,0,0,27,1,2,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/karaf-4f180ea216c284d21b2d4efa6292b2495a3c8ea7/deployer/features/src/main/java/org/apache/karaf/deployer/features/FeatureURLHandler.java,org.apache.karaf.deployer.features.FeatureURLHandler$Connection,getInputStream/0,false,75,1,2,4,12,1,1,0,4,0,0,0,0,1,0,2,0,1,0,1,0,0,0,14,1,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/karaf-4f180ea216c284d21b2d4efa6292b2495a3c8ea7/deployer/features/src/main/java/org/apache/karaf/deployer/features/FeatureURLHandler.java,org.apache.karaf.deployer.features.FeatureURLHandler$Connection,connect/0,false,71,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
