file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/litho-19503b819b97e17d02f584633508dca8c646911a/litho-intellij-plugin/testdata/completion/StateCompletionTest.java,StateCompletionTest,"one/2[iany,irandom]",false,19,4,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/litho-19503b819b97e17d02f584633508dca8c646911a/litho-intellij-plugin/testdata/completion/StateCompletionTest.java,StateCompletionTest,two/0,false,22,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/litho-19503b819b97e17d02f584633508dca8c646911a/litho-intellij-plugin/testdata/completion/PropCompletionTest.java,PropCompletionTest,"one/2[iany,irandom]",false,19,4,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/litho-19503b819b97e17d02f584633508dca8c646911a/litho-intellij-plugin/testdata/completion/PropCompletionTest.java,PropCompletionTest,two/0,false,22,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/litho-19503b819b97e17d02f584633508dca8c646911a/litho-intellij-plugin/src/test/java/com/facebook/litho/intellij/completion/StatePropCompletionContributorTest.java,com.facebook.litho.intellij.completion.StatePropCompletionContributorTest,testPropCompletion/0,false,60,2,1,10,9,0,2,0,10,1,1,0,0,0,0,3,1,2,0,0,0,0,0,14,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/litho-19503b819b97e17d02f584633508dca8c646911a/litho-intellij-plugin/src/test/java/com/facebook/litho/intellij/completion/StatePropCompletionContributorTest.java,com.facebook.litho.intellij.completion.StatePropCompletionContributorTest,getContent/1[java.lang.String],false,83,0,1,3,3,1,0,1,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,9,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/litho-19503b819b97e17d02f584633508dca8c646911a/litho-intellij-plugin/src/test/java/com/facebook/litho/intellij/completion/StatePropCompletionContributorTest.java,com.facebook.litho.intellij.completion.StatePropCompletionContributorTest,testStateCompletion/0,false,72,2,1,10,9,0,2,0,10,1,1,0,0,0,0,3,1,2,0,0,0,0,0,14,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/litho-19503b819b97e17d02f584633508dca8c646911a/litho-intellij-plugin/src/test/java/com/facebook/litho/intellij/completion/StatePropCompletionContributorTest.java,com.facebook.litho.intellij.completion.StatePropCompletionContributorTest,tearDown/0,false,55,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/litho-19503b819b97e17d02f584633508dca8c646911a/litho-intellij-plugin/src/test/java/com/facebook/litho/intellij/completion/StatePropCompletionContributorTest.java,com.facebook.litho.intellij.completion.StatePropCompletionContributorTest,setUp/0,false,44,2,1,6,6,0,1,0,6,0,0,0,0,0,0,2,0,3,0,0,0,0,0,9,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/litho-19503b819b97e17d02f584633508dca8c646911a/litho-intellij-plugin/src/test/java/com/facebook/litho/intellij/LithoPluginUtilsTest.java,com.facebook.litho.intellij.LithoPluginUtilsTest,hasLithoAnnotation/0,false,81,4,1,4,6,0,2,0,4,1,2,0,0,0,0,2,0,2,0,0,0,0,0,9,1,0,false
