file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/logging-chainsaw-b7277083a7105916a9d054045d188a553623c6b5/src/test/java/org/apache/log4j/chainsaw/receivers/ReceiversHelperTest.java,org.apache.log4j.chainsaw.receivers.ReceiversHelperTest,testKnownReceivers/0,false,48,10,2,5,7,0,2,0,5,0,0,1,0,0,0,1,0,2,1,1,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/logging-chainsaw-b7277083a7105916a9d054045d188a553623c6b5/src/test/java/org/apache/log4j/chainsaw/receivers/ReceiversHelperTest.java,org.apache.log4j.chainsaw.receivers.ReceiversHelperTest,ReceiversHelperTest/1[java.lang.String],true,44,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/logging-chainsaw-b7277083a7105916a9d054045d188a553623c6b5/src/test/java/org/apache/log4j/chainsaw/LogPanelPreferenceModelTest.java,org.apache.log4j.chainsaw.LogPanelPreferenceModelTest,testLogPanelPreferenceModelSerialization/0,false,26,3,1,17,19,0,4,0,17,0,0,0,0,0,0,2,0,4,0,0,0,0,0,16,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/logging-chainsaw-b7277083a7105916a9d054045d188a553623c6b5/src/test/java/org/apache/log4j/rewrite/RewriteAppenderTest.java,org.apache.log4j.rewrite.RewriteAppenderTest,testMapPolicy/0,false,58,3,1,7,14,0,2,0,7,1,1,0,0,0,0,14,0,2,0,0,0,0,0,10,1,3,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/logging-chainsaw-b7277083a7105916a9d054045d188a553623c6b5/src/test/java/org/apache/log4j/rewrite/RewriteAppenderTest.java,org.apache.log4j.rewrite.RewriteAppenderTest,setUp/0,false,36,0,2,4,7,0,1,0,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/logging-chainsaw-b7277083a7105916a9d054045d188a553623c6b5/src/test/java/org/apache/log4j/rewrite/RewriteAppenderTest.java,org.apache.log4j.rewrite.RewriteAppenderTest,tearDown/0,false,44,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/logging-chainsaw-b7277083a7105916a9d054045d188a553623c6b5/src/test/java/org/apache/log4j/rewrite/RewriteAppenderTest.java,org.apache.log4j.rewrite.RewriteAppenderTest,testPropertyPolicy/0,false,123,3,1,6,8,0,1,0,6,1,1,0,0,0,0,7,0,1,0,0,0,0,0,9,1,2,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/logging-chainsaw-b7277083a7105916a9d054045d188a553623c6b5/src/test/java/org/apache/log4j/rewrite/RewriteAppenderTest.java,org.apache.log4j.rewrite.RewriteAppenderTest,testReflectionPolicy/0,false,112,5,1,6,10,0,1,0,6,1,1,0,0,0,0,13,0,1,0,0,0,0,0,14,1,3,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/logging-chainsaw-b7277083a7105916a9d054045d188a553623c6b5/src/test/java/org/apache/log4j/rewrite/RewriteAppenderTest.java,org.apache.log4j.rewrite.RewriteAppenderTest,RewriteAppenderTest/1[java.lang.String],true,32,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/logging-chainsaw-b7277083a7105916a9d054045d188a553623c6b5/src/test/java/org/apache/log4j/rewrite/RewriteAppenderTest.java,org.apache.log4j.rewrite.RewriteAppenderTest,configure/1[java.lang.String],false,48,2,1,7,8,0,4,1,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,14,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/logging-chainsaw-b7277083a7105916a9d054045d188a553623c6b5/src/test/java/org/apache/log4j/rewrite/RewriteAppenderTest.java,org.apache.log4j.rewrite.RewriteAppenderTest$MessageBean,getMessage/0,false,107,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/logging-chainsaw-b7277083a7105916a9d054045d188a553623c6b5/src/test/java/org/apache/log4j/rewrite/RewriteAppenderTest.java,org.apache.log4j.rewrite.RewriteAppenderTest$MessageBean,"MessageBean/3[java.lang.Object,java.lang.Object,java.lang.Object]",true,102,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/logging-chainsaw-b7277083a7105916a9d054045d188a553623c6b5/src/test/java/org/apache/log4j/rewrite/RewriteAppenderTest.java,org.apache.log4j.rewrite.RewriteAppenderTest$BaseBean,"BaseBean/2[java.lang.Object,java.lang.Object]",true,79,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/logging-chainsaw-b7277083a7105916a9d054045d188a553623c6b5/src/test/java/org/apache/log4j/rewrite/RewriteAppenderTest.java,org.apache.log4j.rewrite.RewriteAppenderTest$BaseBean,toString/0,false,92,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/logging-chainsaw-b7277083a7105916a9d054045d188a553623c6b5/src/test/java/org/apache/log4j/rewrite/RewriteAppenderTest.java,org.apache.log4j.rewrite.RewriteAppenderTest$BaseBean,getP2/0,false,84,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/logging-chainsaw-b7277083a7105916a9d054045d188a553623c6b5/src/test/java/org/apache/log4j/rewrite/RewriteAppenderTest.java,org.apache.log4j.rewrite.RewriteAppenderTest$BaseBean,getX1/0,false,88,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/logging-chainsaw-b7277083a7105916a9d054045d188a553623c6b5/src/test/java/org/apache/log4j/util/Compare.java,org.apache.log4j.util.Compare,"compare/5[java.lang.Class<org.apache.log4j.rewrite.RewriteAppenderTest>,java.lang.String,java.lang.String,java.io.BufferedReader,java.io.BufferedReader]",false,67,2,4,5,23,3,3,5,5,1,2,1,2,0,1,10,2,3,4,2,0,0,0,22,9,0,false
