file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/logging-log4j-audit-e354306724ca815ad54575c8a4d07d5d5c93a2c1/log4j-catalog/log4j-catalog-editor/src/main/java/org/apache/logging/log4j/catalog/config/JsonObjectMapperFactory.java,org.apache.logging.log4j.catalog.config.JsonObjectMapperFactory,JsonObjectMapperFactory/0,true,74,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/logging-log4j-audit-e354306724ca815ad54575c8a4d07d5d5c93a2c1/log4j-catalog/log4j-catalog-editor/src/main/java/org/apache/logging/log4j/catalog/config/JsonObjectMapperFactory.java,org.apache.logging.log4j.catalog.config.JsonObjectMapperFactory,createMapper/0,false,81,4,1,7,74,1,5,0,7,0,0,0,0,0,0,0,0,5,0,0,6,0,0,52,9,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/logging-log4j-audit-e354306724ca815ad54575c8a4d07d5d5c93a2c1/log4j-catalog/log4j-catalog-editor/src/main/java/org/apache/logging/log4j/catalog/config/JsonObjectMapperFactory.java,org.apache.logging.log4j.catalog.config.JsonObjectMapperFactory$Anonymous3,"serialize/3[java.time.ZonedDateTime,org.apache.logging.log4j.catalog.config.JsonGenerator,org.apache.logging.log4j.catalog.config.SerializerProvider]",false,113,2,1,2,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/logging-log4j-audit-e354306724ca815ad54575c8a4d07d5d5c93a2c1/log4j-catalog/log4j-catalog-editor/src/main/java/org/apache/logging/log4j/catalog/config/JsonObjectMapperFactory.java,org.apache.logging.log4j.catalog.config.JsonObjectMapperFactory$Anonymous2,"deserialize/2[org.apache.logging.log4j.catalog.config.JsonParser,org.apache.logging.log4j.catalog.config.DeserializationContext]",false,96,2,3,11,12,2,1,2,11,0,0,0,1,1,0,1,1,1,0,1,0,0,0,14,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/logging-log4j-audit-e354306724ca815ad54575c8a4d07d5d5c93a2c1/log4j-catalog/log4j-catalog-editor/src/main/java/org/apache/logging/log4j/catalog/config/JsonObjectMapperFactory.java,org.apache.logging.log4j.catalog.config.JsonObjectMapperFactory$Anonymous1,"serialize/3[java.time.LocalDateTime,org.apache.logging.log4j.catalog.config.JsonGenerator,org.apache.logging.log4j.catalog.config.SerializerProvider]",false,90,2,1,2,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/logging-log4j-audit-e354306724ca815ad54575c8a4d07d5d5c93a2c1/log4j-catalog/log4j-catalog-editor/src/main/java/org/apache/logging/log4j/catalog/config/JsonObjectMapperFactory.java,org.apache.logging.log4j.catalog.config.JsonObjectMapperFactory$Anonymous6,"deserialize/2[org.apache.logging.log4j.catalog.config.JsonParser,org.apache.logging.log4j.catalog.config.DeserializationContext]",false,142,2,3,11,12,2,1,2,11,0,0,0,1,1,0,1,1,1,0,1,0,0,0,14,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/logging-log4j-audit-e354306724ca815ad54575c8a4d07d5d5c93a2c1/log4j-catalog/log4j-catalog-editor/src/main/java/org/apache/logging/log4j/catalog/config/JsonObjectMapperFactory.java,org.apache.logging.log4j.catalog.config.JsonObjectMapperFactory$Anonymous5,"serialize/3[java.time.LocalDate,org.apache.logging.log4j.catalog.config.JsonGenerator,org.apache.logging.log4j.catalog.config.SerializerProvider]",false,136,2,1,2,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/logging-log4j-audit-e354306724ca815ad54575c8a4d07d5d5c93a2c1/log4j-catalog/log4j-catalog-editor/src/main/java/org/apache/logging/log4j/catalog/config/JsonObjectMapperFactory.java,org.apache.logging.log4j.catalog.config.JsonObjectMapperFactory$Anonymous4,"deserialize/2[org.apache.logging.log4j.catalog.config.JsonParser,org.apache.logging.log4j.catalog.config.DeserializationContext]",false,119,2,3,11,12,2,1,2,11,0,0,0,1,1,0,1,1,1,0,1,0,0,0,14,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/logging-log4j-audit-e354306724ca815ad54575c8a4d07d5d5c93a2c1/log4j-catalog/log4j-catalog-editor/src/main/java/org/apache/logging/log4j/catalog/config/WebAppInitializer.java,org.apache.logging.log4j.catalog.config.WebAppInitializer$Anonymous1,onStartup/1[org.apache.logging.log4j.catalog.config.ServletContext],false,43,2,1,4,7,0,0,1,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,1,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/logging-log4j-audit-e354306724ca815ad54575c8a4d07d5d5c93a2c1/log4j-catalog/log4j-catalog-editor/src/main/java/org/apache/logging/log4j/catalog/config/WebAppInitializer.java,org.apache.logging.log4j.catalog.config.WebAppInitializer,initializer/0,false,39,3,1,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,0,false
