file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/m2e-core-7400bf563885fdf122aaccf356c398a0a9120ffa/org.eclipse.m2e.profiles.core/src/org/eclipse/m2e/profiles/core/internal/ProfileData.java,org.eclipse.m2e.profiles.core.internal.ProfileData,isAutoActive/0,false,51,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/m2e-core-7400bf563885fdf122aaccf356c398a0a9120ffa/org.eclipse.m2e.profiles.core/src/org/eclipse/m2e/profiles/core/internal/ProfileData.java,org.eclipse.m2e.profiles.core.internal.ProfileData,setSource/1[java.lang.String],false,79,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/m2e-core-7400bf563885fdf122aaccf356c398a0a9120ffa/org.eclipse.m2e.profiles.core/src/org/eclipse/m2e/profiles/core/internal/ProfileData.java,org.eclipse.m2e.profiles.core.internal.ProfileData,getId/0,false,37,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/m2e-core-7400bf563885fdf122aaccf356c398a0a9120ffa/org.eclipse.m2e.profiles.core/src/org/eclipse/m2e/profiles/core/internal/ProfileData.java,org.eclipse.m2e.profiles.core.internal.ProfileData,getSource/0,false,76,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/m2e-core-7400bf563885fdf122aaccf356c398a0a9120ffa/org.eclipse.m2e.profiles.core/src/org/eclipse/m2e/profiles/core/internal/ProfileData.java,org.eclipse.m2e.profiles.core.internal.ProfileData,setAutoActive/1[boolean],false,55,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/m2e-core-7400bf563885fdf122aaccf356c398a0a9120ffa/org.eclipse.m2e.profiles.core/src/org/eclipse/m2e/profiles/core/internal/ProfileData.java,org.eclipse.m2e.profiles.core.internal.ProfileData,hashCode/0,false,95,0,6,2,10,1,2,0,2,0,0,0,3,0,8,0,9,7,10,0,0,0,0,13,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/m2e-core-7400bf563885fdf122aaccf356c398a0a9120ffa/org.eclipse.m2e.profiles.core/src/org/eclipse/m2e/profiles/core/internal/ProfileData.java,org.eclipse.m2e.profiles.core.internal.ProfileData,isUserSelected/0,false,86,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/m2e-core-7400bf563885fdf122aaccf356c398a0a9120ffa/org.eclipse.m2e.profiles.core/src/org/eclipse/m2e/profiles/core/internal/ProfileData.java,org.eclipse.m2e.profiles.core.internal.ProfileData,setActivationState/1[org.eclipse.m2e.profiles.core.internal.ProfileState],false,69,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/m2e-core-7400bf563885fdf122aaccf356c398a0a9120ffa/org.eclipse.m2e.profiles.core/src/org/eclipse/m2e/profiles/core/internal/ProfileData.java,org.eclipse.m2e.profiles.core.internal.ProfileData,ProfileData/1[java.lang.String],true,30,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/m2e-core-7400bf563885fdf122aaccf356c398a0a9120ffa/org.eclipse.m2e.profiles.core/src/org/eclipse/m2e/profiles/core/internal/ProfileData.java,org.eclipse.m2e.profiles.core.internal.ProfileData,setUserSelected/1[boolean],false,90,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
