file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-archetype-04921ccae9c111338121e3acb54b7b23f7f57c7b/archetype-common/src/test/java/org/apache/maven/archetype/test/ArchetypeGenerationTest.java,org.apache.maven.archetype.test.ArchetypeGenerationTest,testProjectGenerationFromAnArchetype/0,false,48,11,2,29,37,0,14,0,29,1,1,0,1,0,0,30,1,14,3,1,0,0,0,54,1,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-archetype-04921ccae9c111338121e3acb54b7b23f7f57c7b/archetype-common/src/test/java/org/apache/maven/archetype/test/ArchetypeGenerationTest.java,org.apache.maven.archetype.test.ArchetypeGenerationTest,"createRepository/2[java.lang.String,java.lang.String]",false,120,4,1,0,7,1,4,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,14,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-archetype-04921ccae9c111338121e3acb54b7b23f7f57c7b/archetype-common/src/test/java/org/apache/maven/archetype/test/InternalCatalogArchetypesVerificationTest.java,org.apache.maven.archetype.test.InternalCatalogArchetypesVerificationTest,testInternalCatalog/0,false,51,11,3,38,31,0,10,0,38,1,1,1,2,0,0,8,1,10,1,2,0,0,0,51,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-archetype-04921ccae9c111338121e3acb54b7b23f7f57c7b/archetype-common/src/test/java/org/apache/maven/archetype/test/InternalCatalogArchetypesVerificationTest.java,org.apache.maven.archetype.test.InternalCatalogArchetypesVerificationTest,"createRepository/2[java.lang.String,java.lang.String]",false,104,4,1,0,7,1,4,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,14,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-archetype-04921ccae9c111338121e3acb54b7b23f7f57c7b/archetype-common/src/test/java/org/apache/maven/archetype/source/LocalCatalogArchetypeDataSourceTest.java,org.apache.maven.archetype.source.LocalCatalogArchetypeDataSourceTest,testLocalCatalog/0,false,64,6,1,13,13,0,4,0,13,0,0,0,0,0,0,5,5,4,0,0,0,0,0,28,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-archetype-04921ccae9c111338121e3acb54b7b23f7f57c7b/archetype-common/src/test/java/org/apache/maven/archetype/source/LocalCatalogArchetypeDataSourceTest.java,org.apache.maven.archetype.source.LocalCatalogArchetypeDataSourceTest,setUp/0,false,40,3,1,9,17,0,6,0,9,0,0,0,0,1,0,6,0,6,0,1,0,0,0,18,4,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-archetype-04921ccae9c111338121e3acb54b7b23f7f57c7b/archetype-common/src/test/java/org/apache/maven/archetype/source/RemoteCatalogArchetypeDataSourceTest.java,org.apache.maven.archetype.source.RemoteCatalogArchetypeDataSourceTest,setUp/0,false,47,5,1,18,26,0,7,0,18,0,0,0,0,1,0,12,2,9,1,1,0,0,0,27,4,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-archetype-04921ccae9c111338121e3acb54b7b23f7f57c7b/archetype-common/src/test/java/org/apache/maven/archetype/source/RemoteCatalogArchetypeDataSourceTest.java,org.apache.maven.archetype.source.RemoteCatalogArchetypeDataSourceTest,testRemoteCatalog/0,false,97,8,1,14,13,0,4,0,14,0,0,0,0,0,0,8,5,4,2,0,0,0,0,28,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-archetype-04921ccae9c111338121e3acb54b7b23f7f57c7b/archetype-common/src/test/java/org/apache/maven/archetype/source/RemoteCatalogArchetypeDataSourceTest.java,org.apache.maven.archetype.source.RemoteCatalogArchetypeDataSourceTest,tearDown/0,false,89,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-archetype-04921ccae9c111338121e3acb54b7b23f7f57c7b/archetype-common/src/test/java/org/apache/maven/archetype/old/descriptor/ArchetypeXsdTest.java,org.apache.maven.archetype.old.descriptor.ArchetypeXsdTest$Handler,warning/1[org.xml.sax.SAXParseException],false,65,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-archetype-04921ccae9c111338121e3acb54b7b23f7f57c7b/archetype-common/src/test/java/org/apache/maven/archetype/old/descriptor/ArchetypeXsdTest.java,org.apache.maven.archetype.old.descriptor.ArchetypeXsdTest$Handler,error/1[org.xml.sax.SAXParseException],false,72,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-archetype-04921ccae9c111338121e3acb54b7b23f7f57c7b/archetype-common/src/test/java/org/apache/maven/archetype/old/descriptor/ArchetypeXsdTest.java,org.apache.maven.archetype.old.descriptor.ArchetypeXsdTest,testXsd/0,false,42,2,1,9,12,0,4,0,9,0,0,0,0,1,0,5,0,4,1,1,0,0,0,38,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-archetype-04921ccae9c111338121e3acb54b7b23f7f57c7b/archetype-common/src/test/java/org/apache/maven/archetype/old/descriptor/ArchetypeDescriptorBuilderTest.java,org.apache.maven.archetype.old.descriptor.ArchetypeDescriptorBuilderTest,testBuilder/0,false,52,3,1,16,42,0,3,0,16,0,0,0,0,0,0,52,12,3,1,0,0,0,0,22,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-archetype-04921ccae9c111338121e3acb54b7b23f7f57c7b/archetype-common/src/test/java/org/apache/maven/archetype/old/descriptor/ArchetypeDescriptorBuilderTest.java,org.apache.maven.archetype.old.descriptor.ArchetypeDescriptorBuilderTest,ArchetypeDescriptorBuilderTest/1[java.lang.String],true,38,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
