file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-indexer-8fcb8551345c78871a6adbc0f7238ccd408178d3/indexer-cli/src/test/java/org/apache/maven/index/cli/NexusIndexerCliIT.java,org.apache.maven.index.cli.NexusIndexerCliIT$Anonymous1,consumeLine/1[java.lang.String],false,44,0,2,3,9,0,0,1,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-indexer-8fcb8551345c78871a6adbc0f7238ccd408178d3/indexer-cli/src/test/java/org/apache/maven/index/cli/NexusIndexerCliIT.java,org.apache.maven.index.cli.NexusIndexerCliIT,createCommandLine/0,false,59,1,2,7,13,1,1,0,7,0,0,0,0,1,0,4,0,1,0,1,0,0,0,11,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-indexer-8fcb8551345c78871a6adbc0f7238ccd408178d3/indexer-cli/src/test/java/org/apache/maven/index/cli/NexusIndexerCliIT.java,org.apache.maven.index.cli.NexusIndexerCliIT,setUp/0,false,38,1,1,1,15,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,13,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-indexer-8fcb8551345c78871a6adbc0f7238ccd408178d3/indexer-cli/src/test/java/org/apache/maven/index/cli/NexusIndexerCliIT.java,org.apache.maven.index.cli.NexusIndexerCliIT,execute/1[java.lang.String[]],false,77,2,3,4,12,2,1,1,4,1,1,1,0,1,0,0,1,1,0,1,0,0,0,10,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-indexer-8fcb8551345c78871a6adbc0f7238ccd408178d3/indexer-cli/src/test/java/org/apache/maven/index/cli/AbstractNexusIndexerCliTest.java,org.apache.maven.index.cli.AbstractNexusIndexerCliTest$Anonymous1,write/1[int],false,88,1,1,1,5,0,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-indexer-8fcb8551345c78871a6adbc0f7238ccd408178d3/indexer-cli/src/test/java/org/apache/maven/index/cli/AbstractNexusIndexerCliTest.java,org.apache.maven.index.cli.AbstractNexusIndexerCliTest$Anonymous1,toString/0,false,96,0,1,1,5,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-indexer-8fcb8551345c78871a6adbc0f7238ccd408178d3/indexer-cli/src/test/java/org/apache/maven/index/cli/AbstractNexusIndexerCliTest.java,org.apache.maven.index.cli.AbstractNexusIndexerCliTest,setUp/0,false,77,0,1,2,20,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,29,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-indexer-8fcb8551345c78871a6adbc0f7238ccd408178d3/indexer-cli/src/test/java/org/apache/maven/index/cli/AbstractNexusIndexerCliTest.java,org.apache.maven.index.cli.AbstractNexusIndexerCliTest,customizeContainerConfiguration/1[org.apache.maven.index.cli.ContainerConfiguration],false,69,1,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-indexer-8fcb8551345c78871a6adbc0f7238ccd408178d3/indexer-cli/src/test/java/org/apache/maven/index/cli/AbstractNexusIndexerCliTest.java,org.apache.maven.index.cli.AbstractNexusIndexerCliTest,testMissingArgs/0,false,150,1,1,7,20,0,3,0,7,1,1,0,0,0,0,19,4,9,1,0,0,0,0,27,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-indexer-8fcb8551345c78871a6adbc0f7238ccd408178d3/indexer-cli/src/test/java/org/apache/maven/index/cli/AbstractNexusIndexerCliTest.java,org.apache.maven.index.cli.AbstractNexusIndexerCliTest,execute/1[java.lang.String[]],false,266,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1028,0,false
