file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-plugins-a007e769ed5825774d5c31ec06c0013c8ee2b4d4/maven-war-plugin/src/test/java/org/apache/maven/plugins/war/WarDependenciesAnalysisTest.java,org.apache.maven.plugins.war.WarDependenciesAnalysisTest,testRemovedDependency/0,false,67,4,1,5,8,0,3,0,5,1,2,0,0,0,0,5,0,3,0,0,0,0,0,23,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-plugins-a007e769ed5825774d5c31ec06c0013c8ee2b4d4/maven-war-plugin/src/test/java/org/apache/maven/plugins/war/WarDependenciesAnalysisTest.java,org.apache.maven.plugins.war.WarDependenciesAnalysisTest,"setUpMojoWithCache/2[java.lang.String,org.apache.maven.plugins.war.ArtifactStub[]]",false,178,3,1,3,7,1,2,2,3,0,0,0,0,0,0,3,0,2,0,0,0,0,0,34,4,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-plugins-a007e769ed5825774d5c31ec06c0013c8ee2b4d4/maven-war-plugin/src/test/java/org/apache/maven/plugins/war/WarDependenciesAnalysisTest.java,org.apache.maven.plugins.war.WarDependenciesAnalysisTest,getPomFile/0,false,39,0,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-plugins-a007e769ed5825774d5c31ec06c0013c8ee2b4d4/maven-war-plugin/src/test/java/org/apache/maven/plugins/war/WarDependenciesAnalysisTest.java,org.apache.maven.plugins.war.WarDependenciesAnalysisTest,testNoChange/0,false,50,4,1,5,8,0,3,0,5,1,2,0,0,0,0,6,0,3,0,0,0,0,0,24,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-plugins-a007e769ed5825774d5c31ec06c0013c8ee2b4d4/maven-war-plugin/src/test/java/org/apache/maven/plugins/war/WarDependenciesAnalysisTest.java,org.apache.maven.plugins.war.WarDependenciesAnalysisTest,testDependencyNowProvided/0,false,103,4,1,6,12,0,4,0,6,1,2,0,0,0,0,7,0,4,0,0,0,0,0,26,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-plugins-a007e769ed5825774d5c31ec06c0013c8ee2b4d4/maven-war-plugin/src/test/java/org/apache/maven/plugins/war/WarDependenciesAnalysisTest.java,org.apache.maven.plugins.war.WarDependenciesAnalysisTest,getTestDirectory/0,false,44,0,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-plugins-a007e769ed5825774d5c31ec06c0013c8ee2b4d4/maven-war-plugin/src/test/java/org/apache/maven/plugins/war/WarDependenciesAnalysisTest.java,org.apache.maven.plugins.war.WarDependenciesAnalysisTest,"doTestTwiceWithUpdatedDependency/5[java.lang.String,org.apache.maven.plugins.war.ArtifactStub[],org.apache.maven.plugins.war.ArtifactStub[],java.lang.String[],java.lang.String[]]",false,126,7,2,11,27,0,5,5,11,1,1,0,1,1,0,4,0,5,0,2,0,0,0,49,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-plugins-a007e769ed5825774d5c31ec06c0013c8ee2b4d4/maven-war-plugin/src/test/java/org/apache/maven/plugins/war/WarDependenciesAnalysisTest.java,org.apache.maven.plugins.war.WarDependenciesAnalysisTest,testDependencyWithUpdatedVersion/0,false,82,4,1,5,11,0,4,0,5,1,2,0,0,0,0,8,0,4,0,0,0,0,0,25,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-plugins-a007e769ed5825774d5c31ec06c0013c8ee2b4d4/maven-war-plugin/src/test/java/org/apache/maven/plugins/war/util/WarUtilsTest.java,org.apache.maven.plugins.war.util.WarUtilsTest,testDependencyEquals/0,false,39,2,1,4,20,0,4,0,4,0,0,0,0,0,0,14,0,4,0,0,0,0,0,18,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-plugins-a007e769ed5825774d5c31ec06c0013c8ee2b4d4/maven-war-plugin/src/test/java/org/apache/maven/plugins/war/util/PathSetTest.java,org.apache.maven.plugins.war.util.PathSetTest,testPathsSetBasic/0,false,96,1,3,13,44,0,5,0,13,0,0,2,0,0,0,29,11,6,8,1,0,0,0,30,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-plugins-a007e769ed5825774d5c31ec06c0013c8ee2b4d4/maven-war-plugin/src/test/java/org/apache/maven/plugins/war/util/PathSetTest.java,org.apache.maven.plugins.war.util.PathSetTest,testPathsSetAddAlls/0,false,156,1,5,8,44,0,4,0,8,0,0,4,0,0,0,24,6,4,8,1,0,0,0,23,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-plugins-a007e769ed5825774d5c31ec06c0013c8ee2b4d4/maven-war-plugin/src/test/java/org/apache/maven/plugins/war/util/PathSetTest.java,org.apache.maven.plugins.war.util.PathSetTest,testAddAllFilesInDirectory/0,false,220,1,1,9,36,0,8,0,9,0,0,0,0,0,0,23,3,8,0,0,0,0,0,30,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-plugins-a007e769ed5825774d5c31ec06c0013c8ee2b4d4/maven-war-plugin/src/test/java/org/apache/maven/plugins/war/util/PathSetTest.java,org.apache.maven.plugins.war.util.PathSetTest,testNormalizeFilePathStatic/0,false,43,1,1,2,17,0,0,0,2,0,0,0,0,0,0,45,0,0,0,0,0,0,0,13,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-plugins-a007e769ed5825774d5c31ec06c0013c8ee2b4d4/maven-war-plugin/src/test/java/org/apache/maven/plugins/war/util/PathSetTest.java,org.apache.maven.plugins.war.util.PathSetTest,testTrimTrailingSlashes/0,false,68,1,1,2,11,0,0,0,2,0,0,0,0,0,0,27,0,0,0,0,0,0,0,12,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-plugins-a007e769ed5825774d5c31ec06c0013c8ee2b4d4/maven-war-plugin/src/test/java/org/apache/maven/plugins/war/util/WebappStructureTest.java,org.apache.maven.plugins.war.util.WebappStructureTest$Anonymous2,unchangedDependency/1[org.apache.maven.plugins.war.util.Dependency],false,114,1,2,1,8,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-plugins-a007e769ed5825774d5c31ec06c0013c8ee2b4d4/maven-war-plugin/src/test/java/org/apache/maven/plugins/war/util/WebappStructureTest.java,org.apache.maven.plugins.war.util.WebappStructureTest$Anonymous2,"updatedVersion/2[org.apache.maven.plugins.war.util.Dependency,java.lang.String]",false,139,1,1,1,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-plugins-a007e769ed5825774d5c31ec06c0013c8ee2b4d4/maven-war-plugin/src/test/java/org/apache/maven/plugins/war/util/WebappStructureTest.java,org.apache.maven.plugins.war.util.WebappStructureTest$Anonymous2,"updatedOptionalFlag/2[org.apache.maven.plugins.war.util.Dependency,boolean]",false,149,1,1,1,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-plugins-a007e769ed5825774d5c31ec06c0013c8ee2b4d4/maven-war-plugin/src/test/java/org/apache/maven/plugins/war/util/WebappStructureTest.java,org.apache.maven.plugins.war.util.WebappStructureTest$Anonymous2,"updatedUnknown/2[org.apache.maven.plugins.war.util.Dependency,org.apache.maven.plugins.war.util.Dependency]",false,154,1,1,1,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-plugins-a007e769ed5825774d5c31ec06c0013c8ee2b4d4/maven-war-plugin/src/test/java/org/apache/maven/plugins/war/util/WebappStructureTest.java,org.apache.maven.plugins.war.util.WebappStructureTest$Anonymous2,"updatedScope/2[org.apache.maven.plugins.war.util.Dependency,java.lang.String]",false,144,1,1,1,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/maven-plugins-a007e769ed5825774d5c31ec06c0013c8ee2b4d4/maven-war-plugin/src/test/java/org/apache/maven/plugins/war/util/WebappStructureTest.java,org.apache.maven.plugins.war.util.WebappStructureTest$Anonymous2,removedDependency/1[org.apache.maven.plugins.war.util.Dependency],false,134,1,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,false
