file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/mobile-buy-sdk-android-913062d4d1e1e71091440df257dd9ac6db9c9957/MobileBuy/buy3/src/test/GraphClientIntegrationTest.java,com.shopify.buy3.GraphClientIntegrationTest,foo/0,false,54,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/mobile-buy-sdk-android-913062d4d1e1e71091440df257dd9ac6db9c9957/MobileBuy/buy3/src/main/java/com/shopify/buy3/internal/cache/ResponseHeaderRecord.java,com.shopify.buy3.internal.cache.ResponseHeaderRecord,response/0,false,271,2,1,13,4,1,1,0,13,0,0,0,0,0,0,2,0,1,0,0,0,0,0,17,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/mobile-buy-sdk-android-913062d4d1e1e71091440df257dd9ac6db9c9957/MobileBuy/buy3/src/main/java/com/shopify/buy3/internal/cache/ResponseHeaderRecord.java,com.shopify.buy3.internal.cache.ResponseHeaderRecord,isHttps/0,false,232,0,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/mobile-buy-sdk-android-913062d4d1e1e71091440df257dd9ac6db9c9957/MobileBuy/buy3/src/main/java/com/shopify/buy3/internal/cache/ResponseHeaderRecord.java,com.shopify.buy3.internal.cache.ResponseHeaderRecord,readInt/1[com.shopify.buy3.internal.cache.BufferedSource],false,289,1,5,4,13,1,2,1,4,0,0,0,0,1,0,2,1,2,1,2,0,0,0,16,10,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/mobile-buy-sdk-android-913062d4d1e1e71091440df257dd9ac6db9c9957/MobileBuy/buy3/src/main/java/com/shopify/buy3/internal/cache/ResponseHeaderRecord.java,com.shopify.buy3.internal.cache.ResponseHeaderRecord,ResponseHeaderRecord/1[com.shopify.buy3.internal.cache.Source],true,115,7,8,15,47,0,16,1,15,4,2,2,2,1,0,2,5,27,1,3,0,0,0,140,0,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/mobile-buy-sdk-android-913062d4d1e1e71091440df257dd9ac6db9c9957/MobileBuy/buy3/src/main/java/com/shopify/buy3/internal/cache/ResponseHeaderRecord.java,com.shopify.buy3.internal.cache.ResponseHeaderRecord,ResponseHeaderRecord/1[com.shopify.buy3.internal.cache.Response],true,169,1,1,12,12,0,0,1,12,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/mobile-buy-sdk-android-913062d4d1e1e71091440df257dd9ac6db9c9957/MobileBuy/buy3/src/main/java/com/shopify/buy3/internal/cache/ResponseHeaderRecord.java,com.shopify.buy3.internal.cache.ResponseHeaderRecord,writeTo/1[com.shopify.buy3.internal.cache.ResponseCacheRecordEditor],false,182,4,5,17,26,0,5,1,17,2,1,2,1,0,0,4,3,5,1,2,0,0,0,40,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/mobile-buy-sdk-android-913062d4d1e1e71091440df257dd9ac6db9c9957/MobileBuy/buy3/src/main/java/com/shopify/buy3/internal/cache/ResponseHeaderRecord.java,com.shopify.buy3.internal.cache.ResponseHeaderRecord,readCertificateList/1[com.shopify.buy3.internal.cache.BufferedSource],false,236,3,4,10,18,2,6,1,10,1,1,1,1,1,0,1,2,6,0,2,0,0,0,19,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/mobile-buy-sdk-android-913062d4d1e1e71091440df257dd9ac6db9c9957/MobileBuy/buy3/src/main/java/com/shopify/buy3/internal/cache/ResponseHeaderRecord.java,com.shopify.buy3.internal.cache.ResponseHeaderRecord,"writeCertList/2[com.shopify.buy3.internal.cache.BufferedSink,java.util.List<java.security.cert.Certificate>]",false,256,2,3,9,13,0,4,2,9,0,0,1,0,1,0,0,1,4,0,2,0,0,0,16,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/mobile-buy-sdk-android-913062d4d1e1e71091440df257dd9ac6db9c9957/MobileBuy/buy3/src/main/java/com/shopify/buy3/internal/cache/ResponseHeaderRecord.java,com.shopify.buy3.internal.cache.ResponseHeaderRecord,"addHeaderLenient/2[Headers.Builder,java.lang.String]",false,302,1,3,5,12,0,1,2,5,0,0,0,1,0,0,4,5,1,1,1,0,0,0,5,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/mobile-buy-sdk-android-913062d4d1e1e71091440df257dd9ac6db9c9957/MobileBuy/buy3/src/main/java/com/shopify/buy3/Utils.java,com.shopify.buy3.Utils,parseDateTime/1[java.lang.String],false,35,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/mobile-buy-sdk-android-913062d4d1e1e71091440df257dd9ac6db9c9957/MobileBuy/buy3/src/main/java/com/shopify/buy3/Utils.java,com.shopify.buy3.Utils,Utils/0,true,39,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/mobile-buy-sdk-android-913062d4d1e1e71091440df257dd9ac6db9c9957/MobileBuy/buy3/src/main/java/com/shopify/buy3/Storefront.java,com.shopify.buy3.Storefront$CommentAuthor,CommentAuthor/0,true,11514,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/mobile-buy-sdk-android-913062d4d1e1e71091440df257dd9ac6db9c9957/MobileBuy/buy3/src/main/java/com/shopify/buy3/Storefront.java,com.shopify.buy3.Storefront$CommentAuthor,setEmail/1[java.lang.String],false,11557,1,1,2,4,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,false
