file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/n4js-f715912fce0352ab574ff878086f77d17a78c908/tools/org.eclipse.n4js.hlc.base/src/org/eclipse/n4js/hlc/base/running/RunnableLookupHelper.java,org.eclipse.n4js.hlc.base.running.RunnableLookupHelper,"findRunnableById/2[java.lang.String,java.util.Map<java.lang.String,T>]",false,52,3,5,16,19,4,5,2,16,0,0,0,3,0,0,8,0,4,4,2,0,0,1,75,1,3,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/n4js-f715912fce0352ab574ff878086f77d17a78c908/tools/org.eclipse.n4js.hlc.base/src/org/eclipse/n4js/hlc/base/running/HeadlessRunner.java,org.eclipse.n4js.hlc.base.running.HeadlessRunner,checkRunner/1[java.lang.String],false,111,4,3,7,10,1,1,1,7,0,0,0,0,0,0,4,2,1,2,1,0,0,0,42,2,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/n4js-f715912fce0352ab574ff878086f77d17a78c908/tools/org.eclipse.n4js.hlc.base/src/org/eclipse/n4js/hlc/base/running/HeadlessRunner.java,org.eclipse.n4js.hlc.base.running.HeadlessRunner,"startRunner/5[java.lang.String,java.lang.String,java.lang.String,org.eclipse.n4js.hlc.base.running.URI,java.util.Collection<java.lang.String>]",false,67,8,4,9,24,0,4,5,9,1,1,0,1,2,0,5,1,5,2,2,0,0,0,67,1,3,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/n4js-f715912fce0352ab574ff878086f77d17a78c908/tools/org.eclipse.n4js.hlc.base/src/org/eclipse/n4js/hlc/base/ErrorExitCode.java,org.eclipse.n4js.hlc.base.ErrorExitCode,getExplanation/0,false,69,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/n4js-f715912fce0352ab574ff878086f77d17a78c908/tools/org.eclipse.n4js.hlc.base/src/org/eclipse/n4js/hlc/base/ErrorExitCode.java,org.eclipse.n4js.hlc.base.ErrorExitCode,getExitCodeValue/0,false,74,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/n4js-f715912fce0352ab574ff878086f77d17a78c908/tools/org.eclipse.n4js.hlc.base/src/org/eclipse/n4js/hlc/base/ErrorExitCode.java,org.eclipse.n4js.hlc.base.ErrorExitCode,"ErrorExitCode/2[int,java.lang.String]",true,63,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/n4js-f715912fce0352ab574ff878086f77d17a78c908/tools/org.eclipse.n4js.hlc.base/src/org/eclipse/n4js/hlc/base/ErrorExitCode.java,org.eclipse.n4js.hlc.base.ErrorExitCode,fromInt/1[int],false,79,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/n4js-f715912fce0352ab574ff878086f77d17a78c908/tools/org.eclipse.n4js.hlc.base/src/org/eclipse/n4js/hlc/base/ErrorExitCode.java,org.eclipse.n4js.hlc.base.ErrorExitCode,(initializer 1),false,55,1,2,3,3,0,0,0,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,4,8,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/n4js-f715912fce0352ab574ff878086f77d17a78c908/tools/org.eclipse.n4js.hlc.base/src/org/eclipse/n4js/hlc/base/BuildType.java,org.eclipse.n4js.hlc.base.BuildType,BuildType/1[java.lang.String],true,26,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/n4js-f715912fce0352ab574ff878086f77d17a78c908/tools/org.eclipse.n4js.hlc.base/src/org/eclipse/n4js/hlc/base/testing/HeadlessTester.java,org.eclipse.n4js.hlc.base.testing.HeadlessTester,"runTests/4[java.lang.String,java.lang.String,org.eclipse.n4js.hlc.base.testing.URI,java.io.File]",false,80,11,7,13,29,0,6,4,13,2,1,0,2,2,0,7,1,7,2,2,0,0,0,72,1,3,true
