file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/xjc/XjcObject.java,google.registry.xjc.XjcObject,toString/0,false,58,1,3,7,10,2,1,0,7,0,0,0,0,1,0,1,0,1,0,1,0,0,0,36,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/xjc/XjcObject.java,google.registry.xjc.XjcObject,"marshalLenient/2[java.io.OutputStream,java.nio.charset.Charset]",false,45,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/xjc/XjcObject.java,google.registry.xjc.XjcObject,"marshal/2[java.io.OutputStream,java.nio.charset.Charset]",false,41,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/xjc/JaxbFragment.java,google.registry.xjc.JaxbFragment,toString/0,false,78,1,2,1,8,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/xjc/JaxbFragment.java,google.registry.xjc.JaxbFragment,create/1[T],false,42,2,1,0,5,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,9,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/xjc/JaxbFragment.java,google.registry.xjc.JaxbFragment,"unfreezeInstance/2[byte[],java.lang.Class<T>]",false,61,3,2,1,9,1,1,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,25,10,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/xjc/JaxbFragment.java,google.registry.xjc.JaxbFragment,getInstance/0,false,73,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/xjc/JaxbFragment.java,google.registry.xjc.JaxbFragment,readObject/1[java.io.ObjectInputStream],false,93,3,2,2,12,0,2,1,2,0,0,0,0,1,0,1,0,3,0,1,0,0,0,18,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/xjc/JaxbFragment.java,google.registry.xjc.JaxbFragment,writeObject/1[java.io.ObjectOutputStream],false,86,1,1,3,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/xjc/JaxbFragment.java,google.registry.xjc.JaxbFragment,freezeInstance/1[T],false,49,3,2,2,10,1,1,1,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,23,10,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/xjc/XjcXmlTransformer.java,google.registry.xjc.XjcXmlTransformer,"marshalStrict/3[java.lang.Object,java.io.OutputStream,java.nio.charset.Charset]",false,83,1,1,1,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/xjc/XjcXmlTransformer.java,google.registry.xjc.XjcXmlTransformer,"marshalLenient/2[java.lang.Object,java.io.Writer]",false,73,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/xjc/XjcXmlTransformer.java,google.registry.xjc.XjcXmlTransformer,"unmarshal/2[java.lang.Class<T>,java.io.InputStream]",false,69,2,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/xjc/XjcXmlTransformer.java,google.registry.xjc.XjcXmlTransformer,"marshalLenient/3[java.lang.Object,java.io.OutputStream,java.nio.charset.Charset]",false,78,1,1,1,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/xjc/XjcXmlTransformer.java,google.registry.xjc.XjcXmlTransformer,get/0,false,65,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/xjc/XjcXmlTransformer.java,google.registry.xjc.XjcXmlTransformer,"marshal/4[java.lang.Object,java.io.OutputStream,java.nio.charset.Charset,google.registry.xml.ValidationMode]",false,89,2,1,1,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/ui/forms/FormFields.java,google.registry.ui.forms.FormFields,FormFields/0,true,115,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/ui/forms/FormException.java,google.registry.ui.forms.FormException,FormException/1[java.lang.String],true,38,1,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/ui/forms/FormException.java,google.registry.ui.forms.FormException,"FormException/2[java.lang.String,java.lang.Throwable]",true,48,1,1,1,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/ui/forms/FormException.java,google.registry.ui.forms.FormException,getMessage/0,false,55,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/ui/forms/FormField.java,google.registry.ui.forms.FormField$Builder$InFunction,apply/1[O],false,619,3,3,1,9,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,7,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/ui/forms/FormField.java,google.registry.ui.forms.FormField$Builder$InFunction,InFunction/1[java.util.Set<O>],true,613,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/ui/forms/FormField.java,google.registry.ui.forms.FormField$Builder,matches/1[google.registry.ui.forms.Pattern],false,358,4,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/ui/forms/FormField.java,google.registry.ui.forms.FormField$Builder,uppercased/0,false,312,3,2,4,5,1,2,0,4,0,0,0,1,0,1,1,0,1,0,0,0,0,1,22,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/ui/forms/FormField.java,google.registry.ui.forms.FormField$Builder,"matches/2[google.registry.ui.forms.Pattern,java.lang.String]",false,351,6,1,5,4,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/ui/forms/FormField.java,google.registry.ui.forms.FormField$Builder,"transform/1[java.util.function.Function<O,O>]",false,450,3,1,2,4,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/ui/forms/FormField.java,google.registry.ui.forms.FormField$Builder,asSet/1[google.registry.ui.forms.Splitter],false,543,5,1,4,7,1,2,1,4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,25,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/ui/forms/FormField.java,google.registry.ui.forms.FormField$Builder,build/0,false,552,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/ui/forms/FormField.java,google.registry.ui.forms.FormField$Builder,emptyToNull/0,false,278,3,5,6,4,1,1,0,6,0,0,0,1,0,7,0,1,0,0,0,0,0,1,24,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/ui/forms/FormField.java,google.registry.ui.forms.FormField$Builder,"transform/2[java.lang.Class<T>,java.util.function.Function<O,T>]",false,439,4,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/ui/forms/FormField.java,google.registry.ui.forms.FormField$Builder,in/1[java.util.Set<O>],false,409,4,1,3,4,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/ui/forms/FormField.java,google.registry.ui.forms.FormField$Builder,withDefault/1[O],false,263,4,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nomulus-2481704d00f10f6b5675dd26f9effaad434ddbea/java/google/registry/ui/forms/FormField.java,google.registry.ui.forms.FormField$Builder,lowercased/0,false,329,3,2,4,5,1,2,0,4,0,0,0,1,0,1,1,0,1,0,0,0,0,1,22,1,0,true
