file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nutch-8bdec5e3ef77f816c616c978c775a0eb3b4a391a/src/test/org/apache/nutch/tools/proxy/ProxyTestbed.java,org.apache.nutch.tools.proxy.ProxyTestbed,main/1[java.lang.String[]],false,48,16,17,27,93,0,19,1,27,0,0,2,1,1,2,28,7,25,6,2,0,0,0,91,9,7,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nutch-8bdec5e3ef77f816c616c978c775a0eb3b4a391a/src/test/org/apache/nutch/tools/proxy/LogDebugHandler.java,org.apache.nutch.tools.proxy.LogDebugHandler,"handle/4[org.apache.nutch.tools.proxy.Request,org.apache.nutch.tools.proxy.HttpServletResponse,java.lang.String,int]",false,41,2,1,6,3,0,0,4,6,0,0,0,0,0,0,3,0,0,1,0,0,0,0,5,1,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nutch-8bdec5e3ef77f816c616c978c775a0eb3b4a391a/src/test/org/apache/nutch/tools/proxy/LogDebugHandler.java,org.apache.nutch.tools.proxy.LogDebugHandler,init/1[org.apache.nutch.tools.proxy.FilterConfig],false,61,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nutch-8bdec5e3ef77f816c616c978c775a0eb3b4a391a/src/test/org/apache/nutch/tools/proxy/LogDebugHandler.java,org.apache.nutch.tools.proxy.LogDebugHandler,"doFilter/3[org.apache.nutch.tools.proxy.ServletRequest,org.apache.nutch.tools.proxy.ServletResponse,org.apache.nutch.tools.proxy.FilterChain]",false,48,4,2,4,10,0,0,3,4,0,0,0,0,1,3,4,0,0,0,1,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nutch-8bdec5e3ef77f816c616c978c775a0eb3b4a391a/src/test/org/apache/nutch/tools/proxy/FakeHandler.java,org.apache.nutch.tools.proxy.FakeHandler,"handle/4[org.apache.nutch.tools.proxy.Request,org.apache.nutch.tools.proxy.HttpServletResponse,java.lang.String,int]",false,43,5,12,22,50,1,13,4,22,0,0,2,4,1,0,24,12,21,11,3,0,0,0,34,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nutch-8bdec5e3ef77f816c616c978c775a0eb3b4a391a/src/test/org/apache/nutch/tools/proxy/DelayHandler.java,org.apache.nutch.tools.proxy.DelayHandler,DelayHandler/1[int],true,36,0,2,0,8,0,0,1,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,9,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nutch-8bdec5e3ef77f816c616c978c775a0eb3b4a391a/src/test/org/apache/nutch/tools/proxy/DelayHandler.java,org.apache.nutch.tools.proxy.DelayHandler,"handle/4[org.apache.nutch.tools.proxy.Request,org.apache.nutch.tools.proxy.HttpServletResponse,java.lang.String,int]",false,47,3,3,4,9,0,1,4,4,0,0,0,0,1,0,1,0,1,0,1,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nutch-8bdec5e3ef77f816c616c978c775a0eb3b4a391a/src/test/org/apache/nutch/tools/proxy/AbstractTestbedHandler.java,org.apache.nutch.tools.proxy.AbstractTestbedHandler,"handle/4[org.apache.nutch.tools.proxy.Request,org.apache.nutch.tools.proxy.HttpServletResponse,java.lang.String,int]",false,42,2,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1025,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nutch-8bdec5e3ef77f816c616c978c775a0eb3b4a391a/src/test/org/apache/nutch/tools/proxy/AbstractTestbedHandler.java,org.apache.nutch.tools.proxy.AbstractTestbedHandler,"handle/4[java.lang.String,org.apache.nutch.tools.proxy.HttpServletRequest,org.apache.nutch.tools.proxy.HttpServletResponse,int]",false,35,4,2,6,5,0,1,4,6,1,1,0,0,0,1,1,0,1,0,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nutch-8bdec5e3ef77f816c616c978c775a0eb3b4a391a/src/test/org/apache/nutch/tools/proxy/AbstractTestbedHandler.java,org.apache.nutch.tools.proxy.AbstractTestbedHandler,"addMyHeader/3[org.apache.nutch.tools.proxy.HttpServletResponse,java.lang.String,java.lang.String]",false,45,1,1,3,4,0,0,3,3,0,0,0,0,0,0,2,0,1,1,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nutch-8bdec5e3ef77f816c616c978c775a0eb3b4a391a/src/test/org/apache/nutch/tools/proxy/NotFoundHandler.java,org.apache.nutch.tools.proxy.NotFoundHandler,"handle/4[org.apache.nutch.tools.proxy.Request,org.apache.nutch.tools.proxy.HttpServletResponse,java.lang.String,int]",false,31,3,1,8,6,0,0,4,8,0,0,0,0,0,0,3,0,0,1,0,0,0,0,10,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nutch-8bdec5e3ef77f816c616c978c775a0eb3b4a391a/src/test/org/apache/nutch/tools/proxy/SegmentHandler.java,org.apache.nutch.tools.proxy.SegmentHandler,"handle/4[org.apache.nutch.tools.proxy.Request,org.apache.nutch.tools.proxy.HttpServletResponse,java.lang.String,int]",false,188,10,11,36,70,1,15,4,36,0,0,2,4,1,0,16,4,16,6,5,0,0,0,43,1,6,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nutch-8bdec5e3ef77f816c616c978c775a0eb3b4a391a/src/test/org/apache/nutch/tools/proxy/SegmentHandler.java,org.apache.nutch.tools.proxy.SegmentHandler,(initializer 1),false,61,0,1,1,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/nutch-8bdec5e3ef77f816c616c978c775a0eb3b4a391a/src/test/org/apache/nutch/tools/proxy/SegmentHandler.java,org.apache.nutch.tools.proxy.SegmentHandler,"SegmentHandler/2[org.apache.nutch.tools.proxy.Configuration,org.apache.nutch.tools.proxy.Path]",true,182,3,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
