file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/parseq-6151cc9064cf8af2ec5ab10ec80aa8c40db6b13c/subprojects/parseq-exec/src/main/java/com/linkedin/parseq/exec/Exec.java,com.linkedin.parseq.exec.Exec$Result,getStderr/0,false,63,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/parseq-6151cc9064cf8af2ec5ab10ec80aa8c40db6b13c/subprojects/parseq-exec/src/main/java/com/linkedin/parseq/exec/Exec.java,com.linkedin.parseq.exec.Exec$Result,"Result/3[int,java.nio.file.Path,java.nio.file.Path]",true,53,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/parseq-6151cc9064cf8af2ec5ab10ec80aa8c40db6b13c/subprojects/parseq-exec/src/main/java/com/linkedin/parseq/exec/Exec.java,com.linkedin.parseq.exec.Exec$Result,getStdout/0,false,59,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/parseq-6151cc9064cf8af2ec5ab10ec80aa8c40db6b13c/subprojects/parseq-exec/src/main/java/com/linkedin/parseq/exec/Exec.java,com.linkedin.parseq.exec.Exec$Result,getStatus/0,false,67,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/parseq-6151cc9064cf8af2ec5ab10ec80aa8c40db6b13c/subprojects/parseq-exec/src/main/java/com/linkedin/parseq/exec/Exec.java,com.linkedin.parseq.exec.Exec$ProcessEntry,getStderr/0,false,93,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/parseq-6151cc9064cf8af2ec5ab10ec80aa8c40db6b13c/subprojects/parseq-exec/src/main/java/com/linkedin/parseq/exec/Exec.java,com.linkedin.parseq.exec.Exec$ProcessEntry,"ProcessEntry/4[com.linkedin.parseq.promise.SettablePromise<com.linkedin.parseq.exec.Exec.Result>,java.nio.file.Path,java.nio.file.Path,java.lang.Long]",true,78,2,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/parseq-6151cc9064cf8af2ec5ab10ec80aa8c40db6b13c/subprojects/parseq-exec/src/main/java/com/linkedin/parseq/exec/Exec.java,com.linkedin.parseq.exec.Exec$ProcessEntry,getResultPromise/0,false,85,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/parseq-6151cc9064cf8af2ec5ab10ec80aa8c40db6b13c/subprojects/parseq-exec/src/main/java/com/linkedin/parseq/exec/Exec.java,com.linkedin.parseq.exec.Exec$ProcessEntry,getStdout/0,false,89,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/parseq-6151cc9064cf8af2ec5ab10ec80aa8c40db6b13c/subprojects/parseq-exec/src/main/java/com/linkedin/parseq/exec/Exec.java,com.linkedin.parseq.exec.Exec$ProcessEntry,getTaskId/0,false,97,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/parseq-6151cc9064cf8af2ec5ab10ec80aa8c40db6b13c/subprojects/parseq-exec/src/main/java/com/linkedin/parseq/exec/Exec.java,com.linkedin.parseq.exec.Exec,"command/4[java.lang.String,long,java.util.concurrent.TimeUnit,java.lang.String[]]",false,144,9,6,18,34,2,10,4,18,0,0,0,1,0,0,6,0,8,1,3,0,0,2,37,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/parseq-6151cc9064cf8af2ec5ab10ec80aa8c40db6b13c/subprojects/parseq-exec/src/main/java/com/linkedin/parseq/exec/Exec.java,com.linkedin.parseq.exec.Exec,start/0,false,177,4,8,28,35,0,5,0,28,0,0,2,1,1,0,1,0,5,0,6,0,0,2,16,1,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/parseq-6151cc9064cf8af2ec5ab10ec80aa8c40db6b13c/subprojects/parseq-exec/src/main/java/com/linkedin/parseq/exec/Exec.java,com.linkedin.parseq.exec.Exec,"Exec/3[int,long,int]",true,42,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/parseq-6151cc9064cf8af2ec5ab10ec80aa8c40db6b13c/subprojects/parseq-exec/src/main/java/com/linkedin/parseq/exec/Exec.java,com.linkedin.parseq.exec.Exec,stop/0,false,210,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/parseq-6151cc9064cf8af2ec5ab10ec80aa8c40db6b13c/subprojects/parseq-exec/src/main/java/com/linkedin/parseq/exec/Exec.java,com.linkedin.parseq.exec.Exec$ProcessRequest,getTaskId/0,false,139,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/parseq-6151cc9064cf8af2ec5ab10ec80aa8c40db6b13c/subprojects/parseq-exec/src/main/java/com/linkedin/parseq/exec/Exec.java,com.linkedin.parseq.exec.Exec$ProcessRequest,getTimeUnit/0,false,135,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/parseq-6151cc9064cf8af2ec5ab10ec80aa8c40db6b13c/subprojects/parseq-exec/src/main/java/com/linkedin/parseq/exec/Exec.java,com.linkedin.parseq.exec.Exec$ProcessRequest,"ProcessRequest/6[long,java.lang.ProcessBuilder,com.linkedin.parseq.exec.Exec.ProcessEntry,long,java.util.concurrent.TimeUnit,java.lang.Long]",true,110,1,1,0,8,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,17,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/parseq-6151cc9064cf8af2ec5ab10ec80aa8c40db6b13c/subprojects/parseq-exec/src/main/java/com/linkedin/parseq/exec/Exec.java,com.linkedin.parseq.exec.Exec$ProcessRequest,getTimeout/0,false,131,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/parseq-6151cc9064cf8af2ec5ab10ec80aa8c40db6b13c/subprojects/parseq-exec/src/main/java/com/linkedin/parseq/exec/Exec.java,com.linkedin.parseq.exec.Exec$ProcessRequest,getSeq/0,false,119,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/parseq-6151cc9064cf8af2ec5ab10ec80aa8c40db6b13c/subprojects/parseq-exec/src/main/java/com/linkedin/parseq/exec/Exec.java,com.linkedin.parseq.exec.Exec$ProcessRequest,getEntry/0,false,127,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/parseq-6151cc9064cf8af2ec5ab10ec80aa8c40db6b13c/subprojects/parseq-exec/src/main/java/com/linkedin/parseq/exec/Exec.java,com.linkedin.parseq.exec.Exec$ProcessRequest,getBuilder/0,false,123,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/parseq-6151cc9064cf8af2ec5ab10ec80aa8c40db6b13c/subprojects/parseq-examples/src/main/java/com/linkedin/parseq/example/introduction/IntroductoryExample.java,com.linkedin.parseq.example.introduction.IntroductoryExample,main/1[java.lang.String[]],false,15,3,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
