file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pdfbox-443b7dd95c57bc83598c8c5d514ebb44a4133a43/tools/src/test/java/org/apache/pdfbox/tools/TestPDFText2HTML.java,org.apache.pdfbox.tools.TestPDFText2HTML,testEscapeTitle/0,false,53,4,1,9,9,0,4,0,9,1,1,0,0,0,0,5,1,4,0,0,0,0,0,31,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pdfbox-443b7dd95c57bc83598c8c5d514ebb44a4133a43/tools/src/test/java/org/apache/pdfbox/tools/TestPDFText2HTML.java,org.apache.pdfbox.tools.TestPDFText2HTML,testStyle/0,false,65,4,1,8,8,0,4,0,8,1,1,0,0,0,0,6,1,4,0,0,0,0,0,30,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pdfbox-443b7dd95c57bc83598c8c5d514ebb44a4133a43/tools/src/test/java/org/apache/pdfbox/tools/TestPDFText2HTML.java,org.apache.pdfbox.tools.TestPDFText2HTML,"createDocument/3[java.lang.String,org.apache.pdfbox.pdmodel.font.PDFont,java.lang.String]",false,36,6,1,8,14,1,3,3,8,0,0,0,0,1,0,0,3,3,0,1,0,0,0,15,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pdfbox-443b7dd95c57bc83598c8c5d514ebb44a4133a43/tools/src/test/java/org/apache/pdfbox/tools/imageio/TestImageIOUtils.java,org.apache.pdfbox.tools.imageio.TestImageIOUtils,"checkImageFileSizeAndContent/2[java.lang.String,java.awt.image.BufferedImage]",false,195,1,4,8,13,0,3,2,8,2,1,2,1,0,0,6,2,3,2,3,0,0,0,48,2,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pdfbox-443b7dd95c57bc83598c8c5d514ebb44a4133a43/tools/src/test/java/org/apache/pdfbox/tools/imageio/TestImageIOUtils.java,org.apache.pdfbox.tools.imageio.TestImageIOUtils,"writeImage/7[org.apache.pdfbox.pdmodel.PDDocument,java.lang.String,java.lang.String,org.apache.pdfbox.rendering.ImageType,float,float,java.lang.String]",false,254,5,4,9,17,0,5,7,9,2,3,0,0,1,0,11,2,5,7,1,0,0,0,34,2,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pdfbox-443b7dd95c57bc83598c8c5d514ebb44a4133a43/tools/src/test/java/org/apache/pdfbox/tools/imageio/TestImageIOUtils.java,org.apache.pdfbox.tools.imageio.TestImageIOUtils,testRenderImage/0,false,285,1,3,4,17,0,3,0,4,1,6,1,0,0,0,3,0,3,0,1,1,0,0,34,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pdfbox-443b7dd95c57bc83598c8c5d514ebb44a4133a43/tools/src/test/java/org/apache/pdfbox/tools/imageio/TestImageIOUtils.java,org.apache.pdfbox.tools.imageio.TestImageIOUtils,"checkResolution/2[java.lang.String,int]",false,322,5,6,26,33,1,12,2,26,1,1,0,1,1,0,14,11,16,10,1,0,0,0,65,2,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pdfbox-443b7dd95c57bc83598c8c5d514ebb44a4133a43/tools/src/test/java/org/apache/pdfbox/tools/imageio/TestImageIOUtils.java,org.apache.pdfbox.tools.imageio.TestImageIOUtils,"checkBufferedImageSize/3[java.lang.String,java.awt.image.BufferedImage,java.awt.image.BufferedImage]",false,230,0,1,3,4,0,0,3,3,0,0,0,0,0,0,4,0,0,2,0,0,0,0,16,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pdfbox-443b7dd95c57bc83598c8c5d514ebb44a4133a43/tools/src/test/java/org/apache/pdfbox/tools/imageio/TestImageIOUtils.java,org.apache.pdfbox.tools.imageio.TestImageIOUtils,"checkNotBlank/2[java.lang.String,java.awt.image.BufferedImage]",false,236,0,4,6,11,0,5,2,6,0,0,2,0,0,0,2,3,5,1,2,0,0,0,17,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pdfbox-443b7dd95c57bc83598c8c5d514ebb44a4133a43/tools/src/test/java/org/apache/pdfbox/tools/imageio/TestImageIOUtils.java,org.apache.pdfbox.tools.imageio.TestImageIOUtils,"checkBmpResolution/2[java.lang.String,int]",false,371,0,1,5,12,0,4,2,5,0,0,0,0,1,0,3,6,6,7,1,0,0,0,41,2,0,true
