file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pivot-568543f3396648a646341fe077a714eb06d556c0/demos-server/src/org/apache/pivot/demos/rest/server/RESTDemoServlet.java,org.apache.pivot.demos.rest.server.RESTDemoServlet,doGet/1[org.apache.pivot.web.server.QueryServlet.Path],false,39,3,5,5,22,1,4,1,5,0,0,0,1,1,0,2,2,4,0,1,0,0,0,22,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pivot-568543f3396648a646341fe077a714eb06d556c0/demos-server/src/org/apache/pivot/demos/rest/server/RESTDemoServlet.java,org.apache.pivot.demos.rest.server.RESTDemoServlet,"doPost/2[org.apache.pivot.web.server.QueryServlet.Path,java.lang.Object]",false,66,4,6,8,26,1,4,2,8,0,0,0,1,2,0,2,1,4,0,1,0,0,0,29,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pivot-568543f3396648a646341fe077a714eb06d556c0/demos-server/src/org/apache/pivot/demos/rest/server/RESTDemoServlet.java,org.apache.pivot.demos.rest.server.RESTDemoServlet,"createSerializer/2[org.apache.pivot.web.Query.Method,org.apache.pivot.web.server.QueryServlet.Path]",false,142,4,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pivot-568543f3396648a646341fe077a714eb06d556c0/demos-server/src/org/apache/pivot/demos/rest/server/RESTDemoServlet.java,org.apache.pivot.demos.rest.server.RESTDemoServlet,"doPut/2[org.apache.pivot.web.server.QueryServlet.Path,java.lang.Object]",false,98,3,6,5,21,1,3,2,5,0,0,0,2,1,0,2,2,3,0,1,0,0,0,22,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pivot-568543f3396648a646341fe077a714eb06d556c0/demos-server/src/org/apache/pivot/demos/rest/server/RESTDemoServlet.java,org.apache.pivot.demos.rest.server.RESTDemoServlet,doDelete/1[org.apache.pivot.web.server.QueryServlet.Path],false,123,2,4,5,14,0,3,1,5,0,0,0,1,0,0,1,2,3,0,1,0,0,0,10,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pivot-568543f3396648a646341fe077a714eb06d556c0/eclipse/src/org/apache/pivot/eclipse/PivotScriptApplicationLaunchShortcut.java,org.apache.pivot.eclipse.PivotScriptApplicationLaunchShortcut,"launch/2[java.lang.Object,java.lang.String]",false,62,4,5,4,14,0,2,2,4,2,3,0,3,0,1,0,0,3,0,3,0,0,0,14,2,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pivot-568543f3396648a646341fe077a714eb06d556c0/eclipse/src/org/apache/pivot/eclipse/PivotScriptApplicationLaunchShortcut.java,org.apache.pivot.eclipse.PivotScriptApplicationLaunchShortcut,"launch/2[org.apache.pivot.eclipse.IEditorPart,java.lang.String]",false,58,1,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pivot-568543f3396648a646341fe077a714eb06d556c0/eclipse/src/org/apache/pivot/eclipse/PivotScriptApplicationLaunchShortcut.java,org.apache.pivot.eclipse.PivotScriptApplicationLaunchShortcut,getExistingLaunchConfiguration/1[org.apache.pivot.eclipse.IFile],false,80,6,6,13,23,1,10,1,13,1,1,1,0,1,0,3,1,11,0,3,0,0,0,24,2,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pivot-568543f3396648a646341fe077a714eb06d556c0/eclipse/src/org/apache/pivot/eclipse/PivotScriptApplicationLaunchShortcut.java,org.apache.pivot.eclipse.PivotScriptApplicationLaunchShortcut,"launch/2[org.apache.pivot.eclipse.ISelection,java.lang.String]",false,46,3,3,2,9,0,2,2,2,1,4,0,1,0,0,0,2,2,0,2,0,0,0,8,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pivot-568543f3396648a646341fe077a714eb06d556c0/eclipse/src/org/apache/pivot/eclipse/PivotScriptApplicationLaunchShortcut.java,org.apache.pivot.eclipse.PivotScriptApplicationLaunchShortcut,createLaunchConfiguration/1[org.apache.pivot.eclipse.IFile],false,117,8,2,15,20,1,7,1,15,1,1,0,0,1,0,0,0,8,0,1,0,0,0,20,4,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pivot-568543f3396648a646341fe077a714eb06d556c0/eclipse/src/org/apache/pivot/eclipse/PivotScriptApplicationLaunchShortcut.java,org.apache.pivot.eclipse.PivotScriptApplicationLaunchShortcut,getProgramArguments/1[org.apache.pivot.eclipse.IFile],false,148,3,1,5,6,1,3,1,5,0,0,0,0,0,0,5,0,3,2,0,0,0,0,27,26,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pivot-568543f3396648a646341fe077a714eb06d556c0/eclipse/src/org/apache/pivot/eclipse/PivotApplicationLaunchShortcut.java,org.apache.pivot.eclipse.PivotApplicationLaunchShortcut,"launch/2[org.apache.pivot.eclipse.IEditorPart,java.lang.String]",false,56,4,2,3,7,0,2,2,3,1,3,0,1,0,0,0,0,2,0,1,0,0,0,11,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pivot-568543f3396648a646341fe077a714eb06d556c0/eclipse/src/org/apache/pivot/eclipse/PivotApplicationLaunchShortcut.java,org.apache.pivot.eclipse.PivotApplicationLaunchShortcut,"launch/2[java.lang.Object,java.lang.String]",false,65,5,5,5,15,0,3,2,5,2,1,0,3,0,1,0,0,4,0,3,0,0,0,17,2,0,false
