file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/portals-pluto-4db5ddd26fb2ce642be7b0894858e664c6076a3b/PortletV3AnnotatedDemo/src/main/java/org/apache/portals/samples/AsyncRunnable.java,org.apache.portals.samples.AsyncRunnable,"init/3[javax.portlet.PortletAsyncContext,int,org.apache.portals.samples.AsyncDialogBean.OutputType]",false,52,1,1,5,10,0,1,3,5,0,0,0,0,0,0,3,1,4,0,0,0,0,0,11,1,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/portals-pluto-4db5ddd26fb2ce642be7b0894858e664c6076a3b/PortletV3AnnotatedDemo/src/main/java/org/apache/portals/samples/AsyncRunnable.java,org.apache.portals.samples.AsyncRunnable,finalize/0,false,142,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/portals-pluto-4db5ddd26fb2ce642be7b0894858e664c6076a3b/PortletV3AnnotatedDemo/src/main/java/org/apache/portals/samples/AsyncRunnable.java,org.apache.portals.samples.AsyncRunnable,run/0,false,65,3,11,31,73,1,9,0,31,0,0,0,1,2,0,23,2,10,5,3,0,0,0,62,1,11,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/portals-pluto-4db5ddd26fb2ce642be7b0894858e664c6076a3b/PortletV3AnnotatedDemo/src/main/java/org/apache/portals/samples/AsyncFilter.java,org.apache.portals.samples.AsyncFilter,init/1[javax.portlet.filter.FilterConfig],false,51,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/portals-pluto-4db5ddd26fb2ce642be7b0894858e664c6076a3b/PortletV3AnnotatedDemo/src/main/java/org/apache/portals/samples/AsyncFilter.java,org.apache.portals.samples.AsyncFilter,"doFilter/3[javax.portlet.ResourceRequest,javax.portlet.ResourceResponse,javax.portlet.filter.FilterChain]",false,60,3,2,12,17,0,2,3,12,0,0,0,0,0,0,7,2,2,1,1,0,0,0,15,1,2,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/portals-pluto-4db5ddd26fb2ce642be7b0894858e664c6076a3b/PortletV3AnnotatedDemo/src/main/java/org/apache/portals/samples/AsyncFilter.java,org.apache.portals.samples.AsyncFilter,destroy/0,false,55,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/portals-pluto-4db5ddd26fb2ce642be7b0894858e664c6076a3b/PortletV3AnnotatedDemo/src/main/java/org/apache/portals/samples/PortletRequestRandomNumberBean.java,org.apache.portals.samples.PortletRequestRandomNumberBean,getRandomNumber/0,false,42,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/portals-pluto-4db5ddd26fb2ce642be7b0894858e664c6076a3b/PortletV3AnnotatedDemo/src/main/java/org/apache/portals/samples/PortletRequestRandomNumberBean.java,org.apache.portals.samples.PortletRequestRandomNumberBean,setRandomNumber/1[int],false,49,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/portals-pluto-4db5ddd26fb2ce642be7b0894858e664c6076a3b/PortletV3AnnotatedDemo/src/main/java/org/apache/portals/samples/PortletRequestRandomNumberBean.java,org.apache.portals.samples.PortletRequestRandomNumberBean,PortletRequestRandomNumberBean/0,true,35,0,1,1,3,0,0,0,1,0,0,0,0,0,2,0,1,1,1,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/portals-pluto-4db5ddd26fb2ce642be7b0894858e664c6076a3b/PortletV3AnnotatedDemo/src/main/java/org/apache/portals/samples/AsyncCompleteBean.java,org.apache.portals.samples.AsyncCompleteBean,setComplete/1[boolean],false,47,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/portals-pluto-4db5ddd26fb2ce642be7b0894858e664c6076a3b/PortletV3AnnotatedDemo/src/main/java/org/apache/portals/samples/AsyncCompleteBean.java,org.apache.portals.samples.AsyncCompleteBean,isComplete/0,false,40,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/portals-pluto-4db5ddd26fb2ce642be7b0894858e664c6076a3b/PortletV3AnnotatedDemo/src/main/java/org/apache/portals/samples/AsyncCompleteBean.java,org.apache.portals.samples.AsyncCompleteBean,AsyncCompleteBean/0,true,34,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
