file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pygradle-4b04b7980dc47a76b816184ebbcfe0b3f5cefadd/buildSrc/src/main/java/com/linkedin/gradle/build/version/VersionPlugin.java,com.linkedin.gradle.build.version.VersionPlugin$VersionAction,execute/1[com.linkedin.gradle.build.version.Project],false,58,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pygradle-4b04b7980dc47a76b816184ebbcfe0b3f5cefadd/buildSrc/src/main/java/com/linkedin/gradle/build/version/VersionPlugin.java,com.linkedin.gradle.build.version.VersionPlugin$VersionAction,VersionAction/1[com.linkedin.gradle.build.version.Version],true,53,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pygradle-4b04b7980dc47a76b816184ebbcfe0b3f5cefadd/buildSrc/src/main/java/com/linkedin/gradle/build/version/VersionPlugin.java,com.linkedin.gradle.build.version.VersionPlugin,apply/1[com.linkedin.gradle.build.version.Project],false,33,5,4,9,12,0,2,1,9,0,0,0,1,0,0,5,0,3,0,1,0,0,0,17,1,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pygradle-4b04b7980dc47a76b816184ebbcfe0b3f5cefadd/buildSrc/src/main/java/com/linkedin/gradle/build/version/VersionFile.java,com.linkedin.gradle.build.version.VersionFile,getVersion/1[java.io.File],false,27,1,2,2,10,1,1,1,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,17,8,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pygradle-4b04b7980dc47a76b816184ebbcfe0b3f5cefadd/buildSrc/src/main/java/com/linkedin/gradle/build/version/Version.java,com.linkedin.gradle.build.version.Version,isSnapshot/0,false,81,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pygradle-4b04b7980dc47a76b816184ebbcfe0b3f5cefadd/buildSrc/src/main/java/com/linkedin/gradle/build/version/Version.java,com.linkedin.gradle.build.version.Version,withNextMajor/0,false,63,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,5,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pygradle-4b04b7980dc47a76b816184ebbcfe0b3f5cefadd/buildSrc/src/main/java/com/linkedin/gradle/build/version/Version.java,com.linkedin.gradle.build.version.Version,"Version/4[java.lang.Integer,java.lang.Integer,java.lang.Integer,boolean]",true,44,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pygradle-4b04b7980dc47a76b816184ebbcfe0b3f5cefadd/buildSrc/src/main/java/com/linkedin/gradle/build/version/Version.java,com.linkedin.gradle.build.version.Version,"Version/3[java.lang.Integer,java.lang.Integer,java.lang.Integer]",true,51,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pygradle-4b04b7980dc47a76b816184ebbcfe0b3f5cefadd/buildSrc/src/main/java/com/linkedin/gradle/build/version/Version.java,com.linkedin.gradle.build.version.Version,withNextMinor/0,false,67,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/pygradle-4b04b7980dc47a76b816184ebbcfe0b3f5cefadd/buildSrc/src/main/java/com/linkedin/gradle/build/version/Version.java,com.linkedin.gradle.build.version.Version,Version/1[java.lang.String],true,31,1,2,4,10,0,1,1,4,0,0,0,0,0,0,1,3,5,1,1,0,0,0,16,1,0,false
