file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/rabbitmq-jms-client-2aa68092e85ab5e7d637ae97524d9edda4b31528/src/test/java/com/rabbitmq/integration/tests/AbstractTestConnectionFactory.java,com.rabbitmq.integration.tests.AbstractTestConnectionFactory,getTestConnectionFactory/0,false,7,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,6,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/rabbitmq-jms-client-2aa68092e85ab5e7d637ae97524d9edda4b31528/src/test/java/com/rabbitmq/integration/tests/AbstractTestConnectionFactory.java,com.rabbitmq.integration.tests.AbstractTestConnectionFactory,"getTestConnectionFactory/2[boolean,int]",false,11,2,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/rabbitmq-jms-client-2aa68092e85ab5e7d637ae97524d9edda4b31528/src/test/java/com/rabbitmq/integration/tests/AbstractTestConnectionFactory.java,com.rabbitmq.integration.tests.AbstractTestConnectionFactory,getConnectionFactory/0,false,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1025,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/rabbitmq-jms-client-2aa68092e85ab5e7d637ae97524d9edda4b31528/src/test/java/com/rabbitmq/integration/tests/AbstractAmqpITQueue.java,com.rabbitmq.integration.tests.AbstractAmqpITQueue,customise/1[com.rabbitmq.jms.admin.RMQConnectionFactory],false,34,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/rabbitmq-jms-client-2aa68092e85ab5e7d637ae97524d9edda4b31528/src/test/java/com/rabbitmq/integration/tests/AbstractAmqpITQueue.java,com.rabbitmq.integration.tests.AbstractAmqpITQueue,setUp/0,false,24,5,1,6,7,0,0,0,6,1,1,0,0,0,0,0,0,4,0,0,0,0,0,11,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/rabbitmq-jms-client-2aa68092e85ab5e7d637ae97524d9edda4b31528/src/test/java/com/rabbitmq/integration/tests/AbstractAmqpITQueue.java,com.rabbitmq.integration.tests.AbstractAmqpITQueue,tearDown/0,false,39,1,4,1,5,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,4,1,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/rabbitmq-jms-client-2aa68092e85ab5e7d637ae97524d9edda4b31528/src/test/java/com/rabbitmq/integration/tests/RpcWithAmqpDirectReplyIT.java,com.rabbitmq.integration.tests.RpcWithAmqpDirectReplyIT$RpcServer,close/0,false,146,0,2,1,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/rabbitmq-jms-client-2aa68092e85ab5e7d637ae97524d9edda4b31528/src/test/java/com/rabbitmq/integration/tests/RpcWithAmqpDirectReplyIT.java,com.rabbitmq.integration.tests.RpcWithAmqpDirectReplyIT$RpcServer,RpcServer/1[com.rabbitmq.integration.tests.Connection],true,124,6,3,13,23,0,8,1,13,0,0,0,1,1,0,5,0,8,1,3,0,0,1,33,1,1,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/rabbitmq-jms-client-2aa68092e85ab5e7d637ae97524d9edda4b31528/src/test/java/com/rabbitmq/integration/tests/RpcWithAmqpDirectReplyIT.java,com.rabbitmq.integration.tests.RpcWithAmqpDirectReplyIT,setupRpcServer/0,false,108,6,1,8,10,0,3,0,8,1,1,0,0,0,0,0,0,5,0,0,0,0,0,21,0,0,false
/Users/gichan/Desktop/MLCQ data try/ck_csvs/../gits/rabbitmq-jms-client-2aa68092e85ab5e7d637ae97524d9edda4b31528/src/test/java/com/rabbitmq/integration/tests/RpcWithAmqpDirectReplyIT.java,com.rabbitmq.integration.tests.RpcWithAmqpDirectReplyIT,init/0,false,52,3,1,4,5,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,false
